GENE_SYMBOLS,refseq_ids
RPL11,NM_000975
ATP5IF1,NM_016311
RPS8,NM_001012
PLK3,NM_004073
UQCRH,NM_001297565
LAMTOR5,NM_001382293
CTSK,NM_000396
RIIAD1,NM_001144956
MRPL9,NM_001300733
RPS27,NM_001030
LAMTOR2,NM_001145264
DCDC2C,NM_001287444
OST4,NM_001134693
CRIM1-DT,NR_037631
MORN2,NM_001145450
RPS27A,NM_001135592
SNRPG,NM_001317165
PRADC1,NM_032319
TMSB10,NM_021103
RNF181,NM_016494
COX5B,NM_001862
MZT2B,NM_001330282
MZT2A,NM_001085365
NDUFB3,NM_001257102
SUMO1,NM_001005781
EEF1B2,NM_001037663
COPS9,NM_001163424
HRH1,NM_000861
RPL29,NM_000992
RPL24,NM_000986
COX17,NM_001382002
DNAJC19,NM_001190233
NCBP2AS2,NM_001355243
RPL35A,NM_000996
RPL9,NM_000661
H2AFZ,NA
RPL34,NM_000995
SNHG8,NR_003584
RPS3A,NM_001006
NDUFS6,NM_004553
COX7C,NM_001867
UQCRQ,NM_014402
PCDHA9,NM_014005
RPS14,NM_001025070
ATOX1,NM_004045
RPL26L1,NM_001317980
NRN1,NM_001278710
MRPS18B,NM_014046
RPS18,NM_022551
RPS10,NM_001014
RPL10A,NM_007104
PPIL1,NM_016059
TOMM6,NM_001134493
MEA1,NM_001318942
MRPL2,NM_001300848
DNPH1,NM_006443
MRPL14,NM_001318767
COX7A2,NM_001366292
NKAIN2,NM_001040214
HDDC2,NM_016063
RPS12,NM_001016
TOMM7,NM_019059
CYCS,NM_018947
MRPS24,NM_032014
CHCHD2,NM_001320327
ATP5MF,NM_001003713
FIS1,NM_016068
POLR2J,NM_001371100
UPK3BL1,NM_001114403
NDUFA5,NM_001282419
NDUFB2,NM_004546
LPL,NM_000237
UQCRB,NM_001199975
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
BAG1,NM_001172415
TOMM5,NM_001001790
SEC61B,NM_006808
RPL35,NM_007209
RPL12,NM_000976
TMEM141,NM_032928
PHPT1,NM_001135860
CHCHD1,NM_203298
RPS24,NM_001026
ATP5MD,NA
RPLP2,NM_001004
POLR2L,NM_021128
RPS13,NM_001017
SELENOH,NM_001321335
TMEM258,NM_014206
COX8A,NM_004074
FAU,NM_001997
CCDC85B,NM_006848
MRPL21,NM_181512
MRPL51,NM_016497
SMIM10L1,NM_001271592
COX14,NM_001257133
BLOC1S1,NM_001487
RPS26,NM_001029
RPL41,NM_001035267
MYL6B,NM_001199629
SRSF9,NM_003769
RPL21,NM_000982
POMP,NM_015932
TPT1,NM_001286272
MRPL52,NM_001318870
NEDD8,NM_006156
RPS29,NM_001030001
RPL36AL,NM_001001
ISCA2,NM_001272007
NDUFB1,NM_004545
IFI27L1,NM_145249
GLRX5,NM_016417
ATP5MPL,NA
NOP10,NM_018648
RPLP1,NM_001003
COX5A,NM_004255
SNRNP25,NM_024571
ANTKMT,NM_001271285
RPS15A,NM_001019
PYDC1,NM_152901
PSMB10,NM_002801
PSMD7,NM_002811
GAN,NM_001377486
COX4I1,NM_001318786
EMC6,NM_001014764
PSMB6,NM_001270481
SPAG7,NM_004890
RNASEK,NM_001004333
RPL26,NM_000987
SNHG29,NM_152350
ATP5MC1,NM_001002027
NME2,NM_001018137
RPL38,NM_000999
ATP5PD,NM_001003785
OXLD1,NM_001039842
CENPX,NM_001271006
C18orf32,NM_001035005
RPS15,NM_001018
UQCR11,NM_006830
MRPL54,NM_172251
MICOS13,NM_001308240
TGFBR3L,NM_001195259
NDUFA7,NM_005001
RPS28,NM_001031
UBL5,NM_001048241
FDX2,NM_001031734
C19orf53,NM_014047
MISP3,NM_001291291
RPL18A,NM_000980
NDUFA13,NM_015965
UQCRFS1,NM_006003
COX6B1,NM_001863
POLR2I,NM_006233
COX7A1,NM_001864
MRPS12,NM_021107
CADM4,NM_145296
TMEM160,NM_017854
SELENOW,NM_003009
CHGB,NM_001819
PET117,NM_001164811
ATP5F1E,NM_006886
RPS21,NM_001024
PCP4,NM_006198
MRPL40,NM_001318151
CHCHD10,NM_001301339
DDT,NM_001084392
UQCR10,NM_001003684
TOMM22,NM_020243
RPS19BP1,NM_194326
SMDT1,NM_033318
NDUFA6,NM_002490
ANOS1,NM_000216
UXT,NM_004182
COX7B,NM_001866
RPL36A,NM_001199972
BEX5,NM_001012978
TCEAL8,NM_001006684
TCEAL7,NM_001348258
RPL39,NM_001000
NDUFA1,NM_004541
SSR4,NM_001204526
RPL10,NM_001256577
