"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"KLF15","KLF15","MA1513.1","27.4884",1.38105e-183,0.899307,0.860109,0.0842976,5404,"True",1.0965537e-180,4.74628722421283e-07,0.00105302486950473,0.855516533530833,0.856076055698124,0.305100870570232,0.0124175287062871,0.131509664743524,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","25.92",1.96557e-167,0.870714,0.844252,0.066968,5404,"True",7.8033129e-165,3.72223367486743e-30,9.51446681837895e-15,0.873437306819896,0.87344782403897,-0.0747469215886159,8.87403494436471e-05,0.0806348256724354,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","25.4412",2.68986e-158,0.847252,0.820331,0.0638998,5404,"True",7.1191628e-156,9.57612187561572e-13,2.98947649395831e-08,0.968692922891547,0.968879928047261,0.0956008847234784,0.107964789335491,0.327343604817345,NA,NA,NA,NA
"SP9","SP9","MA1564.1","24.4007",9.00472e-146,0.888156,0.865208,0.0567402,5404,"False",1.78743692e-143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","23.6785",1.55934e-139,0.858421,0.835763,0.0617442,5404,"False",2.47623192e-137,0.0775927413380987,0.0450446727057483,NA,NA,NA,0.441870342405846,0.824160451987358,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","23.5381",1.60302e-136,0.838436,0.819262,0.0503419,5404,"False",2.1213298e-134,2.81028454269276e-05,0.00292911334079562,0.93891416362067,0.939392715669838,0.143552385025357,0.00213618325045746,0.00499092150841746,NA,NA,NA,NA
"SP3","SP3","MA0746.2","23.3468",1.40707e-134,0.874598,0.852593,0.0586922,5404,"False",1.5960194e-132,5.56803738897934e-06,0.0131918399916298,NA,NA,NA,0.0161319236007362,0.0664256214100166,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","22.9438",6.64803e-131,0.837528,0.818128,0.054141,5404,"False",6.598169775e-129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","22.6947",1.92237e-129,0.812241,0.791926,0.0596759,5404,"False",1.69595753333333e-127,2.12158276149306e-13,4.74829959147272e-05,0.814077999585733,0.813413471996942,-0.250902166989614,0.11423978181849,0.587626121141124,NA,NA,NA,NA
"SP1","SP1","MA0079.4","22.4703",8.26127e-127,0.833362,0.812589,0.0613897,5404,"False",6.55944838e-125,2.17332098194223e-15,0.000646810498783853,0.49000258731831,0.490697566739898,-0.692515725850836,0.685747432995543,0.775583292876434,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","22.6529",2.54858e-126,0.87113,0.849665,0.0579436,5404,"False",1.83961138181818e-124,4.43557054651744e-13,0.00821730869311048,0.590943093490817,0.585064720381504,-0.257106598783036,0.489859445145766,0.778542006143587,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","22.4649",4.80332e-124,0.835062,0.812172,0.0617881,5404,"True",3.09801087692308e-122,2.71370328027446e-25,3.15361379518123e-10,0.532376978089789,0.526708896678609,-0.143822669477178,0.00819553554650584,0.0270364326750049,NA,NA,NA,NA
"KLF16","KLF16","MA0741.1","22.4136",5.07231e-124,0.892228,0.870747,0.0592719,5404,"True",3.09801087692308e-122,3.83406122363229e-13,1.15680438292501e-14,0.744587925814135,0.740557167603474,0.29796871203102,0.0011682075435726,0.0813197320579254,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","21.7203",5.9968e-117,0.800268,0.780667,0.056535,5404,"True",3.40104228571429e-115,1.10215206202824e-36,2.65354226022392e-23,0.906389825537301,0.90653402919103,-0.00140458372541136,1.50682239636865e-07,0.0134763193999187,NA,NA,NA,NA
"SP2","SP2","MA0516.2","21.5043",8.29638e-116,0.806341,0.78945,0.0512514,5404,"False",4.39155048e-114,0.701167122521381,0.157006250621692,NA,NA,NA,0.446277877198215,0.10042936785044,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","21.5499",9.64772e-115,0.884228,0.865068,0.0548186,5404,"False",4.78768105e-113,0.149595229694191,0.87659822526789,NA,NA,NA,0.62511797957139,0.112068222874286,NA,NA,NA,NA
"HES1","HES1","MA1099.2","20.9818",3.46367e-110,0.87232,0.85239,0.0615974,5404,"False",1.61773763529412e-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","20.7672",4.43971e-109,0.789049,0.772676,0.0531446,5404,"True",1.95840541111111e-107,4.19336672870725e-05,4.41863279717119e-07,0.554034352164937,0.54841085688269,0.601013904998929,0.591713684164083,0.899392887319585,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","20.7285",5.01202e-106,0.945776,0.92756,0.0534755,5404,"True",2.09449677894737e-104,7.4946206825534e-10,6.74961090708077e-06,0.968692922891547,0.968879928047261,0.0723002872706164,0.0380204089163037,0.128255828422243,NA,NA,NA,NA
"CTCFL","CTCFL","MA1102.2","20.2145",7.07102e-102,0.859192,0.839568,0.0615428,5404,"False",2.80719494e-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","20.1368",6.09435e-101,0.885613,0.870403,0.0475378,5404,"False",2.30424471428571e-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR2","EGR2","MA0472.2","19.9877",1.40446e-99,0.823937,0.808129,0.0499776,5404,"True",5.06882381818182e-98,2.12718842575296e-13,5.02666868616693e-11,0.698149792459351,0.694591579773877,0.0567270928956264,0.364450754329579,0.685477644411701,NA,NA,NA,NA
"ZNF148","ZNF148","MA1653.1","19.9248",1.24328e-97,0.87295,0.850645,0.066471,5404,"False",4.2920187826087e-96,1.47404342022688e-17,5.45320562844732e-12,0.982839709640383,0.982898695636651,-0.0550847077353531,0.000402666675800373,0.125802444726766,0.668050366211779,0.899312151220191,NA,0.846014702740339
"KLF2","KLF2","MA1515.1","19.8639",4.41219e-97,0.911933,0.894352,0.0526389,5404,"False",1.459699525e-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF3","KLF3","MA1516.1","19.0968",5.75329e-91,0.862945,0.846119,0.0553409,5404,"False",1.827244904e-89,0.0487041417000788,0.460947128456591,NA,NA,NA,0.12080250251172,0.30089454508043,NA,NA,NA,NA
"E2F6","E2F6","MA0471.2","18.9431",1.62266e-89,0.86794,0.852237,0.051996,5404,"False",4.955354e-88,0.00860309891637775,0.82440727534046,NA,NA,NA,0.17784257236608,0.939184755019697,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","18.6627",9.7854e-89,0.845673,0.829929,0.0573702,5404,"False",2.87763244444444e-87,0.55953219176503,0.35708751696506,NA,NA,NA,0.593336781930707,0.621389916590522,0.184114186503812,0.898898033394353,NA,0.787845757961382
"EGR4","EGR4","MA0733.1","18.6221",2.35967e-86,0.793695,0.780201,0.0449269,5404,"True",6.69134992857143e-85,2.27583315505044e-11,7.31180321118958e-06,0.811750544688622,0.81115680402135,0.125939612780771,0.134929896457273,0.150230066485766,NA,NA,NA,NA
"YY2","YY2","MA0748.2","18.3225",2.34581e-85,0.838485,0.821895,0.0609068,5404,"False",6.422666e-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HES2","HES2","MA0616.2","18.2365",9.41196e-84,0.824249,0.807232,0.0604214,5404,"False",2.49103208e-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF6","KLF6","MA1517.1","18.3128",2.43616e-83,0.895498,0.880258,0.0509189,5404,"True",6.23971303225806e-82,7.17309130544198e-11,5.17142186388518e-17,0.668657435620696,0.663501761935687,0.35893211590862,1.17879075385462e-05,0.00282156472781894,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","18.1",8.4612e-82,0.786947,0.774101,0.0442402,5404,"False",2.09943525e-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","17.6116",3.04586e-78,0.828368,0.817285,0.0407126,5404,"False",7.32852375757576e-77,2.09128414027049e-08,0.00132243163849739,0.769602360786578,0.766538122952214,0.113978783966643,0.537253096427724,0.881232567937178,NA,NA,NA,NA
"KLF10","KLF10","MA1511.1","17.5712",3.49366e-77,0.875441,0.861439,0.0495756,5404,"True",8.15872364705882e-76,8.98689994505408e-15,1.36934766549537e-08,0.669590264346342,0.665004703969815,0.256919802012269,0.264225253272996,0.346835704774591,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","17.2999",2.12717e-74,0.892012,0.876258,0.0549798,5404,"False",4.82563708571429e-73,0.271819777598012,0.482686996836194,NA,NA,NA,0.196149406527366,0.156075616173397,NA,NA,NA,NA
