"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NFKB1","NFKB1","MA0105.4","2.76138",0.00287581,0.770008,0.722064,0.0428059,10,"False",0.717917332,2.51208947514214e-27,2.40789694197325e-17,0.760944012319006,0.757387439512278,0.0606294735001983,4.70768443102878e-08,0.00152719202128832,0.651094097430347,0.876243297421722,NA,0.99089712194382
"NR1D2","NR1D2","MA1532.1","2.75799",0.00290538,0.83182,0.800923,0.0303903,10,"False",0.717917332,3.63764461113822e-26,7.64695915912148e-15,0.945513333755178,0.945917066306615,0.0864322265920376,0.183351785097815,0.576506978071767,NA,NA,NA,NA
"ZNF143","ZNF143","MA0088.2","2.62181",0.00436207,0.781821,0.746474,0.0691986,10,"False",0.717917332,1.83380215146603e-07,0.000579291657634101,0.719815533508615,0.716265936914983,-0.220834431936183,0.13828541149759,0.667803461552805,NA,NA,NA,NA
"NR1D1","NR1D1","MA1531.1","2.61382",0.00447236,0.806965,0.773504,0.0397865,10,"False",0.717917332,0.0178807704164539,0.00293282592194756,0.945369813306655,0.945686444740733,0.287866878319044,0.091151221528752,0.183350240605667,NA,NA,NA,NA
"NFKB2","NFKB2","MA0778.1","2.61025",0.00452089,0.801829,0.755761,0.0431118,10,"False",0.717917332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLOCK","CLOCK","MA0819.1","2.54028",0.00553184,0.846234,0.808379,0.0514815,10,"False",0.732046826666667,2.3062547993143e-16,6.43935803489476e-07,0.850767588791166,0.851199744635457,-0.0305132513992256,0.00134909484702319,0.0344371136018196,NA,NA,NA,NA
"HOXA7","HOXA7","MA1498.1","2.15541",0.015556,0.916774,0.874915,0.0535699,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXA4","HOXA4","MA1496.1","2.15106",0.0157203,0.928686,0.895059,0.0588442,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUN","JUN","MA0488.1","2.13993",0.0161663,0.831774,0.794577,0.0608416,10,"False",0.823084565217391,1.95464093539373e-15,1.69279725686929e-13,0.862360725823685,0.862890819087094,0.103383842939547,0.00057011959572875,0.0518057619844582,NA,NA,NA,NA
"ATF4","ATF4","MA0833.2","2.13518",0.0163446,0.801242,0.762907,0.0915169,10,"False",0.823084565217391,1.21850782829011e-25,9.34993140919339e-14,0.811750544688622,0.81115680402135,-0.119075734199382,0.00148359665730533,0.0278856752058526,NA,NA,NA,NA
"HES6","HES6","MA1493.1","2.126",0.0167312,0.831492,0.801229,0.0605475,10,"False",0.823084565217391,3.96158332548399e-05,0.147154848232971,0.862360725823685,0.862890819087094,-0.306825221082215,0.111715701236872,0.330029047586957,NA,NA,NA,NA
"HOXB8","HOXB8","MA1502.1","2.09743",0.0179683,0.910851,0.866955,0.0573714,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXB2","HOXB2","MA0902.2","2.08357",0.0185886,0.916425,0.873685,0.0596909,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXD8","HOXD8","MA0910.2","2.08245",0.0186407,0.904843,0.862371,0.0557673,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNAI3","SNAI3","MA1559.1","2.053",0.0200224,0.869101,0.835868,0.0522013,10,"False",0.823084565217391,3.62271793358903e-08,7.10478372470622e-07,0.889719391441743,0.889501059889494,0.240659887485484,0.940547221305421,0.983659953084627,NA,NA,NA,NA
"CEBPG","CEBPG","MA1636.1","1.91812",0.0275103,0.795451,0.761107,0.0888719,10,"False",0.823084565217391,0.00240560163912163,0.175110755810572,0.877340316295324,0.877358864903458,0.31142030315069,0.524822416626853,0.153810811592264,NA,NA,NA,NA
"HOXC4","HOXC4","MA1504.1","1.90474",0.0283878,0.924968,0.882558,0.0757298,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUND","JUND","MA0492.1","1.88817",0.0294843,0.82705,0.794849,0.0543024,10,"False",0.823084565217391,8.46723663091995e-13,1.22465078019253e-12,0.758656840025548,0.754724498532585,0.252273242871197,0.00565420664225784,0.11757713376694,0.125047817580638,0.634573841963653,NA,0.794448381561388
"SPI1","SPI1","MA0080.5","1.88771",0.0295025,0.780257,0.751331,0.0655939,10,"False",0.823084565217391,0.589673717538233,0.114790281814955,NA,0.490697566739898,NA,0.547225566560638,0.736668870854314,NA,NA,NA,NA
"NFATC2","NFATC2","MA0152.1","1.8717",0.0306104,0.935318,0.903213,0.0478113,10,"False",0.823084565217391,0.00455115730618466,0.0051082995874125,0.989946000953654,0.98990918256548,0.0298518950215822,0.504134184370036,0.626188391364622,NA,NA,NA,NA
"HOXD4","HOXD4","MA1507.1","1.85893",0.0314959,0.917631,0.8751,0.082743,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRHL2","GRHL2","MA1105.2","1.84764",0.0322986,0.814643,0.782541,0.0711305,10,"False",0.823084565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIF1A","HIF1A","MA1106.1","1.83796",0.0330185,0.868317,0.833935,0.0541517,10,"False",0.823084565217391,0.405211851185637,0.00235023609532126,0.564245435603572,0.558806859552048,1.52644908981739,0.000852804386033028,0.0149258208023723,NA,NA,NA,NA
