Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	12.2075438915026	-8.503401360544505E-4
POP4	11.8636200318199	-8.503401360544505E-4
EIF4A3	11.9067313569601	-8.503401360544505E-4
IFIT1	13.5188839767389	0.01998299319727881
HERPUD1	12.6617659641133	-8.503401360544505E-4
RRP9	11.0713360189558	-8.503401360544505E-4
CKS1B	11.8969017937429	-8.503401360544505E-4
RPS14	11.3175344064329	-8.503401360544505E-4
SERP1	11.9727901479435	-8.503401360544505E-4
TATDN2	10.8613358521311	-8.503401360544505E-4
BANF1	12.0925879485002	-8.503401360544505E-4
CHAC1	12.6138361299731	-8.503401360544505E-4
TSPYL2	11.2677296564924	-8.503401360544505E-4
IMP3	12.4357604925083	-8.503401360544505E-4
YWHAZ	10.7056969769306	-8.503401360544505E-4
ARFGAP1	12.3273884368145	-8.503401360544505E-4
SLC7A5	10.4546380548799	-8.503401360544505E-4
TUBB2A	11.1204383170139	-8.503401360544505E-4
DKC1	11.493959259289	-8.503401360544505E-4
DDIT4	12.7473823238626	0.0027170081868330698
NHP2	11.4552849977168	-8.503401360544505E-4
GEMIN4	10.9317646391271	-8.503401360544505E-4
PREB	12.0082135633723	-8.503401360544505E-4
ATP6V0D1	11.443355041098	-8.503401360544505E-4
EXOC2	22.8709986143352	0.01998299319727881
ATF4	10.2723570659907	0.006744701067662229
CEBPB	12.0843408297178	-8.503401360544505E-4
DCTN1	12.0449503000262	-8.503401360544505E-4
NOLC1	11.6009826476832	-8.503401360544505E-4
HSP90B1	11.9809608967997	-8.503401360544505E-4
EXOSC5	11.3489665721987	-8.503401360544505E-4
EXOSC4	12.5466441622623	-8.503401360544505E-4
DNAJB9	11.7116368956642	-8.503401360544505E-4
XBP1	11.7263671498591	-8.503401360544505E-4
NPM1	11.430679751242	-8.503401360544505E-4
HSPA5	12.529144815357	-8.503401360544505E-4
WFS1	12.1900051451446	-8.503401360544505E-4
LSM1	11.9534575014484	-8.503401360544505E-4
EEF2	12.4992828219616	-8.503401360544505E-4
LSM4	11.0198007906521	-8.503401360544505E-4
YIF1A	11.5190233078435	-8.503401360544505E-4
SPCS3	12.138910209499	-8.503401360544505E-4
SPCS1	11.4250808750298	-8.503401360544505E-4
DNAJA4	11.6191682498826	-8.503401360544505E-4
SRPRA	11.9162995767826	-8.503401360544505E-4
SRPRB	11.7092122482056	-8.503401360544505E-4
HYOU1	11.9815893139417	-8.503401360544505E-4
CALR	12.1807224783878	-8.503401360544505E-4
EIF4G1	11.6494730571559	-8.503401360544505E-4
