Item ID	Item value	Change in Kuiper test statistic when item removed
RNF11	0.529787835033932	2.6645352591003757E-15
COX7B	0.841822016100552	2.6645352591003757E-15
GBE1	-0.300796993767938	2.6645352591003757E-15
HSPB8	-0.744821298086678	2.6645352591003757E-15
ARAF	2.01860450202568	2.6645352591003757E-15
ETFB	0.355568279255512	2.6645352591003757E-15
GHITM	0.620693661726538	2.6645352591003757E-15
COX6A1	1.23469764278883	2.6645352591003757E-15
GPHN	-0.0271058509358888	2.6645352591003757E-15
CPT2	-0.732727634602678	2.6645352591003757E-15
ME1	-0.39609798770846	2.6645352591003757E-15
PIM3	1.91275367553326	2.6645352591003757E-15
CD36	1.19177917595964	2.6645352591003757E-15
YWHAG	0.278924366367281	2.6645352591003757E-15
HIBCH	-0.451746605146585	2.6645352591003757E-15
IDH3A	0.937272544079064	2.6645352591003757E-15
BCKDHA	-0.410796064225362	2.6645352591003757E-15
COX8A	1.1166844271166	2.6645352591003757E-15
JAGN1	1.06132838866376	2.6645352591003757E-15
GPX4	0.50208696595488	2.6645352591003757E-15
GPX3	1.12664113658931	2.6645352591003757E-15
APLP2	0.441050860030144	2.6645352591003757E-15
OMD	-1.86024316244074	2.6645352591003757E-15
ELOVL6	0.399001664139248	2.6645352591003757E-15
CMBL	-0.442365959901134	2.6645352591003757E-15
ACLY	0.677213690051708	2.6645352591003757E-15
ARL4A	0.30555812520162	2.6645352591003757E-15
CMPK1	0.781068760839648	2.6645352591003757E-15
UQCRC1	0.86837593132847	2.6645352591003757E-15
NDUFS3	1.2462238317618	2.6645352591003757E-15
SPARCL1	0.0201213554176498	2.6645352591003757E-15
PPARG	0.161508145563883	2.6645352591003757E-15
SLC25A10	0.396155530117733	2.6645352591003757E-15
PREB	0.571391216274059	2.6645352591003757E-15
CD302	-0.589924451602563	2.6645352591003757E-15
ALDOA	-0.0294768367550604	2.6645352591003757E-15
TKT	0.587214113384605	2.6645352591003757E-15
DLD	0.766011765573239	2.6645352591003757E-15
RTN3	0.225640812467141	2.6645352591003757E-15
PPP1R15B	0.519473956089526	2.6645352591003757E-15
ECHS1	0.703663310436048	2.6645352591003757E-15
NDUFB7	0.645132707604936	2.6645352591003757E-15
RETSAT	0.559064001704229	2.6645352591003757E-15
LAMA4	0.10114573666165	2.6645352591003757E-15
LPL	-1.20964734107101	2.6645352591003757E-15
UQCR11	0.569415717052011	2.6645352591003757E-15
UQCR10	0.89582870563669	2.6645352591003757E-15
TOB1	-1.17830742130961	2.6645352591003757E-15
TANK	-0.737864980174327	2.6645352591003757E-15
PRDX3	0.464808618651266	2.6645352591003757E-15
GRPEL1	0.65619622641466	2.6645352591003757E-15
DDT	0.273563651583804	2.6645352591003757E-15
DHRS7B	0.46981443163365	2.6645352591003757E-15
UBC	1.02710012283758	2.6645352591003757E-15
G3BP2	0.179626748297586	2.6645352591003757E-15
SNCG	0.924799884324278	2.6645352591003757E-15
DNAJB9	0.226265804997931	2.6645352591003757E-15
CYC1	0.888911480854945	2.6645352591003757E-15
RREB1	1.26471951741927	2.6645352591003757E-15
ABCA1	-2.44094767148174	2.6645352591003757E-15
CDKN2C	-0.285561721057749	2.6645352591003757E-15
NDUFA5	0.288182531705619	2.6645352591003757E-15
IDH3G	1.05757858981819	2.6645352591003757E-15
GADD45A	-0.208360218298025	2.6645352591003757E-15
MDH2	0.463434452148761	2.6645352591003757E-15
EPHX2	0.812746854248268	2.6645352591003757E-15
VEGFB	1.4315048894319	2.6645352591003757E-15
CIDEA	-0.239892817711409	2.6645352591003757E-15
CHCHD10	0.532664845941718	2.6645352591003757E-15
SORBS1	-0.126060172864404	2.6645352591003757E-15
SOD1	0.764857651887566	2.6645352591003757E-15
QDPR	0.35092373742017	2.6645352591003757E-15
PFKL	0.638035748255147	2.6645352591003757E-15
DHRS7	0.582921477819077	2.6645352591003757E-15
UCK1	0.894769523532901	2.6645352591003757E-15
REEP5	0.244567505091119	2.6645352591003757E-15
UQCRQ	0.611575295457892	2.6645352591003757E-15
CCNG2	-0.0494705505518454	2.6645352591003757E-15
NDUFAB1	0.732937878487099	2.6645352591003757E-15
NMT1	0.126427820320088	2.6645352591003757E-15
ATP5PO	1.46139997651382	2.6645352591003757E-15
REEP6	2.02345701421053	2.6645352591003757E-15
ESYT1	0.868287270782642	2.6645352591003757E-15
DHCR7	0.757115607185251	2.6645352591003757E-15
