Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,8.500675715823236e-16,3.7959627329192545,131.7245220836991,"['COX7B', 'COX4I1', 'MRPS12', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL35', 'TOMM22', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6AP1', 'GPX4', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'VDAC1', 'SLC25A5', 'ATP6V0C', 'SLC25A4', 'ISCU', 'SLC25A6', 'NDUFB7', 'UQCRB', 'NDUFB5', 'COX17', 'NDUFB3', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'TIMM10', 'PDHB', 'COX5B', 'UQCRH', 'ATP5MC1', 'LDHA', 'ATP5F1B', 'CYC1', 'ATP6V1D', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'MDH2', 'NDUFA4', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ', 'CYCS', 'BAX']",4.250337857911618e-14,0,0,68
2,Myc Targets V1,2.739979321203951e-06,2.3317156155819037,29.863588079933677,"['HDDC2', 'SET', 'RPL34', 'RPLP0', 'ODC1', 'NOLC1', 'PHB', 'RPL6', 'PSMD8', 'EEF1B2', 'LDHA', 'PSMD7', 'RPS3', 'RPL14', 'PGK1', 'EIF4H', 'RPS2', 'CYC1', 'MRPL9', 'RPL18', 'CCT7', 'RPS10', 'RANBP1', 'NPM1', 'SF3A1', 'NOP16', 'EIF1AX', 'VBP1', 'NCBP2', 'RPS5', 'RPL22', 'RPS6', 'ILF2', 'NME1', 'TUFM', 'LSM2', 'LSM7', 'APEX1', 'TCP1', 'POLE3', 'NHP2', 'MCM4', 'VDAC1', 'ERH', 'EIF4G2', 'RAN', 'MAD2L1']",6.849948303009877e-05,0,0,47
3,TNF-alpha Signaling via NF-kB,7.171221673493415e-05,2.336980749746707,22.301455434462724,"['CDKN1A', 'TNFAIP8', 'CEBPB', 'BTG1', 'IFIT2', 'SNN', 'PMEPA1', 'CCN1', 'PHLDA2', 'IER5', 'DUSP4', 'KLF10', 'EGR1', 'JUN', 'EGR2', 'DUSP2', 'EGR3', 'JAG1', 'GADD45B', 'GADD45A', 'PLK2', 'FOS', 'PNRC1', 'EIF1', 'RHOB', 'NR4A1', 'YRDC', 'MARCKS', 'TUBB2A', 'NR4A3', 'BHLHE40', 'NFKBIE', 'FJX1']",0.0011952036122489026,0,0,33
4,Unfolded Protein Response,0.0007072919166909298,2.269584619856852,16.46371908160246,"['EIF4A2', 'CEBPB', 'DCTN1', 'NOLC1', 'HERPUD1', 'CKS1B', 'RPS14', 'EXOSC5', 'EXOSC4', 'DNAJB9', 'BANF1', 'XBP1', 'NPM1', 'HSPA5', 'IMP3', 'WFS1', 'EEF2', 'LSM4', 'TUBB2A', 'SPCS1', 'NHP2', 'GEMIN4', 'SRPRA', 'CALR', 'ATP6V0D1']",0.008841148958636623,0,0,25
5,DNA Repair,0.0012631655688943762,1.9715295026770436,13.158252780674427,"['FEN1', 'ARL6IP1', 'CETN2', 'GMPR2', 'COX17', 'SUPT4H1', 'SNAPC5', 'POLD4', 'MRPL40', 'GUK1', 'MPC2', 'POLR2E', 'TMED2', 'POLR2I', 'POLR2J', 'SAC3D1', 'POLR2K', 'BCAP31', 'SURF1', 'BRF2', 'GPX4', 'NCBP2', 'TAF13', 'ALYREF', 'NME1', 'APRT', 'POLE4', 'RPA3', 'CMPK2', 'EIF1B', 'CCNO']",0.012631655688943762,0,0,31
6,Epithelial Mesenchymal Transition,0.005828250429446714,1.8523249493502,9.530283033552736,"['OXTR', 'SPARC', 'LAMA2', 'COL12A1', 'LAMA3', 'PLOD2', 'THY1', 'ENO2', 'RGS4', 'LGALS1', 'TIMP3', 'PMEPA1', 'SPOCK1', 'CD59', 'CCN1', 'SGCG', 'JUN', 'MAGEE1', 'GADD45B', 'GADD45A', 'IGFBP4', 'RHOB', 'ACTA2', 'FAP', 'CRLF1', 'PFN2']",0.048568753578722625,0,0,26
7,Reactive Oxygen Species Pathway,0.008234718973327015,2.53170359052712,12.15064819144,"['CDKN2D', 'PRNP', 'NDUFA6', 'SRXN1', 'GPX4', 'SELENOS', 'PRDX1', 'TXN', 'ATOX1', 'FTL', 'SOD1', 'LAMTOR5']",0.05881942123805011,0,0,12
8,Hypoxia,0.010251156776118415,1.714534821903243,7.853194815558831,"['SRPX', 'CDKN1A', 'LXN', 'BTG1', 'CDKN1B', 'ENO1', 'ENO2', 'NDRG1', 'LDHA', 'PRDX5', 'STBD1', 'PGK1', 'CCN1', 'JUN', 'TPI1', 'HSPA5', 'B3GALT6', 'MIF', 'FOS', 'GCK', 'PNRC1', 'DDIT3', 'BHLHE40', 'ALDOC', 'ALDOB', 'ALDOA', 'GAPDH', 'CHST2']",0.061763578786512785,0,0,28
9,Pancreas Beta Cells,0.011673606803688268,3.476361460203471,15.471285305401242,"['NEUROD1', 'DPP4', 'SPCS1', 'SYT13', 'SRP14', 'GCK', 'SRP9']",0.061763578786512785,0,0,7
10,UV Response Up,0.012352715757302558,1.7441016333938295,7.6633721350603015,"['FEN1', 'BTG1', 'ENO2', 'HSPA13', 'SPR', 'NPTX2', 'ATP6V1F', 'KLHDC3', 'PRKCD', 'PDAP1', 'CCK', 'FOS', 'TUBA4A', 'RHOB', 'DNAJA1', 'NR4A1', 'EIF5', 'POLE3', 'SELENOW', 'PPIF', 'PPT1', 'FKBP4', 'ALDOA', 'SLC25A4', 'GRINA']",0.061763578786512785,0,0,25
