Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),4.731986559660913e-22,6.461653596424656,317.2835197958112,"['COX7B', 'NDUFA13', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'NDUFB10', 'UQCRB', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'MRPL14', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL54', 'UQCRH', 'ATP5MC1', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'ATP5PO', 'CYCS']",1.0552330028043837e-19,0,0,55
2,Organelle Inner Membrane (GO:0019866),5.532989123132601e-21,6.045197740112994,281.96953597521326,"['COX7B', 'NDUFA13', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'MRPL14', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL54', 'UQCRH', 'ATP5MC1', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'ATP5PO', 'CYCS']",6.169282872292849e-19,0,0,55
3,Mitochondrial Membrane (GO:0031966),5.234598524099715e-20,5.023848732576604,223.0408566962923,"['IFI27L2', 'COX7B', 'NDUFA13', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'TOMM22', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'MRPL51', 'HAX1', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'MRPL14', 'TMEM160', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL54', 'ATP5MC1', 'RPS27A', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'FIS1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'TOMM7', 'ATP5PO', 'CYCS', 'TOMM5']",3.891051569580788e-18,0,0,62
4,Ribosome (GO:0005840),2.1513760157301018e-19,19.30313315926893,829.7067486709,"['RPL30', 'RPL32', 'MRPS12', 'RPL11', 'RPL10A', 'RPL9', 'RPS4X', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL38', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL41', 'RPS5', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPS21']",1.1993921287695318e-17,0,0,26
5,Cytosolic Large Ribosomal Subunit (GO:0022625),9.270462704223573e-19,17.542131497745075,728.3893567945553,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",3.445521971736428e-17,0,0,26
6,Large Ribosomal Subunit (GO:0015934),9.270462704223573e-19,17.542131497745075,728.3893567945553,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",3.445521971736428e-17,0,0,26
7,Cytosolic Small Ribosomal Subunit (GO:0022627),3.0562253081126384e-17,21.571748492678726,820.303831836394,"['RPS8', 'RPS5', 'MRPS12', 'RPS3A', 'RPS15', 'RPS4X', 'RPS26', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24']",9.736260624415976e-16,0,0,22
8,Small Ribosomal Subunit (GO:0015935),6.817622455409097e-17,20.219961240310077,752.6766487327518,"['RPS8', 'RPS5', 'MRPS12', 'RPS3A', 'RPS15', 'RPS4X', 'RPS26', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24']",1.9004122594452857e-15,0,0,22
9,Polysomal Ribosome (GO:0042788),2.0669005886544105e-13,31.00072516316171,905.4554169841492,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL10A', 'RPS26', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21']",5.121320347443706e-12,0,0,15
10,Mitochondrial Respiratory Chain Complex IV (GO:0005751),9.415568979576405e-11,71.49122807017544,1650.4515977996903,"['COX8A', 'COX7B', 'COX4I1', 'UQCRFS1', 'COX7A2', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'COX6B1']",1.908792620405035e-09,0,0,10
11,Respiratory Chain Complex IV (GO:0045277),9.415568979576405e-11,71.49122807017544,1650.4515977996903,"['COX8A', 'COX7B', 'COX4I1', 'UQCRFS1', 'COX7A2', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'COX6B1']",1.908792620405035e-09,0,0,10
12,Small-Subunit Processome (GO:0032040),2.668386547433579e-09,11.862993298585257,234.19674425895542,"['RPS19BP1', 'RPS8', 'RPS5', 'MRPS12', 'RPS3A', 'RPS4X', 'RPS14', 'RPS28', 'RPS15A', 'RPS27', 'RPS19', 'RPS27A', 'RPS13', 'RPS24']",4.9587516673140675e-08,0,0,14
13,Mitochondrial Respiratory Chain Complex I (GO:0005747),1.8635903743368374e-08,10.98781937017231,195.56314089792915,"['NDUFA8', 'NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'NDUFB1', 'NDUFS6', 'NDUFS5']",2.968433239122248e-07,0,0,13
14,Respiratory Chain Complex I (GO:0045271),1.8635903743368374e-08,10.98781937017231,195.56314089792915,"['NDUFA8', 'NDUFA13', 'NDUFA7', 'NDUFA6', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'NDUFB1', 'NDUFS6', 'NDUFS5']",2.968433239122248e-07,0,0,13
15,Mitochondrial Respiratory Chain Complex III (GO:0005750),2.1537907336182915e-06,42.468982630272954,554.1472249367632,"['UQCRB', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10', 'UQCRH']",3.0018458349804938e-05,0,0,6
16,Respiratory Chain Complex III (GO:0045275),2.1537907336182915e-06,42.468982630272954,554.1472249367632,"['UQCRB', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10', 'UQCRH']",3.0018458349804938e-05,0,0,6
17,Mitochondrial Proton-Transporting ATP Synthase Complex (GO:0005753),6.857339937970413e-06,16.54519071310116,196.72547697510763,"['ATP5PF', 'ATP5PD', 'ATP5PO', 'ATP5MG', 'ATP5F1E', 'ATP5MF', 'ATP5MC1']",8.495482256485568e-05,0,0,7
18,Proton-Transporting ATP Synthase Complex (GO:0045259),6.857339937970413e-06,16.54519071310116,196.72547697510763,"['ATP5PF', 'ATP5PD', 'ATP5PO', 'ATP5MG', 'ATP5F1E', 'ATP5MF', 'ATP5MC1']",8.495482256485568e-05,0,0,7
19,Focal Adhesion (GO:0005925),5.640648771511751e-05,2.6668772977941178,26.089864257254586,"['RPL30', 'RPLP1', 'RPL12', 'RPL10A', 'RPL9', 'RPS15', 'RPS4X', 'RPS14', 'RPS19', 'RPS18', 'PCBP2', 'RPLP2', 'RPL38', 'RPS2', 'RPL18', 'RPL17', 'RPS10', 'RPS13', 'RPS8', 'RPS5', 'RPL22', 'NME2', 'RPS3A', 'RPS29', 'RPL37A']",0.0006620340400248002,0,0,25
20,Cell-Substrate Junction (GO:0030055),6.264711405259052e-05,2.646935827250608,25.617026254817212,"['RPL30', 'RPLP1', 'RPL12', 'RPL10A', 'RPL9', 'RPS15', 'RPS4X', 'RPS14', 'RPS19', 'RPS18', 'PCBP2', 'RPLP2', 'RPL38', 'RPS2', 'RPL18', 'RPL17', 'RPS10', 'RPS13', 'RPS8', 'RPS5', 'RPL22', 'NME2', 'RPS3A', 'RPS29', 'RPL37A']",0.0006985153216863843,0,0,25
