Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Estrogen Response Late,0.01055948609727366,4.084022038567493,18.585284335282577,"['CCNA1', 'SLC24A3', 'TPBG', 'DCXR', 'LSR']",0.32734406901548346,0,0,5
2,Complement,0.10792336516312587,2.732167510354349,6.082717109309312,"['SPOCK2', 'GNB4', 'STX4']",0.6935421107824575,0,0,3
3,KRAS Signaling Dn,0.12122517946916135,2.5844947735191637,5.453556573077669,"['CCNA1', 'MFSD6', 'NRIP2']",0.6935421107824575,0,0,3
4,Apoptosis,0.1350966616265346,2.451839603141794,4.908006077252107,"['CCNA1', 'SATB1', 'NEFH']",0.6935421107824575,0,0,3
5,Spermatogenesis,0.15454263450386926,3.003024193548387,5.607502839755973,"['CCNA1', 'NEFH']",0.6935421107824575,0,0,2
6,p53 Pathway,0.1848130719391088,2.0929657122658183,3.5337850475441632,"['DCXR', 'NINJ1', 'ZFP36L1']",0.6935421107824575,0,0,3
7,Notch Signaling,0.2048102286935822,4.784,7.585852179824951,['DLL1'],0.6935421107824575,0,0,1
8,Hypoxia,0.2220791521541278,1.897946084724005,2.8558801265899976,"['BCAN', 'ILVBL', 'TPBG']",0.6935421107824575,0,0,3
9,Allograft Rejection,0.23701400670359596,2.230682670667667,3.211371165555656,"['CD74', 'SPI1']",0.6935421107824575,0,0,2
10,TNF-alpha Signaling via NF-kB,0.23849668172636226,1.824945970978697,2.615877339179013,"['TNIP1', 'NINJ1', 'PHLDA1']",0.6935421107824575,0,0,3
11,Wnt-beta Catenin Signaling,0.2684679138512739,3.414857142857143,4.490618667992456,['DLL1'],0.6935421107824575,0,0,1
12,Pancreas Beta Cells,0.2684679138512739,3.414857142857143,4.490618667992456,['CHGA'],0.6935421107824575,0,0,1
13,Unfolded Protein Response,0.2984527053578208,1.8782416192283364,2.2710642082564343,"['CHAC1', 'ARFGAP1']",0.7116949127763419,0,0,2
14,Myogenesis,0.33655617924939274,1.7091013824884793,1.861194642877707,"['FOXO4', 'EPHB3']",0.7348633577405421,0,0,2
15,Interferon Alpha Response,0.3679373504815953,2.273904761904762,2.273546846027111,['CD74'],0.7348633577405421,0,0,1
16,Xenobiotic Metabolism,0.3888062309712723,1.5174091141833077,1.4334572112173585,"['DCXR', 'NINJ1']",0.7348633577405421,0,0,2
17,Mitotic Spindle,0.4034173325924729,1.4702233250620347,1.3346447523806648,"['SUN2', 'MID1']",0.7348633577405421,0,0,2
18,Estrogen Response Early,0.453189612480306,1.325716845878136,1.0492315322339985,"['SLC24A3', 'TPBG']",0.7348633577405421,0,0,2
19,E2F Targets,0.4805664986173126,1.2550933786078098,0.9197194571094489,"['RRM2', 'UNG']",0.7348633577405421,0,0,2
20,Androgen Response,0.49781066169520594,1.4895,1.0389790850227116,['SLC38A2'],0.7348633577405421,0,0,1
21,Myc Targets V2,0.49781066169520594,1.4895,1.0389790850227116,['UNG'],0.7348633577405421,0,0,1
22,Inflammatory Response,0.5662850411219866,1.2207179487179487,0.6941706870965457,['TPBG'],0.7730686051091977,0,0,1
23,Coagulation,0.5840881050784216,1.160780487804878,0.6241556644798137,['WDR1'],0.7730686051091977,0,0,1
24,mTORC1 Signaling,0.598504726536153,1.000848896434635,0.5137566129568653,"['RRM2', 'UNG']",0.7730686051091977,0,0,2
25,Interferon Gamma Response,0.6483355094470645,0.9699591836734693,0.42032885884499865,['CD74'],0.7888540195842955,0,0,1
26,Fatty Acid Metabolism,0.7149632303396476,0.8042033898305084,0.269829669824737,['CBR3'],0.7888540195842955,0,0,1
27,KRAS Signaling Up,0.7267015869273095,0.7775737704918033,0.24823215099177318,['SATB1'],0.7888540195842955,0,0,1
28,IL-2/STAT5 Signaling,0.7323896312155508,0.7649032258064516,0.23822346740844333,['PHLDA1'],0.7888540195842955,0,0,1
29,Apical Junction,0.7379602118691797,0.7526349206349207,0.22869968810036626,['STX4'],0.7888540195842955,0,0,1
30,Glycolysis,0.8129367450730872,0.5985822784810126,0.12396757315049893,['TPBG'],0.8280775429403133,0,0,1
31,Adipogenesis,0.8280775429403133,0.5693493975903614,0.10740689735559915,['UCK1'],0.8280775429403133,0,0,1
