Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,GATA1 mouse,0.004042985424819173,32.18817204301075,177.3816737936144,"['CCNA1', 'SPI1']",0.2223641983650545,0,0,2
2,CEBPE human,0.020601552388375837,inf,inf,['SPI1'],0.22277119444745938,0,0,1
3,ETV2 mouse,0.020601552388375837,inf,inf,['SPI1'],0.22277119444745938,0,0,1
4,POU2F2 human,0.04078206005968194,47.912,153.29506679323129,['SPI1'],0.22277119444745938,0,0,1
5,FOXP3 human,0.04078206005968194,47.912,153.29506679323129,['SATB1'],0.22277119444745938,0,0,1
6,SATB1 mouse,0.04078206005968194,47.912,153.29506679323129,['SPI1'],0.22277119444745938,0,0,1
7,SOX4 mouse,0.04078206005968194,47.912,153.29506679323129,['SPI1'],0.22277119444745938,0,0,1
8,GATA2 mouse,0.06054999848215331,23.952,67.16825429718223,['SPI1'],0.22277119444745938,0,0,1
9,MYBL2 human,0.06054999848215331,23.952,67.16825429718223,['CCNA1'],0.22277119444745938,0,0,1
10,MYBL2 mouse,0.06054999848215331,23.952,67.16825429718223,['CCNA1'],0.22277119444745938,0,0,1
11,ZFP148 mouse,0.06054999848215331,23.952,67.16825429718223,['SPI1'],0.22277119444745938,0,0,1
12,SATB1 human,0.06054999848215331,23.952,67.16825429718223,['SPI1'],0.22277119444745938,0,0,1
13,GATA2 human,0.0799137264158477,15.965333333333334,40.34132633797566,['SPI1'],0.22277119444745938,0,0,1
14,RARA human,0.0799137264158477,15.965333333333334,40.34132633797566,['CCNA1'],0.22277119444745938,0,0,1
15,TRP63 mouse,0.0799137264158477,15.965333333333334,40.34132633797566,['SATB1'],0.22277119444745938,0,0,1
16,RFX1 human,0.0799137264158477,15.965333333333334,40.34132633797566,['MAP1A'],0.22277119444745938,0,0,1
17,ID2 mouse,0.0799137264158477,15.965333333333334,40.34132633797566,['SPI1'],0.22277119444745938,0,0,1
18,IRF4 mouse,0.0799137264158477,15.965333333333334,40.34132633797566,['SPI1'],0.22277119444745938,0,0,1
19,GFI1 mouse,0.09888144074979793,11.972,27.70121723225915,['SPI1'],0.22277119444745938,0,0,1
20,RUNX1 mouse,0.09888144074979793,11.972,27.70121723225915,['SPI1'],0.22277119444745938,0,0,1
21,IRF8 mouse,0.09888144074979793,11.972,27.70121723225915,['SPI1'],0.22277119444745938,0,0,1
22,EWSR1 human,0.09888144074979793,11.972,27.70121723225915,['PHLDA1'],0.22277119444745938,0,0,1
23,FLI1 human,0.09888144074979793,11.972,27.70121723225915,['PHLDA1'],0.22277119444745938,0,0,1
24,LEF1 mouse,0.09888144074979793,11.972,27.70121723225915,['DLL1'],0.22277119444745938,0,0,1
25,EGR1 human,0.11255239387064943,3.699751861042184,8.081502818127856,"['CHGA', 'HYAL1']",0.22277119444745938,0,0,2
26,POU2AF1 mouse,0.11746117525411495,9.576,20.508415726181422,['SPI1'],0.22277119444745938,0,0,1
