"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ILF3",1.88208990713445e-17,7.92951454775459,305.378005161115,"['RPL32', 'RPL10', 'RPL12', 'RPL11', 'NEDD8', 'RPL10A', 'RPL9', 'UQCRH', 'TOMM22', 'RPS4X', 'RPS14', 'RPS15A', 'MRPL40', 'SUMO1', 'RPL18A', 'MRPL9', 'RPS2', 'RPL18', 'RPL17', 'RPS13', 'GABARAPL1', 'RPL21', 'SSR4', 'RPS8', 'RPL22', 'RPS3A', 'RPS26', 'RPS25', 'RPS28', 'RPL37A', 'RPL24', 'LAMTOR2', 'OCIAD2', 'RPL29', 'RPS24']",2.76667216348764e-15,0,0,35,"ILF3",2.76667216348764e-15,2.69292009318988e-36,3.7376762105082e-23,0.760953611767452,0.761748681080659,0.130802087571629,0.000107358378291278,0.118967657211547,0.0875716351285189,0.951292296336926,0.315754243851157,0.78748084487376
"ILF2",2.82472009423772e-09,6.2607278652906,123.241529982821,"['GABARAPL1', 'RPL21', 'SSR4', 'RPL10', 'RPS8', 'RPL11', 'NEDD8', 'RPL10A', 'RPL9', 'MRPL21', 'TOMM22', 'RPS26', 'RPS4X', 'RPS15A', 'SUMO1', 'RPS2', 'RPL18', 'RPL17', 'RPS13', 'RPS24']",2.07616926926473e-07,0,0,20,"ILF2",2.07616926926473e-07,3.5200782480735e-29,4.95097972971707e-21,0.875209995343366,0.87485519958397,-0.0155306062535701,1.5319464133528e-06,0.0459476609269091,0.196336059573835,0.972431618192022,NA,0.389111043469775
"RAD21",7.08971223047386e-09,5.55274533247494,104.195162147125,"['RPL30', 'RPL10', 'CDCA5', 'RPS5', 'RPL22', 'RPL11', 'RPL35A', 'RPS3A', 'MEA1', 'RPS4X', 'RPS14', 'RPS25', 'RPS15A', 'RPS19', 'SUMO1', 'RPS18', 'RPS2', 'RPS27A', 'RPS10', 'RPL17', 'RPS13']",3.47395899293219e-07,0,0,21,"RAD21",3.47395899293219e-07,7.94137601101377e-22,5.3961587983296e-16,0.931056809246814,0.931195297025472,0.0980899705599007,0.0236612922567521,0.263611385869428,0.219540683097866,0.556914074598212,NA,0.564005223683561
"ESR1",4.5068845564893e-08,2.92849555687971,49.5357208538506,"['RPL10', 'RPL12', 'RPL11', 'RPL36A', 'MYL6B', 'NEDD8', 'RPL10A', 'RPL9', 'ING1', 'RPS4X', 'RPS14', 'RPS15A', 'SUMO1', 'RPL18A', 'RPS19', 'RPS18', 'BLOC1S1', 'RPL36AL', 'BAG1', 'SEC61B', 'RPS2', 'RPL18', 'RPS10', 'RPL17', 'RPS13', 'RPS12', 'FIS1', 'RPL21', 'RPS8', 'RPL22', 'NME2', 'RPS3A', 'PSMA5', 'RPS26', 'RPS25', 'HAX1', 'SP1', 'RPL37A', 'RPL24', 'RPL29', 'RPS24']",1.65628007450982e-06,0,0,41,"ESR1",1.65628007450982e-06,0.000160127592785165,0.620936199705528,0.635858440247454,0.635012071511032,-1.23151048308644,0.806268154080142,0.901763669611147,NA,NA,NA,NA
"ESR2",0.000598964836574789,2.91197421981004,21.6077446238879,"['RPL32', 'CWC15', 'RPL10A', 'RPS26', 'RPS4X', 'RPS25', 'RPL18A', 'RPS18', 'SP1', 'RPL36AL', 'RPS27A', 'RPL29', 'RPL17', 'RPS24', 'RPS13']",0.0176095661952988,0,0,15,"ESR2",0.0176095661952988,0.0229584522941577,0.000452765461234045,0.559070884624173,0.558290839809761,0.762765792734755,0.84541352720504,0.428400896345096,NA,NA,NA,NA
"E2F2",0.00165378063096044,10.4390681003584,66.8590088573501,"['SP1', 'RPS3A', 'RPS2', 'RPS24']",0.0405176254585307,0,0,4,"E2F2",0.0405176254585307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLE",0.00668747181240557,10.4053571428571,52.1050275667453,"['SUMO1', 'POLE3', 'NEDD8']",0.140436908060517,0,0,3,"POLE",0.140436908060517,2.86434868238664e-13,4.7764033956505e-10,0.728690099935244,0.728738933259623,0.206185926767563,2.22964185378982e-05,0.01206814118431,NA,NA,NA,NA
"CTCF",0.00837279085482947,4.54332186424773,21.7296544923319,"['SUMO1', 'H2AFZ', 'RPL36A', 'FAU', 'RPL17']",0.150754461859744,0,0,5,"CTCF",0.150754461859744,2.63600574573633e-10,4.0200056720519e-06,NA,NA,NA,0.669080706896203,0.546821613652762,0.771502239191367,0.899747450097321,NA,0.811927095122464
"RFX5",0.00922986501182106,8.91734693877551,41.7805424146156,"['NDUFA7', 'LSM7', 'RPS19']",0.150754461859744,0,0,3,"RFX5",0.150754461859744,2.74292497856261e-10,8.10708441051652e-09,0.735943358549628,0.73604346991408,0.315420713179113,0.545461600122586,0.790868736407654,NA,NA,NA,NA
"EGR1",0.0122621278536687,7.80133928571429,34.3355649800248,"['SUMO1', 'SP1', 'PFDN5']",0.18025327944893,0,0,3,"EGR1",0.18025327944893,7.27742019341422e-27,1.90977031975995e-12,0.359060497769574,0.356766579311231,-0.226727657799351,0.000977641118538206,0.0328488510611074,NA,NA,NA,NA
"HTT",0.0176826353839456,2.12620546373531,8.57960512071398,"['NDUFA8', 'CHCHD2', 'NDUFA13', 'SUMO1', 'NDUFB10', 'SP1', 'NDUFS5', 'COX5B', 'COX6C', 'COX5A', 'UQCRH', 'COX6B1']",0.236304309221819,0,0,12,"HTT",0.236304309221819,1.02651761221649e-08,2.17911601153395e-06,NA,NA,NA,0.00397838317968004,0.71559196907756,0.990596365874499,0.984215812363681,NA,0.777930401697357
"HDAC8",0.0382778121341118,3.47013142174433,11.3226393070637,"['PPIL1', 'RPS28', 'ING1', 'RPS10']",0.434226972965506,0,0,4,"HDAC8",0.434226972965506,1.24745752603698e-34,2.28932736027621e-23,0.807161755024846,0.807068829378932,0.0843062960992484,0.0031862206220775,0.970443567730733,0.607486761336986,0.885388958503586,NA,0.470117288611756
"ZBTB7A",0.0384010248200787,8.29608540925267,27.0425101148385,"['SUMO1', 'SP1']",0.434226972965506,0,0,2,"ZBTB7A",0.434226972965506,0.763404268301703,0.308476160028187,NA,NA,NA,0.627230583146274,0.894529047097813,0.243142161949713,0.884405893899267,NA,0.81228887038892
"KLF7",0.0462718648640548,Inf,Inf,"['SUMO1']",0.45430748943902,0,0,1,"KLF7",0.45430748943902,2.91669901271608e-10,0.00319665964955834,0.749355041539165,0.749979835424336,-0.283301944210379,0.196417532866883,0.889578566327159,NA,NA,NA,NA
"SREBF2",0.0477850347613656,4.15571428571429,12.637704877815,"['EGR1', 'SUMO1', 'SP1']",0.45430748943902,0,0,3,"SREBF2",0.45430748943902,3.3325195137075e-05,0.0212249850213623,NA,NA,NA,0.407599772686831,0.577409386680589,0.594932408980798,0.638697886232213,NA,0.63385050585134
"TP53",0.0494484342246552,1.64516305837216,4.94671722416383,"['PLK3', 'EGR1', 'RPS19BP1', 'RPL11', 'COX17', 'NEDD8', 'TXN', 'ING1', 'ZNHIT1', 'SUMO1', 'SP1', 'BAG1', 'RPL26', 'RPS27A', 'RPS10', 'TPT1']",0.45430748943902,0,0,16,"TP53",0.45430748943902,0.0856611584776267,0.206280298465481,NA,0.932887607650947,NA,0.169939845342364,0.217697839327482,NA,NA,NA,NA
"MAX",0.0528535638782915,3.08296827293243,9.06463622164033,"['PSMD7', 'BLOC1S1', 'RPL34', 'RPL35']",0.457027875888756,0,0,4,"MAX",0.457027875888756,0.00372279666000216,0.0282340068244151,NA,NA,NA,0.779299418167454,0.445241901746584,0.660937547589121,0.475304663521133,NA,0.419322524637367
"NR4A2",0.0619417934167779,5.92374173868836,16.4772439637239,"['TCEAL5', 'NDUFS5']",0.482471569298197,0,0,2,"NR4A2",0.482471569298197,8.22171152730547e-07,4.30680308680487e-05,0.912916967293001,0.912778058140009,0.0165990800493725,0.0238297153792863,0.0632905353796364,NA,NA,NA,NA
"POLR2A",0.0643758310187205,2.08804347826087,5.72753878068761,"['GABARAPL1', 'DCTN2', 'NEDD8', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L']",0.482471569298197,0,0,7,"POLR2A",0.482471569298197,2.44412415074209e-11,1.19905899647589e-10,0.84009101752082,0.839619614918192,0.149299214073133,0.015622719740102,0.171315465697446,0.90041945480903,0.738053621801634,NA,0.643326435384524
"TAF1",0.0656423903807071,2.23452810727179,6.08581237336811,"['RPL30', 'LSM7', 'RPL37A', 'RPL36A', 'RPL35A', 'COX5A']",0.482471569298197,0,0,6,"TAF1",0.482471569298197,3.46518029494953e-15,5.19003106679668e-08,0.860533732514407,0.860006042520274,0.0613531664320346,0.283202610448139,0.380327342341919,NA,NA,NA,NA
"KLF9",0.0904099720942112,20.6808510638298,49.7043720659185,"['SP1']",0.564840291102076,0,0,1,"KLF9",0.564840291102076,2.48990070222694e-17,8.07650436693234e-12,0.990367624527067,0.990351166379798,0.0381846673669623,0.000244469795692959,0.0443969486916264,NA,NA,NA,NA
"PLAGL2",0.0904099720942112,20.6808510638298,49.7043720659185,"['SUMO1']",0.564840291102076,0,0,1,"PLAGL2",0.564840291102076,0.00819881413140029,6.36752034954057e-05,0.691868938070099,0.691998852995107,0.606863294080586,0.768307060515965,0.737247213935807,NA,NA,NA,NA
"KLF1",0.0904099720942112,20.6808510638298,49.7043720659185,"['RPS27A']",0.564840291102076,0,0,1,"KLF1",0.564840291102076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GATA1",0.0969677432684504,2.96530612244898,6.91917680579517,"['SUMO1', 'SP1', 'RPS27A']",0.564840291102076,0,0,3,"GATA1",0.564840291102076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
