"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","12.1197",1.43655e-34,0.842387,0.805366,0.0703105,392,"False",1.1406207e-31,2.97076636837325e-12,6.01933715300983e-10,0.68506901964184,0.684763681333511,0.277192937522881,0.847078702109006,0.949378598943762
"ELK3","ELK3","MA0759.1","11.907",1.9693e-33,0.860882,0.827514,0.0642058,392,"False",7.818121e-31,0.0027507281077751,0.000660199956491278,0.462471187976226,0.461226951289718,0.0954431541811112,0.749215042049724,0.846745811353226
"FLI1","FLI1","MA0475.2","11.8309",5.08355e-33,0.861446,0.82927,0.0615353,392,"False",1.34544623333333e-30,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","11.7859",8.90956e-33,0.871973,0.840666,0.0595209,392,"False",1.76854766e-30,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","11.3355",1.95357e-30,0.884603,0.852902,0.0599838,392,"False",2.61699753333333e-28,1.42221194356722e-12,4.4050556670906e-06,0.888151243010812,0.887960029285804,-0.00308464721569026,0.897232152848274,0.883266743859059
"ETS1","ETS1","MA0098.3","11.3314",1.97758e-30,0.875914,0.846278,0.0573059,392,"False",2.61699753333333e-28,1.11190689416626e-08,0.0156237668955435,0.921851112214014,0.921851579102261,-0.157274766391784,0.596309380328159,0.665255812069739
"ERG","ERG","MA0474.2","11.1198",2.1808e-29,0.87719,0.84857,0.0572418,392,"False",2.47365028571429e-27,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","10.8492",4.46554e-28,0.858974,0.83128,0.0573493,392,"False",4.43204845e-26,3.46832588186105e-16,1.32385343477526e-14,0.82418112007084,0.823636510425337,0.119866620777697,0.0129437787697362,0.0653044926785429
"ETS2","ETS2","MA1484.1","10.6872",2.71214e-27,0.876583,0.848397,0.0585045,392,"False",2.39271017777778e-25,2.39557833566981e-35,3.568637157862e-20,0.716056867281458,0.716627027243831,0.0467641558885695,0.383045069873415,0.759223793398908
"ZBTB7A","ZBTB7A","MA0750.2","10.2115",4.94117e-25,0.860033,0.829929,0.0593796,392,"False",3.92328898e-23,0.763404268301703,0.308476160028187,NA,NA,NA,0.627230583146274,0.894529047097813
"ETV3","ETV3","MA0763.1","10.1205",1.06302e-24,0.860656,0.835857,0.0565041,392,"False",7.67307163636364e-23,6.56380568644574e-13,4.17280711918231e-10,0.799178246054465,0.799335850457266,0.228446958486085,0.00136187842686355,0.0236324919449185
"ETV5","ETV5","MA0765.2","9.86049",1.63406e-23,0.880677,0.853063,0.0612572,392,"False",1.08120303333333e-21,1.33366577609804e-88,4.7648423290615e-57,0.743959247840043,0.744899344831683,-0.0294534921578857,0.0506272357464406,0.12131107956551
"ELF2","ELF2","MA1483.1","9.51961",4.62349e-22,0.815335,0.790052,0.0598908,392,"False",2.82388543076923e-20,4.86986407050099e-30,5.33712701371437e-12,0.825169800534343,0.824638352818643,-0.0859817096243307,0.152482983805996,0.765425224508755
"ETV2","ETV2","MA0762.1","9.43889",1.01303e-21,0.828984,0.805106,0.0570323,392,"False",5.74532728571429e-20,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","8.9729",8.52802e-20,0.875776,0.851358,0.0594535,392,"False",4.51416525333333e-18,1.07339403374884e-26,4.82365060683996e-15,0.925760487759896,0.925990582903923,0.0135696363681327,0.00279586140758891,0.529135172295357
"ELF4","ELF4","MA0641.1","8.68024",1.16237e-18,0.80331,0.779983,0.0608313,392,"False",5.768261125e-17,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","8.22636",7.08181e-17,0.873717,0.844252,0.0654392,392,"False",3.30762184705882e-15,2.74347443311857e-31,8.59133325468693e-19,0.874750737979355,0.874394120357568,-0.0497595083636545,2.34689533833632e-05,0.199374015749818
"ZBTB33","ZBTB33","MA0527.1","7.97976",5.21145e-16,0.794686,0.772676,0.0545083,392,"True",2.2988285e-14,2.27651563311092e-05,1.16828262030132e-07,0.388633362472728,0.386746456188426,0.594667878798143,0.731457092362289,0.875625413307344
"HINFP","HINFP","MA0131.2","7.88086",1.30863e-15,0.841924,0.819262,0.0459249,392,"False",5.46869589473684e-14,3.5499471007754e-05,0.00198346011571128,0.946142431211178,NA,0.0440920451064368,0.00147766888954681,0.00928888263736649
"ZBTB14","ZBTB14","MA1650.1","7.734",4.31001e-15,0.849286,0.820331,0.0569872,392,"False",1.71107397e-13,3.86720109801658e-15,1.23476190670445e-11,0.890708323267785,0.890522601767746,0.156372637440344,0.101728286782842,0.39458133947101
"YY2","YY2","MA0748.2","7.63043",8.60981e-15,0.846069,0.821895,0.0620209,392,"False",3.25532816190476e-13,NA,NA,NA,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","7.50419",2.44213e-14,0.804552,0.780667,0.0555497,392,"False",8.81386918181818e-13,3.45178919413226e-39,3.89629223691053e-26,0.925760487759896,0.925990582903923,-0.0320041125305667,8.33650980296515e-08,0.0399752560457247
"Gmeb1","Gmeb1","MA0615.1","7.48422",2.86726e-14,0.833829,0.817285,0.038002,392,"False",9.89828017391304e-13,3.77167188916094e-09,8.46459077146043e-06,0.617102408901761,0.615884088465098,0.0240705562492343,0.56090407777414,0.571117373217602
"KLF15","KLF15","MA1513.1","7.36399",7.57199e-14,0.897341,0.860109,0.0751486,392,"False",2.50506669166667e-12,5.969363429168e-08,0.000338094080089978,0.945841357828434,0.945509343834557,0.124600303183484,0.0160797725476181,0.441869334481169
"EGR2","EGR2","MA0472.2","7.1492",3.47836e-13,0.828056,0.808129,0.0500795,392,"False",1.104727136e-11,1.34590230292005e-23,2.22652138401044e-16,0.743934572397113,0.744874745017937,0.0543509185522048,0.128757985002427,0.703381164222804
