"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","10.3805",1.13568e-25,0.854472,0.805366,0.0668647,162,"False",9.0172992e-23,2.97076636837325e-12,6.01933715300983e-10,0.68506901964184,0.684763681333511,0.277192937522881,0.847078702109006,0.949378598943762
"ELK3","ELK3","MA0759.1","9.88436",1.85737e-23,0.870416,0.827514,0.0619627,162,"False",7.3737589e-21,0.0027507281077751,0.000660199956491278,0.462471187976226,0.461226951289718,0.0954431541811112,0.749215042049724,0.846745811353226
"FLI1","FLI1","MA0475.2","9.49674",8.4951e-22,0.869277,0.82927,0.0593012,162,"False",2.2483698e-19,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","9.41647",1.83535e-21,0.879416,0.840666,0.0580691,162,"False",3.64316975e-19,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","9.30094",5.64097e-21,0.89321,0.852902,0.0579663,162,"False",8.95786036e-19,1.42221194356722e-12,4.4050556670906e-06,0.888151243010812,0.887960029285804,-0.00308464721569026,0.897232152848274,0.883266743859059
"ETS1","ETS1","MA0098.3","9.19018",1.57277e-20,0.883523,0.846278,0.0561907,162,"False",2.08129896666667e-18,1.11190689416626e-08,0.0156237668955435,0.921851112214014,0.921851579102261,-0.157274766391784,0.596309380328159,0.665255812069739
"ERF","ERF","MA0760.1","9.08639",4.13144e-20,0.867207,0.83128,0.0546532,162,"False",4.68623337142857e-18,3.46832588186105e-16,1.32385343477526e-14,0.82418112007084,0.823636510425337,0.119866620777697,0.0129437787697362,0.0653044926785429
"ELF2","ELF2","MA1483.1","8.89914",2.26263e-19,0.826666,0.790052,0.0585516,162,"False",2.245660275e-17,4.86986407050099e-30,5.33712701371437e-12,0.825169800534343,0.824638352818643,-0.0859817096243307,0.152482983805996,0.765425224508755
"ETS2","ETS2","MA1484.1","8.83548",3.98629e-19,0.884507,0.848397,0.0592694,162,"False",3.51679362222222e-17,2.39557833566981e-35,3.568637157862e-20,0.716056867281458,0.716627027243831,0.0467641558885695,0.383045069873415,0.759223793398908
"ETV2","ETV2","MA0762.1","8.82071",4.57213e-19,0.839676,0.805106,0.0562747,162,"False",3.63027122e-17,NA,NA,NA,NA,NA,NA,NA
"ERG","ERG","MA0474.2","8.66745",1.80109e-18,0.883134,0.84857,0.0563975,162,"False",1.30005950909091e-16,NA,NA,NA,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","8.29941",4.31274e-17,0.867353,0.835857,0.0544475,162,"False",2.8535963e-15,6.56380568644574e-13,4.17280711918231e-10,0.799178246054465,0.799335850457266,0.228446958486085,0.00136187842686355,0.0236324919449185
"ELF4","ELF4","MA0641.1","8.06785",2.97585e-16,0.813571,0.779983,0.0599687,162,"False",1.81755761538462e-14,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","7.90176",1.16522e-15,0.88468,0.851358,0.0587916,162,"False",6.608462e-14,1.07339403374884e-26,4.82365060683996e-15,0.925760487759896,0.925990582903923,0.0135696363681327,0.00279586140758891,0.529135172295357
"ZBTB7A","ZBTB7A","MA0750.2","7.83536",2.02301e-15,0.865748,0.829929,0.0600385,162,"False",1.07084662666667e-13,0.763404268301703,0.308476160028187,NA,NA,NA,0.627230583146274,0.894529047097813
