Item ID	Item value	Change in Kuiper test statistic when item removed
RPL34	11.4897943615885	-7.440476190493372E-4
RPLP0	12.4933402719929	-7.440476190493372E-4
RPL6	12.0006584843792	-7.440476190493372E-4
RRP9	10.0003696348361	0.009381641361497328
PSMD8	11.5238848703165	-7.440476190493372E-4
EEF1B2	10.8238489267571	-7.440476190493372E-4
PSMD7	10.970443885297	-7.440476190493372E-4
C1QBP	12.0845952184724	-7.440476190493372E-4
MYC	14.2466773645975	0.01512896825396648
PSMD3	11.6362178054673	-7.440476190493372E-4
RACK1	13.0685843116773	-7.440476190493372E-4
MRPL9	11.2746138230935	-7.440476190493372E-4
RPS10	11.8280481029762	-7.440476190493372E-4
VBP1	11.0855577766137	-7.440476190493372E-4
EIF1AX	12.4831221554816	-7.440476190493372E-4
NCBP2	12.1718905504092	-7.440476190493372E-4
RPS5	13.1004473421469	-7.440476190493372E-4
RPL22	11.7942295234349	-7.440476190493372E-4
ILF2	11.6765409138007	-7.440476190493372E-4
NME1	10.650465718822	-7.440476190493372E-4
TUFM	11.952250637127	-7.440476190493372E-4
GNL3	11.5310289164302	-7.440476190493372E-4
CCNA2	17.9753747177753	0.01512896825396648
CANX	12.1483709319447	-7.440476190493372E-4
TCP1	12.6368750801549	-7.440476190493372E-4
NHP2	11.3677308335022	-7.440476190493372E-4
VDAC3	13.4665895727882	0.002967106757464033
SRSF3	11.8398860118339	-7.440476190493372E-4
MCM4	11.7402948238492	-7.440476190493372E-4
VDAC1	11.1435578482882	-7.440476190493372E-4
ERH	11.9690995006605	-7.440476190493372E-4
MCM2	11.8371975991657	-7.440476190493372E-4
SET	11.3707988916701	-7.440476190493372E-4
ODC1	10.8447341699592	-7.440476190493372E-4
NOLC1	11.706949784943	-7.440476190493372E-4
COX5A	12.6760267987772	-7.440476190493372E-4
PRDX3	11.8895351653205	-7.440476190493372E-4
LDHA	10.6243385513216	-7.440476190493372E-4
PCBP1	12.4974214276572	-7.440476190493372E-4
POLD2	11.8722310339336	-7.440476190493372E-4
PGK1	11.6117867449127	-7.440476190493372E-4
RPS3	12.4440190410598	-7.440476190493372E-4
EIF4H	11.5908833456272	-7.440476190493372E-4
USP1	12.4042607976233	-7.440476190493372E-4
RPL14	12.3669355519625	-7.440476190493372E-4
BUB3	13.5704674281356	0.0035841963537590615
RPS2	12.4494567881341	-7.440476190493372E-4
CYC1	11.6769001540688	-7.440476190493372E-4
RPL18	12.5030947144991	-7.440476190493372E-4
CCT7	12.1118773939104	-7.440476190493372E-4
RANBP1	12.0947679149167	-7.440476190493372E-4
NPM1	11.6162043632483	-7.440476190493372E-4
SF3A1	11.7450131100346	-7.440476190493372E-4
NOP16	10.0661598154591	0.009381641361497328
HSPE1	13.0148967941462	-7.440476190493372E-4
LSM2	11.7203318646828	-7.440476190493372E-4
RSL1D1	11.7408031459436	-7.440476190493372E-4
AIMP2	9.39079007467861	0.01512896825396659
LSM7	11.4363267879069	-7.440476190493372E-4
APEX1	10.8623879217641	-7.440476190493372E-4
IMPDH2	11.7159154056647	-7.440476190493372E-4
POLE3	11.8091738963395	-7.440476190493372E-4
RAN	11.5679778894331	-7.440476190493372E-4
EIF4G2	11.7841472143509	-7.440476190493372E-4
