Item ID	Item value	Change in Kuiper test statistic when item removed
LDHC	18.7443380811799	0.007575757575757791
GRHPR	0.505788719020795	0.007575757575757791
LDHB	0.559084045838458	0.007575757575757791
LDHA	0.113145926087899	0.007575757575757791
PKM	0.151469933800276	0.007575757575757791
ALDH1B1	0.183697327917992	0.007575757575757791
MDH2	0.317622505428029	0.007575757575757791
ACOT12	-22.9789224185105	-0.0456545814468704
PDHB	0.392031444525226	0.007575757575757791
ACSS1	0.345375884750345	0.007575757575757791
ACACB	0.193644412995926	0.007575757575757791
PCK2	-1.53040285967354	0.007575757575757791
