Item ID	Item value	Change in Kuiper test statistic when item removed
RPL4	0.411943366795184	-3.774758283725532E-15
RPL5	1.22995780896271	-3.774758283725532E-15
RPL30	0.490197625928661	-3.774758283725532E-15
RPL3	0.327179164170255	-3.774758283725532E-15
RPL32	0.5644564753347	-3.774758283725532E-15
RPL34	0.173069166866086	-3.774758283725532E-15
RPLP1	0.479998931684088	-3.774758283725532E-15
RPLP0	0.545049849662114	-3.774758283725532E-15
RPL10A	0.197275347969121	-3.774758283725532E-15
RPL8	0.785565535005227	-3.774758283725532E-15
RPL9	0.406558889778297	-3.774758283725532E-15
RPL6	0.436239366933466	-3.774758283725532E-15
RPL7	0.543925636278102	-3.774758283725532E-15
RPS15	0.720297022388847	-3.774758283725532E-15
RPS4X	0.338639022191397	-3.774758283725532E-15
RPL7A	0.180682304558176	-3.774758283725532E-15
RPS17	0.588803206186758	-3.774758283725532E-15
RPS16	0.582384858843835	-3.774758283725532E-15
RPS19	0.459868248892068	-3.774758283725532E-15
RPL18A	0.644775344537297	-3.774758283725532E-15
RPL36AL	0.305939599501998	-3.774758283725532E-15
RPS18	0.181028593683189	-3.774758283725532E-15
RPL36	0.680478572987323	-3.774758283725532E-15
RPL35	0.291265268046352	-3.774758283725532E-15
RPLP2	0.526487325120199	-3.774758283725532E-15
RPL38	0.579225598699214	-3.774758283725532E-15
RPL37	0.398842011206526	-3.774758283725532E-15
RPS11	0.725030204316455	-3.774758283725532E-15
RPS10	0.620869484147387	-3.774758283725532E-15
RPL39	0.520732195967202	-3.774758283725532E-15
RPS13	0.905296574344588	-3.774758283725532E-15
RPS12	0.534240360852878	-3.774758283725532E-15
RPS9	0.532774174742715	-3.774758283725532E-15
RPL21	0.471908830522145	-3.774758283725532E-15
RPS7	0.339009082841249	-3.774758283725532E-15
RPS8	0.383814910558497	-3.774758283725532E-15
RPL23	0.630274641413336	-3.774758283725532E-15
RPS5	1.08871717408117	-3.774758283725532E-15
RPS6	0.829260789250919	-3.774758283725532E-15
RPL22	0.468269789597835	-3.774758283725532E-15
RPL13A	0.650878694357182	-3.774758283725532E-15
RPSA	0.390592293810025	-3.774758283725532E-15
RPS3A	0.603022922220152	-3.774758283725532E-15
RPL37A	0.95926795562356	-3.774758283725532E-15
RPL24	0.527264625151803	-3.774758283725532E-15
RPL27	0.910052784276847	-3.774758283725532E-15
RPL26	0.349550875553145	-3.774758283725532E-15
RPL29	0.454693675768202	-3.774758283725532E-15
RPL28	0.822992917964912	-3.774758283725532E-15
UBA52	0.67764345853828	-3.774758283725532E-15
RPL10	0.416182223420096	-3.774758283725532E-15
RPL12	0.411325223802376	-3.774758283725532E-15
RPL11	0.651557806109677	-3.774758283725532E-15
RPL36A	0.362771500910204	-3.774758283725532E-15
RPS27L	1.43710015654984	-3.774758283725532E-15
RPS15A	0.470943225430684	-3.774758283725532E-15
RPL14	0.886073041167914	-3.774758283725532E-15
RPS3	0.521743559325595	-3.774758283725532E-15
RPL13	0.580986307245078	-3.774758283725532E-15
RPS2	0.688521776289676	-3.774758283725532E-15
RPL15	0.290065491844502	-3.774758283725532E-15
RPL18	0.526571633992064	-3.774758283725532E-15
RPS27A	0.47135314646737	-3.774758283725532E-15
RPL17	0.720434225764614	-3.774758283725532E-15
RPL19	0.51014406157505	-3.774758283725532E-15
RPL41	-0.14550631667888	0.004224231224997044
RPL35A	0.466159334766889	-3.774758283725532E-15
RPL23A	0.541058591803859	-3.774758283725532E-15
RPS26	0.607203824884982	-3.774758283725532E-15
RPS25	0.742750403108779	-3.774758283725532E-15
RPS28	0.431705136951919	-3.774758283725532E-15
RPS27	0.226776345195804	-3.774758283725532E-15
RPS29	0.566447756466839	-3.774758283725532E-15
RPL27A	0.379183539038293	-3.774758283725532E-15
RPL22L1	0.449412975355254	-3.774758283725532E-15
FAU	0.442728525362719	-3.774758283725532E-15
RSL24D1	0.520980134084344	-3.774758283725532E-15
RPS21	0.719295463843525	-3.774758283725532E-15
RPL26L1	0.202968691421756	-3.774758283725532E-15
RPS24	0.654155029567784	-3.774758283725532E-15
RPS23	0.545266847079824	-3.774758283725532E-15
