Item ID	Item value	Change in Kuiper test statistic when item removed
FEN1	-0.05064785408957	-9.992007221626409E-16
ARL6IP1	0.144982272508941	-9.992007221626409E-16
MPG	0.54358511941651	-9.992007221626409E-16
PRIM1	1.04441468542303	-9.992007221626409E-16
CETN2	0.360013153083876	-9.992007221626409E-16
GMPR2	0.0245058380442907	-9.992007221626409E-16
COX17	1.05571702711353	-9.992007221626409E-16
SUPT4H1	0.396067309225225	-9.992007221626409E-16
SNAPC5	0.0383744069337064	-9.992007221626409E-16
NT5C	-0.974313416701805	-9.992007221626409E-16
POLD4	-0.330460938849228	-9.992007221626409E-16
MRPL40	0.909614410056515	-9.992007221626409E-16
GUK1	0.555450980613074	-9.992007221626409E-16
POLR2C	0.323398132339426	-9.992007221626409E-16
POLD1	-1.18203796442524	-9.992007221626409E-16
MPC2	0.185473347118491	-9.992007221626409E-16
POLR2E	0.0502497546257921	-9.992007221626409E-16
TMED2	0.656701555071163	-9.992007221626409E-16
POLR2I	0.652689227298166	-9.992007221626409E-16
POLR2J	1.03268540980927	-9.992007221626409E-16
POLR2K	0.669898462061644	-9.992007221626409E-16
SAC3D1	0.858604623966545	-9.992007221626409E-16
BCAP31	0.255039147219798	-9.992007221626409E-16
SURF1	-0.286203244875133	-9.992007221626409E-16
BRF2	-0.576449557765736	-9.992007221626409E-16
GPX4	0.636305410294435	-9.992007221626409E-16
NCBP2	0.27318241530801	-9.992007221626409E-16
TAF13	0.213672221976493	-9.992007221626409E-16
ALYREF	0.0687603775322818	-9.992007221626409E-16
RPA2	-0.629492219669222	-9.992007221626409E-16
VPS37D	1.10646163931851	-9.992007221626409E-16
NME3	0.332823546523256	-9.992007221626409E-16
EDF1	0.692705390194764	-9.992007221626409E-16
GTF2F1	0.249478205961955	-9.992007221626409E-16
ZWINT	-0.714016506921516	-9.992007221626409E-16
GTF2H5	-1.1695998441812	-9.992007221626409E-16
NME1	0.257477062158505	-9.992007221626409E-16
APRT	-0.24149541887296	-9.992007221626409E-16
POLE4	0.325131952559923	-9.992007221626409E-16
RAD51	-1.21831924269999	-9.992007221626409E-16
RRM2B	0.278944811244311	-9.992007221626409E-16
RPA3	-0.527365417686735	-9.992007221626409E-16
IMPDH2	0.682037714706377	-9.992007221626409E-16
POLR1C	-0.590022731664966	-9.992007221626409E-16
CMPK2	0.301887234812727	-9.992007221626409E-16
EIF1B	0.538068920905237	-9.992007221626409E-16
CCNO	-0.280552914327208	-9.992007221626409E-16
