Item ID	Item value	Change in Kuiper test statistic when item removed
NXT1	0.91736689103843	2.4801587301404027E-4
HSPB8	-1.12570440855957	2.4801587301404027E-4
SLC2A1	-0.35289034658266	2.4801587301404027E-4
CELSR2	0.7573959201493	2.4801587301404027E-4
PRSS23	-1.40792005498058	2.4801587301404027E-4
AQP3	-0.291792145550726	2.4801587301404027E-4
IGF1R	-0.903789530792549	2.4801587301404027E-4
CYP26B1	-0.358014798744784	2.4801587301404027E-4
MYC	0.913172916436387	2.4801587301404027E-4
RPS6KA2	-0.25143454738913	2.4801587301404027E-4
MYB	3.30102398036359	2.4801587301404027E-4
CCN5	-2.03770042373007	2.4801587301404027E-4
SLC39A6	-0.0819091702138024	2.4801587301404027E-4
JAK2	-0.600531395619027	2.4801587301404027E-4
KLF10	2.85230692611538	2.4801587301404027E-4
CISH	0.227836516667453	2.4801587301404027E-4
ELOVL2	-1.98778226100978	2.4801587301404027E-4
DYNLT3	0.364975763729538	2.4801587301404027E-4
MYOF	-0.529286540633966	2.4801587301404027E-4
KAZN	0.362521299855023	2.4801587301404027E-4
KCNK15	-0.0632402997560172	2.4801587301404027E-4
GFRA1	1.47103634024412	2.4801587301404027E-4
PDZK1	-1.68231377787019	2.4801587301404027E-4
FOS	4.08489332584797	2.4801587301404027E-4
SLC7A5	2.07550981160318	2.4801587301404027E-4
AR	0.899822328935771	2.4801587301404027E-4
RAB31	0.318158358925529	2.4801587301404027E-4
ADCY9	-0.479322818569011	2.4801587301404027E-4
PPIF	0.431357578439711	2.4801587301404027E-4
BLVRB	0.149257259977737	2.4801587301404027E-4
FKBP4	0.146260630497718	2.4801587301404027E-4
IL6ST	0.0794894849621858	2.4801587301404027E-4
NBL1	0.65787101033748	2.4801587301404027E-4
CD44	-20.8095795145326	2.4801587301404027E-4
PTGES	-1.2632125543131	2.4801587301404027E-4
FKBP5	-0.241794080620939	2.4801587301404027E-4
SLC24A3	-1.29083932170036	2.4801587301404027E-4
ENDOD1	-0.0434096716543079	2.4801587301404027E-4
SLC7A2	0.529495471011984	2.4801587301404027E-4
MUC1	-2.72387960425264	2.4801587301404027E-4
PDLIM3	-0.167955824522684	2.4801587301404027E-4
SYNGR1	0.549108555615794	2.4801587301404027E-4
STC2	0.0101409134708018	2.4801587301404027E-4
BAG1	0.473037076010734	2.4801587301404027E-4
FLNB	-23.782066231645	-0.01141057366081022
HES1	-0.398299672891324	2.4801587301404027E-4
MICB	-1.45279655505514	2.4801587301404027E-4
CA12	0.186981908713652	2.4801587301404027E-4
SVIL	-1.5455207893871	2.4801587301404027E-4
KDM4B	0.317629731806104	2.4801587301404027E-4
XBP1	0.293197058185365	2.4801587301404027E-4
EGR3	0.84851104471216	2.4801587301404027E-4
WFS1	-0.294674299895558	2.4801587301404027E-4
TPBG	1.06872738374875	2.4801587301404027E-4
KLK10	0.569506584336499	2.4801587301404027E-4
MLPH	-0.713521514048918	2.4801587301404027E-4
SYT12	0.0861996742989458	2.4801587301404027E-4
DLC1	-0.202564008326697	2.4801587301404027E-4
FASN	0.746545887002204	2.4801587301404027E-4
BHLHE40	0.226973677764623	2.4801587301404027E-4
BCL2	0.586455038714937	2.4801587301404027E-4
RAB17	-2.94512114244568	2.4801587301404027E-4
DHCR7	0.708862810022137	2.4801587301404027E-4
GLA	0.119206125032205	2.4801587301404027E-4
