Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Large Ribosomal Subunit (GO:0015934),7.373024405464915e-36,62.26130473637176,5036.642900386692,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",6.967508063164344e-34,0,0,32
2,Cytosolic Large Ribosomal Subunit (GO:0022625),7.373024405464915e-36,62.26130473637176,5036.642900386692,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",6.967508063164344e-34,0,0,32
3,Mitochondrial Inner Membrane (GO:0005743),1.1160787679366604e-34,10.215288197049261,798.611533306738,"['NDUFA13', 'MRPS11', 'COX4I1', 'MRPL36', 'MRPL34', 'COX7C', 'MRPL33', 'MRPL2', 'MRPL40', 'UQCRFS1', 'COA8', 'CHCHD1', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS18B', 'MRPS21', 'MRPL47', 'MRPL46', 'MRPS18C', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'TMEM126B', 'SMIM20', 'NDUFB8', 'DMAC1', 'NDUFB10', 'UQCRB', 'MRPS36', 'MRPS33', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'MRPL14', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'UQCRH', 'MRPL11', 'ATP5MC1', 'STMP1', 'COX11', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'UQCC3', 'NDUFA5', 'NDUFA1', 'ATP5F1E', 'UQCRQ']",7.03129623800096e-33,0,0,61
4,Organelle Inner Membrane (GO:0019866),3.983103286956774e-32,9.211364614722342,665.9877571728105,"['NDUFA13', 'COX4I1', 'MRPS11', 'MRPL36', 'MRPL34', 'COX7C', 'MRPL33', 'MRPL2', 'MRPL40', 'UQCRFS1', 'CHCHD1', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS18B', 'MRPS21', 'MRPL47', 'MRPL46', 'MRPS18C', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'TMEM126B', 'SMIM20', 'NDUFB8', 'DMAC1', 'UQCRB', 'NDUFB10', 'MRPS36', 'MRPS33', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'MRPL14', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'UQCRH', 'MRPL11', 'ATP5MC1', 'STMP1', 'COX11', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'UQCC3', 'NDUFA1', 'ATP5F1E', 'UQCRQ']",1.882016303087076e-30,0,0,60
5,Mitochondrial Membrane (GO:0031966),5.154671158699498e-32,7.567553323412699,545.1878792788715,"['IFI27L2', 'NDUFA13', 'COX4I1', 'MRPS11', 'CISD2', 'MRPL36', 'MRPL34', 'COX7C', 'MRPL33', 'MRPL2', 'HINT2', 'MRPL40', 'UQCRFS1', 'CHCHD1', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS18B', 'MRPS21', 'MRPL47', 'MRPL46', 'MRPS18C', 'MRPL52', 'SMDT1', 'MRPL51', 'HAX1', 'NDUFS6', 'NDUFS5', 'TMEM126B', 'SMIM20', 'NDUFB8', 'UQCRB', 'DMAC1', 'NDUFB10', 'MRPS36', 'MRPS33', 'NDUFB3', 'NDUFB2', 'TIMM13', 'NDUFB1', 'TMEM160', 'UQCR11', 'MRPL14', 'UQCR10', 'TIMM10', 'COX5B', 'MRPL57', 'UQCRH', 'MRPL11', 'ATP5MC1', 'STMP1', 'COX11', 'RPS27A', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'FIS1', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'UQCC3', 'NDUFA1', 'ATP5F1E', 'UQCRQ', 'TOMM7', 'BAX', 'TOMM5']",1.94846569798841e-30,0,0,69
6,Ribosome (GO:0005840),4.3637787774734984e-31,49.379849812265334,3451.987260597434,"['RPL30', 'RPL32', 'RPL11', 'RPL10A', 'RPL9', 'RPL7A', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL38', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL19', 'RPS9', 'RPL41', 'RPS7', 'RPS5', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPS21', 'RPS23']",1.374590314904152e-29,0,0,29
7,Cytosolic Small Ribosomal Subunit (GO:0022627),2.3614426409281673e-26,52.75832828588734,3113.160254010254,"['RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS27L', 'RPS3A', 'RPS15', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS16', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24', 'RPS23']",6.375895130506051e-25,0,0,24
8,Small Ribosomal Subunit (GO:0015935),6.202081385115752e-26,48.985376827896516,2843.2252833239186,"['RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS27L', 'RPS3A', 'RPS15', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS16', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24', 'RPS23']",1.4652417272335963e-24,0,0,24
9,Polysomal Ribosome (GO:0042788),7.839203245515836e-24,168.96124031007753,8989.228821884699,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL10A', 'RPL7A', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL36', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21', 'RPL19', 'RPS23']",1.6462326815583257e-22,0,0,18
10,Small-Subunit Processome (GO:0032040),1.368099393349641e-12,15.419909582483822,421.23490109196746,"['RPS9', 'RPS7', 'RPS19BP1', 'RPS8', 'RPS5', 'RPS3A', 'RPS14', 'RPS28', 'RPS16', 'RPS15A', 'RPS27', 'RPS19', 'RPS27A', 'RPS13', 'RPS24', 'RPS23']",2.5857078534308213e-11,0,0,16
