"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"MYBL2",0.0078917847056507,16.4648093841642,79.7215034228365,"['CDK9', 'CCND1']",0.307486651773554,0,0,2,"MYBL2",0.307486651773554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUNX1",0.0286379883565051,8.07864357864358,28.7035917269016,"['CDK9', 'CCND1']",0.307486651773554,0,0,2,"RUNX1",0.307486651773554,4.49551610671296e-07,1.58135782725218e-05,0.902228746563616,0.897236427213689,0.10279823944227,0.0496343736112873,0.138592279698673,NA,NA,NA,NA
"AR",0.0316307592498576,4.63431276980922,16.0051795418905,"['CDK9', 'CCND1', 'TDG']",0.307486651773554,0,0,3,"AR",0.307486651773554,0.00013642365764801,2.28694176706763e-05,0.761652508948989,0.75614032001176,0.495509089722192,0.177179126428869,0.409997391802428,NA,NA,NA,NA
"VDR",0.0345685223732354,7.26623376623377,24.449508892917,"['CDCA7L', 'TDG']",0.307486651773554,0,0,2,"VDR",0.307486651773554,0.335450061310829,0.0401384098347604,0.935581760547625,NA,0.286685859727127,0.208743860643761,0.15375471179694,NA,NA,NA,NA
"YY1",0.0354517856790785,7.16325224071703,23.9222657768705,"['FKBP3', 'CRKL']",0.307486651773554,0,0,2,"YY1",0.307486651773554,0.0207079055136831,0.000655845071614332,NA,NA,NA,0.97600461906995,0.614712071356755,0.6233827343592,0.913749535334991,NA,0.979809304931412
"MYC",0.0354792290507947,2.65564784053156,8.86669785918609,"['OTUD4', 'CDK9', 'CCND1', 'CDCA7L', 'TDG', 'PADI2']",0.307486651773554,0,0,6,"MYC",0.307486651773554,2.5465084605957e-07,0.00158823234268138,0.886675008153677,0.88168771868786,0.131345112579313,0.0895679780914538,0.130491833448364,NA,NA,NA,NA
"IKZF1",0.0670062742867001,15.6166666666667,42.2113661629582,"['TDG']",0.331077760755675,0,0,1,"IKZF1",0.331077760755675,0.0459422173223253,0.0139796943548408,0.761652508948989,0.75614032001176,0.896743842819336,0.258154695710763,0.830800674538828,NA,NA,NA,NA
"CBFB",0.0670062742867001,15.6166666666667,42.2113661629582,"['CDK9']",0.331077760755675,0,0,1,"CBFB",0.331077760755675,1.03788472365613e-05,0.0365160990758449,0.757994699993995,0.752448123821332,-0.606684145357858,0.462772335070708,0.856084735475316,0.552032234331508,0.718500551150925,NA,0.417952100550827
"NEUROD1",0.0821224603506465,12.4888888888889,31.216523877531,"['CCND1']",0.331077760755675,0,0,1,"NEUROD1",0.331077760755675,0.0179001927316468,0.00115715830002039,0.818001196246083,0.812390319941338,0.449601530524747,0.624126266314764,0.788794930183608,NA,NA,NA,NA
"ILF2",0.0879555394781248,4.21969696969697,10.2577618995217,"['CDK9', 'FKBP3']",0.331077760755675,0,0,2,"ILF2",0.331077760755675,2.2667021949137e-21,3.99200864660896e-16,0.942295348479119,0.939891502254055,0.0140479969083918,0.000494812793055843,0.0473635024648206,0.155519112390423,0.811313715497116,NA,0.93470647551083
"EP300",0.0910757757607873,2.95169946332737,7.07245910589491,"['CDK9', 'CCND1', 'TDG']",0.331077760755675,0,0,3,"EP300",0.331077760755675,4.21511256306807e-41,4.04810084314845e-23,0.905419594034339,0.900714441277919,-0.0821266899775769,1.34754405360583e-07,0.0512086372269883,NA,NA,NA,NA
