Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SIRT3,0.053713074690528426,5.848809523809524,17.10249708872072,"['PPP1R14A', 'AXL']",0.5766517097622411,0,0,2
2,THAP1,0.08281985961179744,14.49705882352941,36.11344051387761,['GCOM1'],0.5766517097622411,0,0,1
3,USF2,0.12921838382567474,8.278991596638656,16.940898212132865,['S100A8'],0.5766517097622411,0,0,1
4,RFX5,0.12921838382567474,8.278991596638656,16.940898212132865,['CD74'],0.5766517097622411,0,0,1
5,NFYA,0.12921838382567474,8.278991596638656,16.940898212132865,['CD74'],0.5766517097622411,0,0,1
6,CREM,0.14416292744056028,7.242647058823529,14.027639785047898,['CASP8AP2'],0.5766517097622411,0,0,1
7,SREBF2,0.21516639261057788,4.452488687782806,6.840552637826161,['CASP8AP2'],0.7293493085179104,0,0,1
8,KAT2A,0.26774981212357746,3.402076124567474,4.482923436615882,['HSD11B2'],0.7293493085179104,0,0,1
9,NFKB1,0.37567050666182766,1.5633848133848134,1.5306206949640062,"['DSP', 'NFKBIE']",0.7293493085179104,0,0,2
10,VDR,0.3844578105375543,2.1376906318082787,2.0434638401113197,['CDCA7L'],0.7293493085179104,0,0,1
11,CREB1,0.3844578105375543,2.1376906318082787,2.0434638401113197,['CD74'],0.7293493085179104,0,0,1
12,MYC,0.3937177893193754,1.2340425531914894,1.1502768517301478,"['DSP', 'CROCC', 'CDCA7L', 'PADI2', 'MFGE8']",0.7293493085179104,0,0,5
13,GTF2B,0.3950642087805348,2.060924369747899,1.913994833869277,['FOXF2'],0.7293493085179104,0,0,1
14,ATF2,0.44189380333332406,1.357983193277311,1.1090454408355548,"['ANXA3', 'S100A11']",0.7424482457231069,0,0,2
15,TBP,0.48274624551831397,1.5567567567567568,1.1337301128388233,['FOXF2'],0.7424482457231069,0,0,1
16,PML,0.50045517670467,1.4763197586727,1.0219635169773973,['CASP8AP2'],0.7424482457231069,0,0,1
17,RARA,0.525900840720534,1.3700280112044818,0.8804383628592406,['NRIP2'],0.7424482457231069,0,0,1
18,FOXP3,0.5947990640659483,1.1261822376009227,0.5850873025025088,['CDCA7L'],0.7930654187545977,0,0,1
19,POU5F1,0.6883059606568085,0.8675579322638146,0.3240518261831708,['HIST1H3E'],0.8548419949095957,0,0,1
20,TP53,0.7602105981048416,0.729090354090354,0.19988725203855723,"['ANXA3', 'S100A8']",0.8548419949095957,0,0,2
21,ESR2,0.7727321722619915,0.6791316526610645,0.17509560303338503,['NEFH'],0.8548419949095957,0,0,1
22,HTT,0.8160088070772947,0.5927696078431373,0.12052792206855324,['CPT1B'],0.8548419949095957,0,0,1
23,CTNNB1,0.8192235784550292,0.5865372953305034,0.11695450603574878,['SOX6'],0.8548419949095957,0,0,1
24,ESR1,0.9325900140346195,0.4517061885482938,0.03152439526744331,"['DSP', 'S100A8']",0.9325900140346195,0,0,2
