Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-1964-5p,0.0017028193860449555,58.70238095238095,374.2552651255199,"['PRTG', 'PADI2']",0.7282692362314581,0,0,2
2,hsa-miR-3119,0.002776646407364398,12.699655765920825,74.75666854078705,"['EMP2', 'PRELP', 'ECHDC3']",0.7282692362314581,0,0,3
3,hsa-miR-3920,0.005763292593782073,23.466666666666665,120.99991403521896,"['ZCCHC24', 'FOXF2']",0.7282692362314581,0,0,2
4,hsa-miR-1269a,0.009662147940095093,16.755102040816325,77.73595441779707,"['SOX6', 'SLC38A2']",0.7282692362314581,0,0,2
5,hsa-miR-1233-3p,0.014126704728662913,6.56760374832664,27.9759449802682,"['ZCCHC24', 'NPFFR1', 'GDF15']",0.7282692362314581,0,0,3
6,mmu-miR-5114,0.014437055158282246,13.026455026455027,55.20555760265847,"['PRTG', 'PADI2']",0.7282692362314581,0,0,2
7,hsa-miR-5004-3p,0.014437055158282246,13.026455026455027,55.20555760265847,"['EMP2', 'HIST1H3E']",0.7282692362314581,0,0,2
8,mmu-miR-666-3p,0.01713475230662647,inf,inf,['PADI2'],0.7282692362314581,0,0,1
9,hsa-miR-593-3p,0.026621193170790366,5.058175559380379,18.34118557344854,"['GJD2', 'AXL', 'ZNF574']",0.7282692362314581,0,0,3
10,hsa-miR-1225-3p,0.026621193170790366,5.058175559380379,18.34118557344854,"['NPFFR1', 'GDF15', 'PNMA5']",0.7282692362314581,0,0,3
11,hsa-miR-3665,0.02849086290997907,4.916666666666667,17.494344893572183,"['GDF15', 'PRELP', 'S100A11']",0.7282692362314581,0,0,3
12,mmu-miR-15a-5p,0.028821132444504627,3.110210905349794,11.03081829664233,"['ZCCHC24', 'FAM163A', 'FRMPD1', 'PADI2', 'SLC38A2']",0.7282692362314581,0,0,5
13,mmu-miR-343,0.02980367420622056,8.365646258503402,29.389549279590234,"['FOXF2', 'AXL']",0.7282692362314581,0,0,2
14,hsa-miR-8063,0.03243462789749701,4.655992390615092,15.963203373547278,"['HEPHL1', 'CPT1B', 'HIST1H3E']",0.7282692362314581,0,0,3
15,hsa-miR-4474-3p,0.03340728545963177,7.806349206349206,26.53363478045886,"['ECHDC3', 'SLC38A2']",0.7282692362314581,0,0,2
16,mmu-miR-99b-5p,0.033979332807442184,58.023529411764706,196.23573880832907,['MFGE8'],0.7282692362314581,0,0,1
17,mmu-miR-683,0.033979332807442184,58.023529411764706,196.23573880832907,['SLC5A3'],0.7282692362314581,0,0,1
18,hsa-miR-6895-3p,0.03664916422540761,4.421385542168674,14.618712883318555,"['GJD2', 'AXL', 'ZNF574']",0.7282692362314581,0,0,3
19,hsa-miR-596,0.03717182454752768,7.316964285714286,24.088940620837512,"['CLMP', 'ZNF574']",0.7282692362314581,0,0,2
20,hsa-miR-4778-3p,0.043472146279288935,4.11039506864668,12.888698071357148,"['SUN2', 'PLCXD3', 'PNMA5']",0.7282692362314581,0,0,3
21,hsa-miR-1290,0.045158116313879615,6.501322751322752,20.138401472697115,"['EMP2', 'HIST1H3E']",0.7282692362314581,0,0,2
22,hsa-miR-3938,0.0493675021613195,6.157894736842105,18.52579799492391,"['ZCCHC24', 'CPT1B']",0.7282692362314581,0,0,2
23,hsa-miR-4520-5p,0.05053854312970908,29.00588235294118,86.58311003744352,['CLMP'],0.7282692362314581,0,0,1
24,mmu-miR-3070b-5p,0.05053854312970908,29.00588235294118,86.58311003744352,['SLC5A3'],0.7282692362314581,0,0,1
25,mmu-miR-3473b,0.05053854312970908,29.00588235294118,86.58311003744352,['PADI2'],0.7282692362314581,0,0,1
26,hsa-miR-937-3p,0.05053854312970908,29.00588235294118,86.58311003744352,['GDF15'],0.7282692362314581,0,0,1
27,hsa-miR-1245b-3p,0.053713074690528426,5.848809523809524,17.10249708872072,"['RGR', 'SLC38A2']",0.7282692362314581,0,0,2
28,hsa-miR-6857-3p,0.053713074690528426,5.848809523809524,17.10249708872072,"['MICALL1', 'SLC38A2']",0.7282692362314581,0,0,2
29,hsa-miR-3943,0.05818905186434436,5.569160997732427,15.839017190941084,"['NPFFR1', 'PNMA5']",0.7282692362314581,0,0,2
30,hsa-miR-302f,0.0616573493072804,3.5298795180722893,9.834819165175023,"['PLCXD3', 'CCDC125', 'CTSV']",0.7282692362314581,0,0,3
31,hsa-miR-876-5p,0.06278980575070842,5.314935064935065,14.711541202108732,"['EMP2', 'HIST1H3E']",0.7282692362314581,0,0,2
32,hsa-miR-382-3p,0.06278980575070842,5.314935064935065,14.711541202108732,"['GJD2', 'CLMP']",0.7282692362314581,0,0,2
33,hsa-miR-1825,0.06278980575070842,5.314935064935065,14.711541202108732,"['GJD2', 'SLC38A2']",0.7282692362314581,0,0,2
34,hsa-miR-212-3p,0.06278980575070842,5.314935064935065,14.711541202108732,"['HS3ST3B1', 'SLC38A2']",0.7282692362314581,0,0,2
35,hsa-miR-3167,0.06278980575070842,5.314935064935065,14.711541202108732,"['EMP2', 'HIST1H3E']",0.7282692362314581,0,0,2
36,hsa-miR-4698,0.06450453274767028,3.4599574769666903,9.483811890946512,"['HEPHL1', 'CPT1B', 'HIST1H3E']",0.7282692362314581,0,0,3
37,hsa-miR-3193,0.06681715321357234,19.333333333333332,52.31204530419587,['CLMP'],0.7282692362314581,0,0,1
38,mmu-miR-2136,0.06681715321357234,19.333333333333332,52.31204530419587,['TMEM176B'],0.7282692362314581,0,0,1
39,mmu-miR-323-3p,0.06681715321357234,19.333333333333332,52.31204530419587,['LILRB3'],0.7282692362314581,0,0,1
40,hsa-miR-4442,0.06681715321357234,19.333333333333332,52.31204530419587,['MFGE8'],0.7282692362314581,0,0,1
41,mmu-miR-669d-5p,0.06681715321357234,19.333333333333332,52.31204530419587,['APLNR'],0.7282692362314581,0,0,1
42,mmu-miR-208a-3p,0.06681715321357234,19.333333333333332,52.31204530419587,['SOX6'],0.7282692362314581,0,0,1
43,hsa-miR-651-3p,0.06741179641637776,3.392724745134384,9.149958976897945,"['GJD2', 'EMP2', 'SOX6']",0.7282692362314581,0,0,3
44,hsa-miR-4293,0.06750985901210842,5.082815734989648,13.700636454185814,"['DOCK11', 'ZNF574']",0.7282692362314581,0,0,2
45,hsa-miR-346,0.07234388149879978,4.870039682539683,12.790304035384075,"['ZCCHC24', 'FOXF2']",0.7282692362314581,0,0,2
46,hsa-miR-3910,0.07234388149879978,4.870039682539683,12.790304035384075,"['GJD2', 'HEPHL1']",0.7282692362314581,0,0,2
47,hsa-miR-3667-3p,0.07340327309799742,3.2657295850066936,8.529389264886241,"['PLCXD3', 'PADI2', 'CPT1B']",0.7282692362314581,0,0,3
48,hsa-miR-562,0.07728668692157903,4.674285714285714,11.967263174996102,"['ECHDC3', 'SOX6']",0.7282692362314581,0,0,2
49,mmu-miR-223-3p,0.07962496788718786,3.1478055077452667,7.965293836730124,"['ZCCHC24', 'SOX6', 'NEFH']",0.7282692362314581,0,0,3
50,hsa-miR-506-3p,0.08233322955235534,4.493589743589744,11.22040592664142,"['GJD2', 'HEPHL1']",0.7282692362314581,0,0,2
51,hsa-miR-5697,0.08233322955235534,4.493589743589744,11.22040592664142,"['ECHDC3', 'SLC5A3']",0.7282692362314581,0,0,2
52,hsa-miR-3687,0.08281985961179744,14.49705882352941,36.11344051387761,['MFGE8'],0.7282692362314581,0,0,1
53,mmu-miR-760-3p,0.08281985961179744,14.49705882352941,36.11344051387761,['AXL'],0.7282692362314581,0,0,1
54,mmu-miR-3092-3p,0.08281985961179744,14.49705882352941,36.11344051387761,['PADI2'],0.7282692362314581,0,0,1
55,mmu-miR-370-3p,0.08281985961179744,14.49705882352941,36.11344051387761,['SLC5A3'],0.7282692362314581,0,0,1
56,mmu-miR-219a-5p,0.08281985961179744,14.49705882352941,36.11344051387761,['SOX6'],0.7282692362314581,0,0,1
57,mmu-miR-574-5p,0.08281985961179744,14.49705882352941,36.11344051387761,['PIEZO2'],0.7282692362314581,0,0,1
58,mmu-miR-499-5p,0.08281985961179744,14.49705882352941,36.11344051387761,['SOX6'],0.7282692362314581,0,0,1
59,mmu-miR-3086-3p,0.08281985961179744,14.49705882352941,36.11344051387761,['SLC5A3'],0.7282692362314581,0,0,1
60,hsa-miR-181c-5p,0.08606973743051673,3.0380141254673867,7.451025578629362,"['SRGN', 'HEPHL1', 'SLC38A2']",0.7282692362314581,0,0,3
61,hsa-miR-6732-3p,0.09271802737460168,4.170918367346939,9.919246175624458,"['AXL', 'ZNF574']",0.7282692362314581,0,0,2
62,hsa-miR-181d-5p,0.0927301527022939,2.935542168674699,6.98090006960728,"['SRGN', 'HEPHL1', 'SLC38A2']",0.7282692362314581,0,0,3
63,hsa-miR-211-5p,0.09413449672903551,2.4319839074679406,5.746852642762749,"['ZCCHC24', 'PLCXD3', 'PADI2', 'CPT1B']",0.7282692362314581,0,0,4
64,mmu-miR-362-5p,0.09613883846035966,2.8868259924945683,6.760836481563699,"['CLMP', 'SERPINE2', 'EMP2']",0.7282692362314581,0,0,3
65,hsa-miR-6771-3p,0.09613883846035966,2.8868259924945683,6.760836481563699,"['DOCK11', 'EMP2', 'CTSV']",0.7282692362314581,0,0,3
66,mmu-miR-876-3p,0.09855128284529274,11.59529411764706,26.86836307974991,['PADI2'],0.7282692362314581,0,0,1
67,mmu-miR-3074-1-3p,0.09855128284529274,11.59529411764706,26.86836307974991,['SLC5A3'],0.7282692362314581,0,0,1
68,mmu-miR-1955-3p,0.09855128284529274,11.59529411764706,26.86836307974991,['SLC5A3'],0.7282692362314581,0,0,1
69,hsa-miR-933,0.09855128284529274,11.59529411764706,26.86836307974991,['FAM163A'],0.7282692362314581,0,0,1
70,hsa-miR-668-3p,0.09855128284529274,11.59529411764706,26.86836307974991,['HEPHL1'],0.7282692362314581,0,0,1
71,hsa-miR-409-5p,0.09855128284529274,11.59529411764706,26.86836307974991,['FAM163A'],0.7282692362314581,0,0,1
72,hsa-miR-424-3p,0.09855128284529274,11.59529411764706,26.86836307974991,['RGR'],0.7282692362314581,0,0,1
73,hsa-miR-3116,0.10346060081914017,3.891269841269841,8.827596260573257,"['SRGN', 'NPFFR1']",0.7282692362314581,0,0,2
74,hsa-miR-6872-3p,0.10346060081914017,3.891269841269841,8.827596260573257,"['SUN2', 'NPFFR1']",0.7282692362314581,0,0,2
75,hsa-miR-4684-5p,0.10666703125071689,2.7498117469879517,6.15419735482401,"['AXL', 'EMP2', 'ZNF574']",0.7282692362314581,0,0,3
76,mmu-miR-669m-3p,0.10895484367578336,3.7649769585253456,8.346282850546011,"['PADI2', 'LILRB3']",0.7282692362314581,0,0,2
