"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"Sox2 (mouse)",0.0834170308499893,22.5680751173709,56.0569046052178,"['NPSR1']",0.236561315567773,0,0,1,"Sox2",0.236561315567773,2.75909867296036e-08,9.21044246454697e-05,0.977041396365994,0.976371505344678,0.031594844605852,0.116304630113243,0.239431034235095,0.458185531872514,0.702032181770732,NA,0.0758987072643977
"Stat3 (mouse)",0.105776463675973,17.4558823529412,39.2133697002904,"['NPSR1']",0.236561315567773,0,0,1,"Stat3",0.236561315567773,4.65896330970829e-06,0.0148564994558201,NA,NA,NA,0.527670145972011,0.421644142975568,0.485221182377541,0.760418850715161,NA,0.796954504789944
"ETV4 (mouse)",0.118162187108801,15.4590163934426,33.0157769627713,"['NPSR1']",0.236561315567773,0,0,1,"ETV4",0.236561315567773,6.17023785939033e-11,7.29371331510527e-07,0.875873532377572,0.870448167133811,-0.0148013716148578,0.00881863464496368,0.0424230563512091,NA,NA,NA,NA
"FOXA1 (mouse)",0.122271567316301,14.8860759493671,31.2832485796498,"['NPSR1']",0.236561315567773,0,0,1,"FOXA1",0.236561315567773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYOG (human)",0.124509002336575,14.5900621118012,30.3966035931371,"['NPSR1']",0.236561315567773,0,0,1,"MYOG",0.236561315567773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUNX2 (human)",0.128603550582122,14.0750750750751,28.8682725576897,"['NPSR1']",0.236561315567773,0,0,1,"RUNX2",0.236561315567773,7.08893004483355e-07,0.00275636443475193,0.574413435855375,0.567102291427339,0.279394853173435,0.370549283025186,0.849088593883418,NA,NA,NA,NA
"SAMD9L (human)",0.128975306333974,14.0299401197605,28.7352018206955,"['NPSR1']",0.236561315567773,0,0,1,"SAMD9L",0.236561315567773,0.886436761657917,0.0123324481959719,0.892787096555324,NA,0.799798783460448,0.340612618499202,0.0314090528396702,NA,NA,NA,NA
"PGR (human)",0.133800913589167,13.4668587896254,27.0872707875422,"['NPSR1']",0.236561315567773,0,0,1,"PGR",0.236561315567773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI1 (human)",0.141936789340664,12.6043360433604,24.6083712472996,"['NPSR1']",0.236561315567773,0,0,1,"SPI1",0.236561315567773,0.044096224305863,0.0444332151957152,0.80459497180786,0.800172681704998,0.366423315385425,0.348347973786746,0.301099963982019,NA,NA,NA,NA
"CBEPB (mouse)",0.191020933034657,8.96031746031746,14.8326609637137,"['NPSR1']",0.276919513919535,0,0,1,"CBEPB",0.276919513919535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GATA1 (human)",0.218721783024934,7.62542955326461,11.5903079003999,"['NPSR1']",0.276919513919535,0,0,1,"GATA1",0.276919513919535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBEPB (human)",0.221535611135628,7.50847457627119,11.3165621169589,"['NPSR1']",0.276919513919535,0,0,1,"CBEPB",0.276919513919535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCF4 (human)",0.341935042968601,4.30095036958817,4.61549819342343,"['NPSR1']",0.394540434194539,0,0,1,"TCF4",0.394540434194539,1.91992935522392e-16,1.55404897660104e-10,0.858777010288725,0.852632856548948,-0.108337640382888,0.000248597224333923,0.0326643619983878,0.409478561787312,0.797043480075974,NA,0.365408443106749
"GATA2 (human)",0.622441196141984,1.59431524547804,0.755874613710117,"['NPSR1']",0.666901281580698,0,0,1,"GATA2",0.666901281580698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXC1 (human)",0.755396882694787,0.978715017737485,0.274541302560383,"['NPSR1']",0.755396882694787,0,0,1,"FOXC1",0.755396882694787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
