GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
SELENOH,NM_001321335
ATOX1,NM_004045
CRH,NM_000756
GIHCG,NR_038269
RPL41,NM_001035267
TMEM141,NM_032928
ANAPC15,NM_001278485
MYL6B,NM_001199629
CAMTA1-DT,NR_149049
COPS9,NM_001163424
DNAJC19,NM_001190233
NDUFA5,NM_001282419
NEDD8,NM_006156
SNRPD1,NM_001291916
C18orf32,NM_001035005
PET117,NM_001164811
RPS19BP1,NM_194326
MRPL11,NM_016050
SDHAF1,NM_001042631
ANKRD65,NM_001145210
RPS8,NM_001012
RPS27,NM_001030
FCGR3A,NM_000569
RPL34,NM_000995
SNHG8,NR_003584
MRPL36,NM_032479
NUDT1,NM_001367553
POLR2K,NM_005034
CHCHD1,NM_203298
LSM7,NM_016199
C19orf53,NM_014047
BOLA3,NM_001035505
MZT2A,NM_001085365
NDUFS6,NM_004553
LSM2,NM_021177
TIMM8B,NM_012459
HBQ1,NM_005331
APOC1,NM_001321065
TMEM160,NM_017854
TMA7,NM_001329417
RPL29,NM_000992
NCBP2AS2,NM_001355243
RPS14,NM_001025070
DNPH1,NM_006443
TOMM7,NM_019059
ROM1,NM_000327
FAU,NM_001997
MDP1,NM_001199821
SPAG7,NM_004890
OXLD1,NM_001039842
CENPX,NM_001271006
POLR2I,NM_006233
DDT,NM_001084392
RPL39,NM_001000
MORN2,NM_001145450
UQCRQ,NM_014402
RPS15A,NM_001019
COX7A2,NM_001366292
CTXN2,NM_001145668
BEX5,NM_001012978
COX17,NM_001382002
RPL35A,NM_000996
SELENOW,NM_003009
NDUFB1,NM_004545
RPS21,NM_001024
RPL36A,NM_001199972
MRPS36,NM_033281
WDR64,NM_001367482
LSM10,NM_032881
S100A11,NM_005620
FNDC4,NM_022823
RPS27A,NM_001135592
TMSB10,NM_021103
OCIAD2,NM_001014446
HEIH,NR_045680
MRPS18B,NM_014046
RPS10,NM_001014
GTF2H5,NM_207118
SNHG15,NR_003697
LAMTOR4,NM_001008395
NDUFB2,NM_004546
BAG1,NM_001172415
RPLP2,NM_001004
CAVIN3,NM_145040
AKIP1,NM_001206645
RPS13,NM_001017
TMEM126B,NM_001193537
CWC15,NM_001363371
MRPL51,NM_016497
RPL21,NM_000982
RPS29,NM_001030001
SNRNP25,NM_024571
ANTKMT,NM_001271285
EMC6,NM_001014764
RPS28,NM_001031
EFCAB8,NM_001143967
RANBP1,NM_001278639
RPL10,NM_001256577
RPL12,NM_000976
UQCR10,NM_001003684
RPL18A,NM_000980
LSM3,NM_014463
SEC61B,NM_006808
HAX1,NM_001018837
IFI27L1,NM_145249
RPL11,NM_000975
IFI27L2,NM_032036
PLEKHJ1,NM_001300836
DUSP28,NM_001033575
ATP5MPL,NA
USE1,NM_018467
POP4,NM_006627
CTSV,NM_001201575
UQCRH,NM_001297565
PDAP1,NM_014891
PFDN4,NM_002623
GCHFR,NM_005258
HINT2,NM_032593
TOMM5,NM_001001790
RPL35,NM_007209
COX14,NM_001257133
RPL36AL,NM_001001
HDDC3,NM_001286451
POMC,NM_000939
MZT2B,NM_001330282
RPL32,NM_000994
FIS1,NM_016068
UBXN1,NM_001286077
MRPL57,NM_024026
POMP,NM_015932
SNAPC5,NM_001329613
RPL9,NM_000661
RPS3A,NM_001006
MRPS33,NM_016071
CHCHD5,NM_001304353
MRPL46,NM_022163
FDX2,NM_001031734
TRIAP1,NM_016399
UQCRFS1,NM_006003
NRN1,NM_001278710
SMIM19,NM_001135674
RHOV,NM_133639
RPL26,NM_000987
SNRPG,NM_001317165
HDDC2,NM_016063
PXT1,NM_152990
RIIAD1,NM_001144956
IZUMO2,NM_001321449
RSPH10B2,NM_001099697
EMC10,NM_175063
C1orf122,NM_001142726
RPL30,NM_000989
NDUFB8,NM_001284367
