"Ensembl","Gene_Symbols"
"ENSG00000188290","HES4"
"ENSG00000242485","MRPL20"
"ENSG00000162585","FAAP20"
"ENSG00000116251","RPL22"
"ENSG00000116288","PARK7"
"ENSG00000241563","CORT"
"ENSG00000142676","RPL11"
"ENSG00000198830","HMGN2"
"ENSG00000126698","DNAJC8"
"ENSG00000130770","ATP5IF1"
"ENSG00000084623","EIF3I"
"ENSG00000197982","C1orf122"
"ENSG00000168653","NDUFS5"
"ENSG00000131238","PPT1"
"ENSG00000084073","ZMPSTE24"
"ENSG00000142937","RPS8"
"ENSG00000173660","UQCRH"
"ENSG00000116209","TMEM59"
"ENSG00000189195","BTBD8"
"ENSG00000122406","RPL5"
"ENSG00000197780","TAF13"
"ENSG00000143126","CELSR2"
"ENSG00000134248","LAMTOR5"
"ENSG00000134207","SYT6"
"ENSG00000265241","RBM8A"
"ENSG00000117362","APH1A"
"ENSG00000143543","JTB"
"ENSG00000177954","RPS27"
"ENSG00000143575","HAX1"
"ENSG00000248485","PCP4L1"
"ENSG00000234741","GAS5"
"ENSG00000023572","GLRX2"
"ENSG00000162630","B3GALT2"
"ENSG00000181218","HIST3H2A"
"ENSG00000135763","URB2"
"ENSG00000203667","COX20"
"ENSG00000035115","SH3YL1"
"ENSG00000171863","RPS7"
"ENSG00000115758","ODC1"
"ENSG00000138085","ATRAID"
"ENSG00000115226","FNDC4"
"ENSG00000152133","GPATCH11"
"ENSG00000143947","RPS27A"
"ENSG00000116005","PCYOX1"
"ENSG00000143977","SNRPG"
"ENSG00000135624","CCT7"
"ENSG00000163170","BOLA3"
"ENSG00000115350","POLE4"
"ENSG00000135940","COX5B"
"ENSG00000152082","MZT2B"
"ENSG00000153237","CCDC148"
"ENSG00000119013","NDUFB3"
"ENSG00000116030","SUMO1"
"ENSG00000114942","EEF1B2"
"ENSG00000138413","IDH1"
"ENSG00000197756","RPL37A"
"ENSG00000188760","TMEM198"
"ENSG00000187514","PTMA"
"ENSG00000188042","ARL4C"
"ENSG00000172428","COPS9"
"ENSG00000188542","DUSP28"
"ENSG00000144713","RPL32"
"ENSG00000170860","LSM3"
"ENSG00000174748","RPL15"
"ENSG00000114745","GORASP1"
"ENSG00000188846","RPL14"
"ENSG00000232112","TMA7"
"ENSG00000164054","SHISA5"
"ENSG00000145050","MANF"
"ENSG00000162244","RPL29"
"ENSG00000114902","SPCS1"
"ENSG00000113811","SELENOK"
"ENSG00000113805","CNTN3"
"ENSG00000114391","RPL24"
"ENSG00000058262","SEC61A1"
"ENSG00000114107","CEP70"
"ENSG00000114125","RNF7"
"ENSG00000008952","SEC62"
"ENSG00000136522","MRPL47"
"ENSG00000136521","NDUFB5"
"ENSG00000205981","DNAJC19"
"ENSG00000161203","AP2M1"
"ENSG00000161204","ABCF3"
"ENSG00000163888","CAMK2N2"
"ENSG00000157005","SST"
"ENSG00000270170","NCBP2AS2"
"ENSG00000182899","RPL35A"
"ENSG00000169020","ATP5ME"
"ENSG00000243449","C4orf48"
"ENSG00000002549","LAP3"
"ENSG00000163682","RPL9"
"ENSG00000145247","OCIAD2"
"ENSG00000163319","MRPS18C"
"ENSG00000177432","NAP1L5"
"ENSG00000164032","H2AFZ"
"ENSG00000109475","RPL34"
"ENSG00000198856","OSTC"
"ENSG00000269893","SNHG8"
"ENSG00000138741","TRPC3"
"ENSG00000109390","NDUFC1"
"ENSG00000164168","TMEM184C"
"ENSG00000145425","RPS3A"
"ENSG00000145431","PDGFC"
"ENSG00000196104","SPOCK3"
"ENSG00000129116","PALLD"
"ENSG00000109572","CLCN3"
"ENSG00000174473","GALNTL6"
"ENSG00000164106","SCRG1"
"ENSG00000164323","CFAP97"
"ENSG00000109794","FAM149A"
"ENSG00000145494","NDUFS6"
"ENSG00000145592","RPL37"
"ENSG00000145741","BTF3"
"ENSG00000186468","RPS23"
"ENSG00000127184","COX7C"
"ENSG00000185261","KIAA0825"
"ENSG00000151422","FER"
"ENSG00000164405","UQCRQ"
"ENSG00000155329","ZCCHC10"
"ENSG00000113578","FGF1"
"ENSG00000164587","RPS14"
"ENSG00000177556","ATOX1"
"ENSG00000164576","SAP30L"
