Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-125b-1-3p,0.009927618148711258,1.9738522249671147,9.104264483021055,"['SHC3', 'ATP6AP1', 'SNAI3', 'GAB1', 'ZDHHC22', 'KMO', 'TIRAP', 'MYLK', 'GFAP', 'ARL4C', 'KBTBD6', 'DOLPP1', 'RCAN3', 'TIMP3', 'RBM20', 'CBLN4', 'CCDC184']",0.9999925082186506,0,0,17
2,hsa-miR-4636,0.06314726856692802,1.5738181818181818,4.347335433198401,"['DUSP4', 'C11ORF95', 'SHC3', 'PCDH11Y', 'IGFBP5', 'DAPK2', 'LGI2', 'FSTL4', 'SPATA2L', 'C1QTNF7', 'SMOC1', 'ARMCX6', 'DNAJB9', 'SERINC1', 'CD302', 'SYNC']",0.9999925082186506,0,0,16
3,mmu-miR-219-3p,0.0705517734133256,1.276621389828937,3.384844758351552,"['PCDH11Y', 'MCMDC2', 'PHF23', 'GRIK3', 'RTL9', 'RTL6', 'EFCAB13', 'GLI3', 'IFIT2', 'ADAMTS5', 'C1QTNF7', 'UBXN8', 'TMED2', 'CD36', 'NUDT15', 'TRPC3', 'IGFBP5', 'HMGCS1', 'TMEM255A', 'TEX15', 'ETV5', 'TOM1L1', 'LACTB2', 'PAPPA', 'COL6A6', 'SYNC', 'TRIB2', 'FREM2', 'KIAA1211L', 'SHC3', 'MYCBP', 'TCF7', 'LRP8', 'PCDH18', 'ACMSD', 'ZFP36L1', 'PCBD1', 'GPR12', 'FN1', 'OPRK1', 'GFAP', 'FRAS1', 'TMEM115', 'COL5A2', 'NFE2L3', 'ITGBL1', 'SERINC1', 'SLC26A3', 'CBLN2']",0.9999925082186506,0,0,49
4,mmu-miR-5122,0.09657343485012224,1.9812612612612612,4.6311022598517235,"['ARL4C', 'DLX2', 'RTL6', 'LRP8', 'ARF5', 'KLRG1']",0.9999925082186506,0,0,6
5,mmu-miR-615-3p,0.15043647848636293,1.3238636363636365,2.5076815024047763,"['LINGO1', 'HMGCS1', 'RARRES1', 'ENTPD7', 'RTL6', 'BACH1', 'ETV5', 'ACTG1', 'HERPUD1', 'PER2', 'ADCY10', 'DDIT3', 'TIMP2', 'SERINC1', 'PDE5A', 'ACP2', 'COL6A6', 'LDLR', 'CBLN2']",0.9999925082186506,0,0,19
6,mmu-miR-5100,0.1544221785031927,1.4544184634072275,2.7169482392826576,"['ARL4C', 'H1F0', 'MAFB', 'SMOC1', 'PCDH8', 'RTL6', 'ADRA1D', 'RND3', 'CCDC28B', 'ETV5', 'IFIT2']",0.9999925082186506,0,0,11
7,hsa-miR-671-3p,0.17384592386529843,1.3708842531330272,2.398479714679875,"['DLX2', 'SHC3', 'INSIG1', 'EAF1', 'SPRY4', 'FGF1', 'KMO', 'FOXP2', 'H1F0', 'SPRED1', 'VGF', 'NRIP2', 'SLC39A7']",0.9999925082186506,0,0,13
8,mmu-miR-5109,0.17884272783477703,1.465771812080537,2.522957495946029,"['MAFB', 'PAPPA', 'SLC2A12', 'GAB1', 'MRVI1', 'KMO', 'PCDH18', 'ZFP36L1', 'KLRG1']",0.9999925082186506,0,0,9
9,hsa-miR-3939,0.1978449410216874,1.573763440860215,2.5499243362031896,"['TSTA3', 'H1F0', 'MAFB', 'CDKN2A', 'PDXP', 'FAM43A']",0.9999925082186506,0,0,6
10,hsa-miR-126,0.20299878902462648,1.498300316492791,2.3891226587452516,"['CKMT2', 'KIAA1211L', 'SPRED1', 'ORMDL3', 'SDE2', 'NR2F2', 'HERPUD1']",0.9999925082186506,0,0,7
11,hsa-miR-937,0.20402499190093878,1.5568794326241135,2.474679760249072,"['KCNG1', 'MC1R', 'LBH', 'LRRC24', 'SNAI3', 'CAMK2N2']",0.9999925082186506,0,0,6
12,hsa-miR-3605-3p,0.21050944511449277,1.2151056014692379,1.89340763053469,"['C11ORF95', 'SHC3', 'ST8SIA2', 'DDX11', 'ENTPD7', 'GRIK3', 'OPRK1', 'PEX10', 'RTL6', 'ASCL1', 'BBC3', 'ARL4C', 'TGOLN2', 'SPRED2', 'ASIC4', 'VGF', 'DDT', 'CAMK2N2', 'CHDH', 'RAB24', 'MYH11', 'KLRD1', 'EMC6', 'TRIB2']",0.9999925082186506,0,0,24
13,hsa-miR-4259,0.23814632577526748,1.1162646876932591,1.6016946901605835,"['DOCK5', 'CITED2', 'TUSC1', 'GRIK3', 'RTL9', 'RTL6', 'TMEM97', 'BACH1', 'GLI3', 'IRF2BPL', 'LAMP5', 'LSM10', 'ADAMTS5', 'SPRED1', 'HHAT', 'PEG10', 'ZXDB', 'TMED2', 'TMPRSS11A', 'IGFBP5', 'TMEM255A', 'MRPL49', 'ENTPD7', 'ETV4', 'ARL4D', 'PAPPA', 'MYADM', 'RBM20', 'ATF5', 'RBMS2', 'CFTR', 'FKBP5', 'PAPPA2', 'C11ORF95', 'SHC3', 'MRPS34', 'ZDHHC22', 'ASCL1', 'LRP8', 'FSTL4', 'TGOLN2', 'RAB24', 'PNPO', 'CCDC184', 'ANGPT2', 'SPRY4', 'EAF1', 'PNMA8A', 'PNMA2', 'GFAP', 'PER2', 'FRAS1', 'GGCX', 'COL5A2', 'FAT1', 'SERINC1', 'SERHL2', 'MRVI1', 'KLRD1', 'MUC20']",0.9999925082186506,0,0,60
14,hsa-miR-517c,0.23891581422704808,1.275286246566401,1.8257559424965721,"['C11ORF95', 'ST8SIA2', 'SLC2A12', 'LGI2', 'SPATA2L', 'ADGRG2', 'LBH', 'ABI3BP', 'SMOC1', 'COL6A6', 'LDLR', 'MUC20', 'CBLN2']",0.9999925082186506,0,0,13
15,hsa-miR-517a,0.23891581422704808,1.275286246566401,1.8257559424965721,"['C11ORF95', 'ST8SIA2', 'SLC2A12', 'LGI2', 'SPATA2L', 'ADGRG2', 'LBH', 'ABI3BP', 'SMOC1', 'COL6A6', 'LDLR', 'MUC20', 'CBLN2']",0.9999925082186506,0,0,13
16,mmu-miR-3066,0.24863893227167816,1.1238714742331632,1.5641520646542866,"['KCNG1', 'SHC3', 'MCMDC2', 'GRIK3', 'THY1', 'LRP8', 'PCDH18', 'SNX31', 'RHOBTB1', 'FSTL4', 'PAPSS2', 'ZFP36L1', 'ADAMTS5', 'HHAT', 'LBH', 'ADGRG2', 'SALL2', 'PEG10', 'NRIP2', 'TIMP2', 'SLC16A6', 'TIMP3', 'APOD', 'SLC16A9', 'UTY', 'CORIN', 'KLRG1', 'DUSP4', 'CCDC178', 'ANGPT2', 'IGFBP5', 'H2AFZ', 'EAF1', 'ENTPD7', 'TEX15', 'PTPN13', 'ETV5', 'RAB11A', 'FOXP2', 'TMPRSS11D', 'RUNX1', 'PAPPA', 'COL5A2', 'RBM20', 'ZNF853', 'SYNC', 'MUC20', 'RBMS2']",0.9999925082186506,0,0,48
17,hsa-miR-4750,0.25874050509080293,1.297824635053907,1.7545675791627129,"['KCNG1', 'METAP1D', 'HSPA5', 'GGCX', 'VGF', 'SDHAF1', 'LEPR', 'PEX10', 'MUC20', 'RUNX1']",0.9999925082186506,0,0,10
18,hsa-miR-509-3p,0.26401489751399443,1.1220184431507907,1.4942477783010712,"['INSIG1', 'C1ORF56', 'GRIK3', 'PDXP', 'RTL6', 'ASCL1', 'LRP8', 'RHOBTB1', 'FSTL4', 'ENO4', 'GLI3', 'TGOLN2', 'SPRED2', 'ZXDB', 'NRIP2', 'PNPO', 'TIMP3', 'APOD', 'LDLR', 'PRKCH', 'GAD1', 'DAPK2', 'SNAI3', 'SPRY4', 'PCDH8', 'GAB1', 'PBX3', 'ENTPD7', 'OPRK1', 'HLA-A', 'PTPN13', 'ETV5', 'NAP1L5', 'RUNX1', 'H1F0', 'PAPPA', 'ARMCX6', 'PDE5A', 'RBMS2', 'ANGPTL1', 'CFTR', 'FREM2', 'FKBP5']",0.9999925082186506,0,0,43
19,hsa-miR-921,0.26925450625879255,1.0998207602366337,1.4430728692476573,"['WDR1', 'HHIP', 'RTL9', 'RTL6', 'GLI3', 'ADAMTS5', 'LEPR', 'TMED2', 'CD36', 'NUDT15', 'DUSP4', 'GAB1', 'MRPL49', 'ENTPD7', 'ETV5', 'DCN', 'TMPRSS11D', 'RUNX1', 'TOM1L1', 'SCNN1G', 'DDIT3', 'PDE5A', 'COL6A6', 'CD302', 'SYNC', 'RBMS2', 'FREM2', 'SHC3', 'AHCY', 'MYCBP', 'DCUN1D3', 'ZDHHC22', 'LRP8', 'RNF5', 'MCHR1', 'FSTL4', 'PAPSS2', 'TGOLN2', 'ADGRG2', 'TCTEX1D1', 'DNAJB9', 'MYH11', 'CDIPT', 'B3GALNT1', 'ANGPT2', 'HSPA5', 'GALNT3', 'NEK5', 'SNAI3', 'SPRY4', 'LGI2', 'EAF1', 'PBX3', 'FN1', 'NMBR', 'FRAS1', 'KBTBD6', 'IL7', 'SERHL2', 'MRVI1', 'CBLN2']",0.9999925082186506,0,0,61
