Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,HIVEP2 human,0.0014098125195178056,64.09604519774011,420.74557644417234,"['HLA-B', 'HLA-A']",0.09690390806971418,0,0,2
2,ATF3 human,0.0023256937936731404,42.72693032015066,259.08486309064784,"['DDIT3', 'LDLR']",0.09690390806971418,0,0,2
3,POU3F2 human,0.0023256937936731404,42.72693032015066,259.08486309064784,"['PDE5A', 'FOXP2']",0.09690390806971418,0,0,2
4,PPARD mouse,0.0034529590096174373,32.04237288135593,181.6329510945016,"['TGFB1', 'INSIG1']",0.10790496905054492,0,0,2
5,REST human,0.004564394570127766,10.16267942583732,54.77144976741777,"['VGF', 'VIP', 'CHGB']",0.11410986425319414,0,0,3
6,HNF4A human,0.008036703748711368,18.305084745762713,88.29890105540737,"['LDLR', 'ACAT2']",0.1674313280981535,0,0,2
7,MECP2 mouse,0.012030468962457819,14.234777150031388,62.92216717178908,"['PER2', 'FKBP5']",0.18797607753840342,0,0,2
8,CDX2 human,0.012030468962457819,14.234777150031388,62.92216717178908,"['ACAT2', 'CFTR']",0.18797607753840342,0,0,2
9,CIITA human,0.014290399410099276,12.810169491525423,54.41974361672993,"['HLA-B', 'HLA-A']",0.19847776958471217,0,0,2
10,TBX21 mouse,0.030820168804628168,63.741573033707866,221.79428336079266,['IL7'],0.20913397911871998,0,0,1
11,NKX2-1 mouse,0.030820168804628168,63.741573033707866,221.79428336079266,['HCRTR2'],0.20913397911871998,0,0,1
12,GATA2 mouse,0.030820168804628168,63.741573033707866,221.79428336079266,['ANGPT2'],0.20913397911871998,0,0,1
13,SMAD7 human,0.030820168804628168,63.741573033707866,221.79428336079266,['TGFB1'],0.20913397911871998,0,0,1
14,FOS mouse,0.031174074524764395,8.002118644067796,27.752695609057977,"['TGFB1', 'CRH']",0.20913397911871998,0,0,2
15,JUN mouse,0.03245816701288003,4.588068181818182,15.726994738536158,"['TGFB1', 'ANGPT2', 'CRH']",0.20913397911871998,0,0,3
16,USF2 human,0.037940389200367755,7.111738857501569,23.267753777694058,"['TGFB1', 'CFTR']",0.20913397911871998,0,0,2
17,YY1 human,0.03826164127360402,4.281060606060606,13.970416832628443,"['TSIX', 'LDLR', 'CFTR']",0.20913397911871998,0,0,3
18,ASCL1 mouse,0.045874204114132594,31.867977528089888,98.21240053501442,['RND3'],0.20913397911871998,0,0,1
19,NFIL3 mouse,0.045874204114132594,31.867977528089888,98.21240053501442,['PER2'],0.20913397911871998,0,0,1
20,NR1I2 mouse,0.045874204114132594,31.867977528089888,98.21240053501442,['INSIG1'],0.20913397911871998,0,0,1
21,PAX8 human,0.045874204114132594,31.867977528089888,98.21240053501442,['SLC3A1'],0.20913397911871998,0,0,1
22,TAL1 human,0.045874204114132594,31.867977528089888,98.21240053501442,['ANGPT2'],0.20913397911871998,0,0,1
23,TFAP4 human,0.06069570235768466,21.243445692883896,59.5216362789075,['SALL2'],0.20913397911871998,0,0,1
24,PARP1 mouse,0.06069570235768466,21.243445692883896,59.5216362789075,['FN1'],0.20913397911871998,0,0,1
25,GATA2 human,0.06069570235768466,21.243445692883896,59.5216362789075,['ANGPT2'],0.20913397911871998,0,0,1
26,RFX1 human,0.06069570235768466,21.243445692883896,59.5216362789075,['FGF1'],0.20913397911871998,0,0,1
27,SOX17 human,0.06069570235768466,21.243445692883896,59.5216362789075,['FN1'],0.20913397911871998,0,0,1
28,SP2 human,0.06069570235768466,21.243445692883896,59.5216362789075,['PAPSS2'],0.20913397911871998,0,0,1
29,KLF5 human,0.06069570235768466,21.243445692883896,59.5216362789075,['MYH11'],0.20913397911871998,0,0,1
30,KLF8 human,0.06069570235768466,21.243445692883896,59.5216362789075,['FN1'],0.20913397911871998,0,0,1
31,LMO2 human,0.06069570235768466,21.243445692883896,59.5216362789075,['ANGPT2'],0.20913397911871998,0,0,1
32,MYCN human,0.06967140720799138,4.920034767492394,13.106801757399813,"['HLA-B', 'HLA-A']",0.20913397911871998,0,0,2
33,STAT1 human,0.06967140720799138,4.920034767492394,13.106801757399813,"['VIP', 'CFTR']",0.20913397911871998,0,0,2
34,AR mouse,0.07528823248273919,15.9311797752809,41.2049041119527,['FKBP5'],0.20913397911871998,0,0,1
35,CUX1 human,0.07528823248273919,15.9311797752809,41.2049041119527,['CFTR'],0.20913397911871998,0,0,1
36,NR3C2 mouse,0.07528823248273919,15.9311797752809,41.2049041119527,['FKBP5'],0.20913397911871998,0,0,1
37,ETS2 human,0.07528823248273919,15.9311797752809,41.2049041119527,['ANGPT2'],0.20913397911871998,0,0,1
38,PAX3 mouse,0.07528823248273919,15.9311797752809,41.2049041119527,['ST8SIA2'],0.20913397911871998,0,0,1
