Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-5103,0.006688404207477349,inf,inf,"['DUSP4', 'FNDC4', 'ABI3BP', 'FGF1']",0.9999642786022087,0,0,4
2,hsa-miR-3960,0.006688404207477349,inf,inf,"['HIST3H2A', 'SLC32A1', 'VGF', 'CAMK2N2']",0.9999642786022087,0,0,4
3,hsa-miR-4479,0.006688404207477349,inf,inf,"['SLC32A1', 'RPS19BP1', 'VGF', 'CAMK2N2']",0.9999642786022087,0,0,4
4,hsa-miR-4508,0.008610548467214724,13.076923076923077,62.17772572580323,"['SLC32A1', 'IGFBP5', 'ST8SIA2', 'RGS16', 'FGF1']",0.9999642786022087,0,0,5
5,mmu-miR-296-5p,0.021311306885885842,3.0,11.545552522198097,"['DUSP4', 'FNDC4', 'SLC32A1', 'RPS19BP1', 'PHKG1', 'VGF', 'IGFBP5', 'CAMK2N2', 'NR2F2', 'MCHR1']",0.9999642786022087,0,0,10
6,hsa-miR-3605-3p,0.0374108595412518,3.9140625,12.860804074813622,"['VGF', 'DDT', 'ST8SIA2', 'CAMK2N2', 'RAB24', 'EMC6']",0.9999642786022087,0,0,6
7,hsa-miR-3193,0.04793401023606533,4.3076923076923075,13.08646769536277,"['DUSP4', 'OXLD1', 'ST8SIA2', 'DDIT3', 'FGF1']",0.9999642786022087,0,0,5
8,mmu-miR-503,0.04821678925909028,3.0555555555555554,9.264591091858719,"['BTF3', 'RPS19BP1', 'IGFBP5', 'NDUFB11', 'RGS16', 'EMC6', 'NR2F2']",0.9999642786022087,0,0,7
9,hsa-miR-4649-5p,0.06075424780181287,5.121212121212121,14.344096628353341,"['IFITM3', 'SST', 'CAMK2N2', 'NRIP2']",0.9999642786022087,0,0,4
10,hsa-miR-4785,0.07497060509360848,7.611940298507463,19.71994296898232,"['RPS19BP1', 'IGFBP5', 'CAMK2N2']",0.9999642786022087,0,0,3
11,mmu-miR-5111,0.07497060509360848,7.611940298507463,19.71994296898232,"['IGFBP5', 'CRH', 'FGF1']",0.9999642786022087,0,0,3
12,hsa-miR-3648,0.07497060509360848,7.611940298507463,19.71994296898232,"['PANK4', 'SLC32A1', 'CAMK2N2']",0.9999642786022087,0,0,3
13,mmu-miR-1945,0.08350597860644925,inf,inf,"['PGAM1', 'RGS16']",0.9999642786022087,0,0,2
14,hsa-miR-147b,0.08350597860644925,inf,inf,"['PANK4', 'CAMK2N2']",0.9999642786022087,0,0,2
15,hsa-miR-615-3p,0.08350597860644925,inf,inf,"['SLC32A1', 'CAMK2N2']",0.9999642786022087,0,0,2
16,mmu-miR-744,0.083522481701944,3.2115384615384617,7.9730920522687,"['VGF', 'IGFBP5', 'CAMK2N2', 'RGS16', 'NRIP2']",0.9999642786022087,0,0,5
17,mmu-miR-3963,0.09769818541379356,2.578125,5.996389505771961,"['DUSP4', 'IGFBP5', 'ST8SIA2', 'COPS7A', 'CBLN4', 'ANGPTL1']",0.9999642786022087,0,0,6
18,hsa-miR-4749-5p,0.11075311289038464,3.393939393939394,7.468199923212872,"['CAMK2N2', 'RGS16', 'COPS7A', 'ACP2']",0.9999642786022087,0,0,4
19,mmu-miR-542-5p,0.11075311289038464,3.393939393939394,7.468199923212872,"['DUSP4', 'CCDC178', 'ST8SIA2', 'CBLN4']",0.9999642786022087,0,0,4
20,hsa-miR-4706,0.11075311289038464,3.393939393939394,7.468199923212872,"['CAMK2N2', 'RGS16', 'COPS7A', 'ACP2']",0.9999642786022087,0,0,4
21,hsa-miR-1250,0.11075311289038464,3.393939393939394,7.468199923212872,"['DUSP4', 'PANK4', 'IGFBP5', 'NDUFB11']",0.9999642786022087,0,0,4
22,hsa-miR-4655-3p,0.11075311289038464,3.393939393939394,7.468199923212872,"['IGFBP5', 'RPL36AL', 'ST8SIA2', 'CBLN4']",0.9999642786022087,0,0,4
23,mmu-miR-673-3p,0.11075311289038464,3.393939393939394,7.468199923212872,"['BTF3', 'VGF', 'IGFBP5', 'FGF1']",0.9999642786022087,0,0,4
24,mmu-miR-669e,0.140110829906768,2.1964285714285716,4.316688354748207,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'DNAJB9', 'NR2F2', 'FGF1']",0.9999642786022087,0,0,6
25,mmu-miR-3092,0.14582715007099764,2.0,3.8506665245292426,"['TRPC3', 'TMEM115', 'IGFBP5', 'NRIP2', 'COPS7A', 'NR2F2', 'VIP']",0.9999642786022087,0,0,7
26,hsa-miR-423-3p,0.1484389106617204,3.783582089552239,7.217492262434933,"['DUSP4', 'IGFBP5', 'NRIP2']",0.9999642786022087,0,0,3
27,mmu-miR-5115,0.1484389106617204,3.783582089552239,7.217492262434933,"['SLC32A1', 'IGFBP5', 'VIP']",0.9999642786022087,0,0,3
28,mmu-miR-678,0.1484389106617204,3.783582089552239,7.217492262434933,"['RGS16', 'NRIP2', 'MCHR1']",0.9999642786022087,0,0,3
29,hsa-miR-1180,0.1484389106617204,3.783582089552239,7.217492262434933,"['SLC32A1', 'RPS19BP1', 'VGF']",0.9999642786022087,0,0,3
30,hsa-miR-671-3p,0.17357223817048917,2.5303030303030303,4.430969017001985,"['RPS19BP1', 'VGF', 'NRIP2', 'FGF1']",0.9999642786022087,0,0,4
31,mmu-miR-1946a,0.17357223817048917,2.5303030303030303,4.430969017001985,"['VGF', 'IGFBP5', 'DDT', 'ST8SIA2']",0.9999642786022087,0,0,4
32,mmu-miR-465c-3p,0.18804525932744584,1.654566744730679,2.7649011586456997,"['RPS27', 'SLC32A1', 'MRPS24', 'TRPC3', 'ST8SIA2', 'FGF1', 'DNPH1', 'MCHR1', 'ANGPTL1']",0.9999642786022087,0,0,9
33,mmu-miR-361,0.18804525932744584,1.654566744730679,2.7649011586456997,"['BTF3', 'TCEAL8', 'CCDC178', 'ST8SIA2', 'ZXDB', 'ABI3BP', 'ABRACL', 'COPS7A', 'SCRG1']",0.9999642786022087,0,0,9
34,mmu-miR-465b-3p,0.18804525932744584,1.654566744730679,2.7649011586456997,"['RPS27', 'SLC32A1', 'MRPS24', 'TRPC3', 'ST8SIA2', 'FGF1', 'DNPH1', 'MCHR1', 'ANGPTL1']",0.9999642786022087,0,0,9
35,mmu-miR-465a-3p,0.18804525932744584,1.654566744730679,2.7649011586456997,"['RPS27', 'SLC32A1', 'MRPS24', 'TRPC3', 'ST8SIA2', 'FGF1', 'DNPH1', 'MCHR1', 'ANGPTL1']",0.9999642786022087,0,0,9
36,mmu-miR-505-3p,0.1896852780547383,1.91015625,3.1754227602703,"['CCDC178', 'SLC10A4', 'ZXDB', 'RGS16', 'DNAJB9', 'MCHR1']",0.9999642786022087,0,0,6
37,mmu-miR-188-5p,0.1896852780547383,1.91015625,3.1754227602703,"['DUSP4', 'CORT', 'IGFBP5', 'ST8SIA2', 'RGS16', 'WDR77']",0.9999642786022087,0,0,6
38,hsa-miR-4671-3p,0.1896852780547383,1.91015625,3.1754227602703,"['FNDC4', 'TRPC3', 'ST8SIA2', 'ZXDB', 'MCHR1', 'SCRG1']",0.9999642786022087,0,0,6
39,hsa-miR-487b,0.20300007510337084,5.0,7.972744649865371,"['NR2F2', 'CBLN4']",0.9999642786022087,0,0,2
40,hsa-miR-3177-3p,0.20300007510337084,5.0,7.972744649865371,"['RPS19BP1', 'CAMK2N2']",0.9999642786022087,0,0,2
41,mmu-miR-487b,0.20300007510337084,5.0,7.972744649865371,"['ST8SIA2', 'FGF1']",0.9999642786022087,0,0,2
42,hsa-miR-3195,0.20300007510337084,5.0,7.972744649865371,"['VGF', 'CAMK2N2']",0.9999642786022087,0,0,2
43,mmu-miR-5136,0.20300007510337084,5.0,7.972744649865371,"['ABI3BP', 'MCHR1']",0.9999642786022087,0,0,2
44,mmu-miR-714,0.20300007510337084,5.0,7.972744649865371,"['VGF', 'IGFBP5']",0.9999642786022087,0,0,2
45,mmu-miR-147,0.2361235834037586,2.5074626865671643,3.619271522754983,"['IGFBP5', 'CAMK2N2', 'FGF1']",0.9999642786022087,0,0,3
46,mmu-miR-1249,0.2361235834037586,2.5074626865671643,3.619271522754983,"['SLC10A4', 'ZXDB', 'NRIP2']",0.9999642786022087,0,0,3
47,mmu-miR-92a,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
48,mmu-miR-32,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
49,mmu-miR-25,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
50,mmu-miR-367,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
51,mmu-miR-92b,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
52,mmu-miR-3074-1-3p,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['TCEAL8', 'DUSP4', 'ABI3BP', 'NRIP2', 'NR2F2', 'MCHR1', 'SCRG1', 'ANGPTL1']",0.9999642786022087,0,0,8
53,mmu-miR-363-3p,0.2362173698603765,1.5682382133995036,2.2629721943840004,"['DUSP4', 'SLC32A1', 'IGFBP5', 'ZXDB', 'ABI3BP', 'PGAM1', 'DNAJB9', 'CBLN4']",0.9999642786022087,0,0,8
54,mmu-miR-3072,0.24115402184364784,1.6161616161616161,2.2986981088301666,"['FNDC4', 'IGFBP5', 'PCP4L1', 'ST8SIA2', 'ZXDB', 'PGAM1', 'NR2F2']",0.9999642786022087,0,0,7
55,mmu-miR-434-3p,0.24115402184364784,1.6161616161616161,2.2986981088301666,"['TRPC3', 'ST8SIA2', 'ABI3BP', 'NR2F2', 'FGF1', 'TOMM5', 'ANGPTL1']",0.9999642786022087,0,0,7
56,hsa-miR-3618,0.24115402184364784,1.6161616161616161,2.2986981088301666,"['TCEAL7', 'DDIT3', 'PGAM1', 'CRH', 'DNAJB9', 'EMC6', 'CBLN4']",0.9999642786022087,0,0,7
57,hsa-miR-1225-5p,0.2450591989145582,1.6875,2.373056104616079,"['FNDC4', 'ST8SIA2', 'ZXDB', 'NRIP2', 'CBLN4', 'CHGB']",0.9999642786022087,0,0,6
58,mmu-miR-1b-3p,0.2450591989145582,1.6875,2.373056104616079,"['FNDC4', 'DDIT3', 'CAMK2N2', 'ZXDB', 'ABI3BP', 'NRIP2']",0.9999642786022087,0,0,6
59,hsa-miR-3677-3p,0.24561204898284342,2.012121212121212,2.82502225543026,"['VGF', 'IGFBP5', 'ST8SIA2', 'NRIP2']",0.9999642786022087,0,0,4
60,mmu-miR-423-3p,0.24561204898284342,2.012121212121212,2.82502225543026,"['NDUFB11', 'ZXDB', 'ACP2', 'FGF1']",0.9999642786022087,0,0,4
61,mmu-miR-1946b,0.24561204898284342,2.012121212121212,2.82502225543026,"['FNDC4', 'IGFBP5', 'CAMK2N2', 'FGF1']",0.9999642786022087,0,0,4
62,hsa-miR-4664-3p,0.24561204898284342,2.012121212121212,2.82502225543026,"['RPS19BP1', 'VGF', 'ST8SIA2', 'CAMK2N2']",0.9999642786022087,0,0,4
63,hsa-miR-1281,0.24561204898284342,2.012121212121212,2.82502225543026,"['PANK4', 'SLC32A1', 'ST8SIA2', 'HES4']",0.9999642786022087,0,0,4
64,mmu-miR-672,0.27664791926471843,1.4293032786885247,1.8366684785192628,"['DUSP4', 'TCEAL7', 'IGFBP5', 'ST8SIA2', 'ZXDB', 'PGAM1', 'RAB24', 'FGF1', 'RPL10A']",0.9999642786022087,0,0,9
65,mmu-miR-126-3p,0.2904562198602726,inf,inf,['ST8SIA2'],0.9999642786022087,0,0,1
66,hsa-miR-4787-3p,0.2904562198602726,inf,inf,['ZXDB'],0.9999642786022087,0,0,1
67,hsa-miR-1273c,0.2904562198602726,inf,inf,['PGAM1'],0.9999642786022087,0,0,1
68,hsa-miR-127-3p,0.2904562198602726,inf,inf,['CAMK2N2'],0.9999642786022087,0,0,1
69,hsa-miR-126,0.2904562198602726,inf,inf,['NR2F2'],0.9999642786022087,0,0,1
70,mmu-miR-412-5p,0.2904562198602726,inf,inf,['IGFBP5'],0.9999642786022087,0,0,1
71,hsa-miR-4440,0.2904562198602726,inf,inf,['IGFBP5'],0.9999642786022087,0,0,1
72,mmu-miR-5105,0.2904562198602726,inf,inf,['CAMK2N2'],0.9999642786022087,0,0,1
73,mmu-miR-324-5p,0.2951435819363892,1.4722222222222223,1.796542947194787,"['KBTBD4', 'FNDC4', 'IGFBP5', 'RGS16', 'DNAJB9', 'MCHR1', 'TOMM5']",0.9999642786022087,0,0,7
74,mmu-miR-5135,0.2951435819363892,1.4722222222222223,1.796542947194787,"['TMEM115', 'IGFBP5', 'ST8SIA2', 'DDIT3', 'ZXDB', 'NRIP2', 'CBLN4']",0.9999642786022087,0,0,7
