Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,PAX3 mouse,0.0270319565102483,18.413793103448278,66.48733715529613,"['ST8SIA2', 'MBP']",0.7134164687406028,0,0,2
2,RXRA human,0.0270319565102483,18.413793103448278,66.48733715529613,"['NOL7', 'CPT1B']",0.7134164687406028,0,0,2
3,PPARGC1A mouse,0.07886510487986491,6.135632183908046,15.584606489162192,"['MBP', 'CPT1B']",0.7134164687406028,0,0,2
4,EZH2 mouse,0.09826076416306902,inf,inf,['BAD'],0.7134164687406028,0,0,1
5,POU3F1 mouse,0.09826076416306902,inf,inf,['MBP'],0.7134164687406028,0,0,1
6,SOX17 mouse,0.09826076416306902,inf,inf,['MBP'],0.7134164687406028,0,0,1
7,KAT5 mouse,0.09826076416306902,inf,inf,['TPT1'],0.7134164687406028,0,0,1
8,SPDEF human,0.09826076416306902,inf,inf,['SQSTM1'],0.7134164687406028,0,0,1
9,MYC mouse,0.10918591929647967,2.457208765859285,5.441988038571166,"['NOP56', 'ODC1', 'HNRNPA2B1', 'PTMA']",0.7134164687406028,0,0,4
10,CREM human,0.1107746329081215,4.600862068965517,10.123081162151548,"['DUSP4', 'GPX4']",0.7134164687406028,0,0,2
11,MYB mouse,0.1453126496415234,3.68,7.098232964548296,"['H2AFZ', 'NOL3']",0.7134164687406028,0,0,2
12,CIITA human,0.1453126496415234,3.68,7.098232964548296,"['PSMC5', 'HLA-B']",0.7134164687406028,0,0,2
13,NRF1 human,0.1453126496415234,3.68,7.098232964548296,"['PRDX5', 'COX6A1']",0.7134164687406028,0,0,2
14,POU5F1 mouse,0.1453126496415234,3.68,7.098232964548296,"['LEFTY1', 'TPT1']",0.7134164687406028,0,0,2
15,REST human,0.15223440552133685,2.5105982100800754,4.725783880168552,"['CD59', 'SCG3', 'CHGB']",0.7134164687406028,0,0,3
16,YY1 human,0.16620666824698627,1.84263431542461,3.3066501673430153,"['APH1A', 'SURF1', 'COX6A1', 'COX7C', 'PDIA6']",0.7134164687406028,0,0,5
17,PPARG human,0.17719456589550253,2.300949913644214,3.981809720029347,"['BAD', 'FGF1', 'CPT1B']",0.7134164687406028,0,0,3
18,FOS human,0.1816565831572746,3.0660919540229883,5.2296407409465315,"['DDIT3', 'GSTP1']",0.7134164687406028,0,0,2
19,KLF4 human,0.1816565831572746,3.0660919540229883,5.2296407409465315,"['IFITM3', 'ODC1']",0.7134164687406028,0,0,2
20,MEF2A human,0.18688141549681703,9.19104991394148,15.415973436740996,['COX6A1'],0.7134164687406028,0,0,1
21,MEF2A mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['COX6A1'],0.7134164687406028,0,0,1
22,MTF1 mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['SELENOW'],0.7134164687406028,0,0,1
23,BRCA1 mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['TPT1'],0.7134164687406028,0,0,1
24,NEUROD1 mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['RND2'],0.7134164687406028,0,0,1
25,NEUROG2 mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['RND2'],0.7134164687406028,0,0,1
26,RFX1 human,0.18688141549681703,9.19104991394148,15.415973436740996,['FGF1'],0.7134164687406028,0,0,1
27,LMX1B human,0.18688141549681703,9.19104991394148,15.415973436740996,['COL4A4'],0.7134164687406028,0,0,1
28,MAX mouse,0.18688141549681703,9.19104991394148,15.415973436740996,['ODC1'],0.7134164687406028,0,0,1
29,MBD2 human,0.18688141549681703,9.19104991394148,15.415973436740996,['GSTP1'],0.7134164687406028,0,0,1
30,MYOD1 mouse,0.21911967435407134,2.627586206896552,3.989036472477692,"['MYL6', 'SELENOW']",0.7134164687406028,0,0,2
31,AATF mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['TPT1'],0.7134164687406028,0,0,1
32,MEF2C human,0.2668061590412011,4.594664371772805,6.070621642136148,['CPT1B'],0.7134164687406028,0,0,1
33,ATF3 human,0.2668061590412011,4.594664371772805,6.070621642136148,['DDIT3'],0.7134164687406028,0,0,1
34,NANOG mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['IDH1'],0.7134164687406028,0,0,1
35,NF1 human,0.2668061590412011,4.594664371772805,6.070621642136148,['MBP'],0.7134164687406028,0,0,1
36,ZNF148 human,0.2668061590412011,4.594664371772805,6.070621642136148,['ODC1'],0.7134164687406028,0,0,1
37,NPM1 human,0.2668061590412011,4.594664371772805,6.070621642136148,['RPL3'],0.7134164687406028,0,0,1
38,NR4A1 human,0.2668061590412011,4.594664371772805,6.070621642136148,['RNF7'],0.7134164687406028,0,0,1
39,ERCC2 human,0.2668061590412011,4.594664371772805,6.070621642136148,['LAMTOR5'],0.7134164687406028,0,0,1
40,FOXA2 human,0.2668061590412011,4.594664371772805,6.070621642136148,['GFER'],0.7134164687406028,0,0,1
41,PITX2 mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['TPT1'],0.7134164687406028,0,0,1
42,POU2F1 mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['IRF3'],0.7134164687406028,0,0,1
43,GABPA mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['COX4I1'],0.7134164687406028,0,0,1
44,GATA4 human,0.2668061590412011,4.594664371772805,6.070621642136148,['SUMO1'],0.7134164687406028,0,0,1
45,RORA mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['CPT1B'],0.7134164687406028,0,0,1
46,ID2 mouse,0.2668061590412011,4.594664371772805,6.070621642136148,['TPT1'],0.7134164687406028,0,0,1
47,CEBPB human,0.33301743475024354,1.8382758620689654,2.021295404276124,"['DDIT3', 'GFER']",0.741474073965088,0,0,2
48,APC human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['ODC1'],0.741474073965088,0,0,1
49,MTA1 human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['SUMO2'],0.741474073965088,0,0,1
50,CLOCK human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['NAMPT'],0.741474073965088,0,0,1
51,NFIC mouse,0.33888694060149976,3.0625358577165804,3.3139355545518776,['MBP'],0.741474073965088,0,0,1
52,ELK1 human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['EIF2AK1'],0.741474073965088,0,0,1
53,NR4A2 mouse,0.33888694060149976,3.0625358577165804,3.3139355545518776,['GCH1'],0.741474073965088,0,0,1
54,RARA human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['CRH'],0.741474073965088,0,0,1
55,HIVEP2 human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['HLA-B'],0.741474073965088,0,0,1
56,HNF1A human,0.33888694060149976,3.0625358577165804,3.3139355545518776,['SLC22A10'],0.741474073965088,0,0,1
57,MYC human,0.3768433664263589,1.2769593683805123,1.246217403573488,"['SURF1', 'ODC1', 'HNRNPA2B1', 'HLA-B', 'NOL7']",0.741474073965088,0,0,5
58,TCF3 mouse,0.40389238175334063,2.2964716006884682,2.0819968112292995,['TPT1'],0.741474073965088,0,0,1
59,BCL6 human,0.40389238175334063,2.2964716006884682,2.0819968112292995,['SUMO1'],0.741474073965088,0,0,1
