"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"SP1 (mouse)",0.00698936165345401,1.85198898136904,9.19209923460388,"['B4GALT2', 'PCDH10', 'PDS5B', 'MEA1', 'ACVR1B', 'STK3', 'KRTCAP2', 'ABHD10', 'UBASH3B', 'NAMPT', 'CDK5RAP1', 'SLC38A2', 'RALGPS1', 'CHKA', 'FBXO2', 'EPHX2', 'LIX1L', 'KSR2', 'CPT1B', 'LRRC42', 'TRAF3', 'POLR1B', 'ASXL3', 'TCEA3', 'MDGA1']",0.992632504434467,0,0,25,"SP1",0.992632504434467,0.000994485006887694,0.024800432107589,0.854719423344633,0.855329011820536,-0.155203394594898,0.441069173275815,0.748818357339388
"ETS1 (human)",0.0252513656641357,1.53191118344571,5.63570981476636,"['B4GALT2', 'IFITM3', 'RASGRF2', 'NOL7', 'CISD2', 'ATXN7L3B', 'PDS5B', 'CYP4Z1', 'DEPTOR', 'TRIM28', 'SCFD2', 'ERI2', 'TNKS1BP1', 'SLC38A2', 'ZNF564', 'LHPP', 'NTNG1', 'LEFTY1', 'GSDMB', 'S100A1', 'FBXO2', 'EPHX2', 'DHPS', 'DAB2IP', 'S100B', 'CORO2B', 'MYO19', 'LRRC42', 'BTC', 'RCN1', 'IGDCC4', 'POLR1B', 'COL21A1', 'FAT4', 'PRR14']",0.992632504434467,0,0,35,"ETS1",0.992632504434467,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676
"MYOD1 (mouse)",0.0259395834480475,1.85711279461279,6.78214836360366,"['SLC24A4', 'KSR2', 'FRY', 'CORO2B', 'LRRC42', 'SEC14L2', 'ANO1', 'CYLD', 'DDX19B', 'CASP6', 'COL4A4', 'FAM185A', 'MBP', 'NF2', 'PRR14']",0.992632504434467,0,0,15,"MYOD1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"TBX5 (mouse)",0.026744512398777,1.89076993258655,6.84728333840438,"['PTPRN2', 'CHKA', 'CLEC2L', 'ST8SIA2', 'ENTPD7', 'KSR2', 'CORO2B', 'SEC14L2', 'UBASH3B', 'ADAMTSL3', 'OPA3', 'TCEA3', 'FAT4', 'MDGA1']",0.992632504434467,0,0,14,"TBX5",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"CACYBP (mouse)",0.026950983359621,1.84708263539922,6.67486807988433,"['NTNG1', 'IFITM3', 'ANKRD16', 'CLEC2L', 'BAD', 'ENTPD7', 'KSR2', 'SPATA7', 'STK3', 'MC1R', 'POLR1B', 'FAM185A', 'ASXL3', 'TNKS1BP1', 'XKR4']",0.992632504434467,0,0,15,"CACYBP",0.992632504434467,7.7547725257515e-06,0.00271695286473013,0.564364014326812,0.5652313273611,-0.00920974536848081,0.339316943354164,0.729355686693431
"Nkx2-5 (mouse)",0.0296380241211779,2.72820512820513,9.59972759110088,"['CLEC2L', 'KLHL15', 'POLR1B', 'ST8SIA2', 'ACVR1B', 'CORO2B']",0.992632504434467,0,0,6,"Nkx2-5",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"Lhx3 (mouse)",0.0418674418830372,46.6393442622951,147.998149816568,"['KSR2']",0.992632504434467,0,0,1,"Lhx3",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"RARA (human)",0.0443213118575893,1.75061908917243,5.45543612645866,"['GCH1', 'MEA1', 'FRY', 'PDIA6', 'MYO19', 'SEC14L2', 'RCN1', 'ZNF91', 'MC1R', 'ETNK1', 'TNKS1BP1', 'RALGPS1', 'RBMS2', 'ZNF564']",0.992632504434467,0,0,14,"RARA",0.992632504434467,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"RELA (mouse)",0.045599027922281,1.68055471811878,5.18933261552346,"['SLC24A4', 'ANKRD16', 'S100A1', 'PCDH10', 'GRK4', 'TRAF3', 'ETNK1', 'ERI2', 'ASXL3', 'OPA3', 'TCEA3', 'HNRNPA2B1', 'NAMPT', 'FAT4', 'MKX', 'RBMS2']",0.992632504434467,0,0,16,"RELA",0.992632504434467,0.316465272781695,0.858330496127523,NA,NA,NA,0.435719451263477,0.77821031152388
"IRF8 (mouse)",0.0491409090583343,1.72207641388921,5.18872543657115,"['CISD2', 'MEA1', 'WDR34', 'SEC14L2', 'RCN1', 'IQCK', 'DEPTOR', 'MC1R', 'CASP6', 'MBP', 'FAT4', 'NF2', 'RBMS2', 'LHPP']",0.992632504434467,0,0,14,"IRF8",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
