Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Kennedy pathway from sphingolipids WP3933,0.004508688295291164,30.398950131233597,164.20749881859098,"['CHKA', 'ETNK1']",0.3400891192935868,0,0,2
2,One-carbon metabolism and related pathways WP3940,0.006482910080912961,9.173015873015872,46.219027363786516,"['DHFR2', 'CHKA', 'ETNK1']",0.3400891192935868,0,0,3
3,Hippo-Yap signaling pathway WP4537,0.012094099167336225,15.191601049868767,67.07149010448082,"['NF2', 'STK3']",0.3400891192935868,0,0,2
4,Hematopoietic Stem Cell Differentiation WP2849,0.015329492877520296,13.01912260967379,54.39359048857827,"['SEC14L2', 'ACVR1B']",0.3400891192935868,0,0,2
5,Apoptosis WP254,0.016359326506046656,6.246753246753247,25.6926282166743,"['CASP6', 'TRAF3', 'BAD']",0.3400891192935868,0,0,3
6,Autophagy WP4923,0.01889114983643977,11.38976377952756,45.20667552204177,"['DEPTOR', 'ATG7']",0.3400891192935868,0,0,2
7,Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534,0.01889114983643977,11.38976377952756,45.20667552204177,"['NF2', 'STK3']",0.3400891192935868,0,0,2
8,Oxidation by Cytochrome P450 WP43,0.01889114983643977,11.38976377952756,45.20667552204177,"['CYP4Z1', 'CYP4X1']",0.3400891192935868,0,0,2
9,Activation of NLRP3 Inflammasome by SARS-CoV-2 WP4876,0.02177935154347322,inf,inf,['TRAF3'],0.3400891192935868,0,0,1
10,Apoptosis Modulation and Signaling WP1772,0.02222804701265273,5.494285714285715,20.91345138753236,"['CASP6', 'TRAF3', 'BAD']",0.3400891192935868,0,0,3
11,Oxidative Damage WP3941,0.02693168972521098,9.108661417322836,32.92281609821039,"['BAD', 'TRAF3']",0.3745953207233891,0,0,2
12,Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway WP4577,0.04106783860537463,7.003028467595397,22.357378330016545,"['DEPTOR', 'ATG7']",0.5071131166671807,0,0,2
13,NAD+ metabolism WP3644,0.043088042592636266,45.2578125,142.31363286950616,['NAMPT'],0.5071131166671807,0,0,1
14,Metapathway biotransformation Phase I and II WP702,0.055599647601571704,3.7046332046332044,10.704828146737892,"['CYP4Z1', 'CYP4X1', 'EPHX2']",0.5078518451085307,0,0,3
15,Novel intracellular components of RIG-I-like receptor (RLR) pathway WP3865,0.06322968329809238,5.351551644279759,14.775534634762229,"['CYLD', 'TRAF3']",0.5078518451085307,0,0,2
16,Apoptosis Modulation by HSP70 WP384,0.06393610223207237,22.625,62.21583356922275,['CASP6'],0.5078518451085307,0,0,1
17,Caloric restriction and aging WP4191,0.06393610223207237,22.625,62.21583356922275,['NAMPT'],0.5078518451085307,0,0,1
18,Cell Differentiation - Index WP2029,0.06393610223207237,22.625,62.21583356922275,['LEFTY1'],0.5078518451085307,0,0,1
19,Eicosanoid metabolism via cytochrome P450 monooxygenases (CYP) pathway WP4720,0.06393610223207237,22.625,62.21583356922275,['EPHX2'],0.5078518451085307,0,0,1
20,Regulatory circuits of the STAT3 signaling pathway WP4538,0.06928026709603277,5.05336832895888,13.490447629770816,"['DEPTOR', 'TRIM28']",0.5078518451085307,0,0,2
21,Acetylcholine Synthesis WP528,0.08433340187283422,15.080729166666666,37.29430038691161,['CHKA'],0.5078518451085307,0,0,1
22,Arachidonate Epoxygenase / Epoxide Hydrolase WP678,0.08433340187283422,15.080729166666666,37.29430038691161,['EPHX2'],0.5078518451085307,0,0,1
23,Glial Cell Differentiation WP2276,0.08433340187283422,15.080729166666666,37.29430038691161,['MBP'],0.5078518451085307,0,0,1
24,DNA IR-double strand breaks and cellular response via ATM WP3959,0.08847842123888797,4.329208848893888,10.498316672190622,"['TRIM28', 'STK3']",0.5078518451085307,0,0,2
25,3q29 copy number variation syndrome WP4906,0.1020474499816404,3.9513865114686753,9.018318102199224,"['NF2', 'WDR34']",0.5078518451085307,0,0,2
26,Transcription co-factors SKI and SKIL protein partners WP4533,0.10428960938131636,11.30859375,25.56402094111043,['STK3'],0.5078518451085307,0,0,1
27,"NAD metabolism, sirtuins and aging WP3630",0.10428960938131636,11.30859375,25.56402094111043,['NAMPT'],0.5078518451085307,0,0,1
28,Nanoparticle triggered autophagic cell death WP2509,0.10428960938131636,11.30859375,25.56402094111043,['ATG7'],0.5078518451085307,0,0,1
29,Host-pathogen interaction of human coronaviruses - autophagy WP4863,0.10428960938131636,11.30859375,25.56402094111043,['ATG7'],0.5078518451085307,0,0,1
30,TNF-alpha signaling pathway WP231,0.12336861677666364,3.493640218049667,7.310716480227146,"['BAD', 'KSR2']",0.5078518451085307,0,0,2
31,SARS coronavirus and innate immunity WP4912,0.12381418866359874,9.0453125,18.89541644501358,['TRAF3'],0.5078518451085307,0,0,1
32,Ras signaling WP4223,0.13677730395592838,2.439625850340136,4.853394580342668,"['BAD', 'RASGRF2', 'KSR2']",0.5078518451085307,0,0,3
33,Cell Differentiation - Index expanded WP2023,0.1429164029732325,7.536458333333333,14.66214512723935,['LEFTY1'],0.5078518451085307,0,0,1
34,Tryptophan catabolism leading to NAD+ production WP4210,0.1429164029732325,7.536458333333333,14.66214512723935,['NAMPT'],0.5078518451085307,0,0,1
35,Type I interferon induction and signaling during SARS-CoV-2 infection WP4868,0.1429164029732325,7.536458333333333,14.66214512723935,['TRAF3'],0.5078518451085307,0,0,1
36,miRNAs involvement in the immune response in sepsis WP4329,0.1429164029732325,7.536458333333333,14.66214512723935,['TRAF3'],0.5078518451085307,0,0,1
37,NAD Metabolism in Oncogene-Induced Senescence and Mitochondrial Dysfunction-Associated Senescence WP5046,0.1429164029732325,7.536458333333333,14.66214512723935,['NAMPT'],0.5078518451085307,0,0,1
38,NAD+ biosynthetic pathways WP3645,0.1429164029732325,7.536458333333333,14.66214512723935,['NAMPT'],0.5078518451085307,0,0,1
39,Nanomaterial induced apoptosis WP2507,0.1429164029732325,7.536458333333333,14.66214512723935,['CASP6'],0.5078518451085307,0,0,1
40,Glycerolipids and Glycerophospholipids WP4722,0.1429164029732325,7.536458333333333,14.66214512723935,['ETNK1'],0.5078518451085307,0,0,1
41,Host-pathogen interaction of human coronaviruses - apoptosis WP4864,0.1429164029732325,7.536458333333333,14.66214512723935,['BAD'],0.5078518451085307,0,0,1
42,MTHFR deficiency WP4288,0.16160531861939434,6.458705357142857,11.771624895106047,['CHKA'],0.5078518451085307,0,0,1
43,Overview of leukocyte-intrinsic Hippo pathway functions WP4542,0.16160531861939434,6.458705357142857,11.771624895106047,['STK3'],0.5078518451085307,0,0,1
44,Small cell lung cancer WP4658,0.16867565427881145,2.8356299212598426,5.046790654155022,"['TRAF3', 'COL4A4']",0.5078518451085307,0,0,2
45,16p11.2 distal deletion syndrome WP4950,0.17988980907378727,5.650390625,9.692741030910891,['RAB4A'],0.5078518451085307,0,0,1
46,IL-7 signaling pathway WP205,0.17988980907378727,5.650390625,9.692741030910891,['BAD'],0.5078518451085307,0,0,1
47,Toll-like Receptor Signaling related to MyD88 WP3858,0.17988980907378727,5.650390625,9.692741030910891,['TRAF3'],0.5078518451085307,0,0,1
48,Metabolism of Spingolipids in ER and Golgi apparatus WP4142,0.17988980907378727,5.650390625,9.692741030910891,['B4GALT2'],0.5078518451085307,0,0,1
49,"Oligodendrocyte specification and differentiation, leading to myelin components for CNS WP4304",0.17988980907378727,5.650390625,9.692741030910891,['MBP'],0.5078518451085307,0,0,1
50,GDNF/RET signaling axis WP4830,0.17988980907378727,5.650390625,9.692741030910891,['FAT4'],0.5078518451085307,0,0,1
51,Pathways Regulating Hippo Signaling WP4540,0.1843525963066674,2.667901806391848,4.511168692899792,"['NF2', 'STK3']",0.5078518451085307,0,0,2
52,Regulation of toll-like receptor signaling pathway WP1449,0.19226942197229221,2.5912260967379077,4.27256297542888,"['CYLD', 'TRAF3']",0.5078518451085307,0,0,2
