Item ID	Item value	Change in Kuiper test statistic when item removed
RPL30	11.2580027620503	-4.440892098500626E-16
RPL3	10.9695174647765	-4.440892098500626E-16
RPL32	10.7065426376618	-4.440892098500626E-16
RPL34	11.0066705051696	-4.440892098500626E-16
RPLP1	11.1002331242743	-4.440892098500626E-16
RPLP0	12.0382696707439	0.014357915568707913
RPL10A	10.9110479826672	-4.440892098500626E-16
RPL8	10.6974225379996	-4.440892098500626E-16
RPL9	10.7802420079582	-4.440892098500626E-16
RPL6	10.8146466137027	-4.440892098500626E-16
RPL7	11.161353894884	-4.440892098500626E-16
RPS15	10.9927924705851	-4.440892098500626E-16
RPS4X	11.2684847349978	-4.440892098500626E-16
RPL7A	11.231743121378	-4.440892098500626E-16
RPS16	11.3337171106449	-4.440892098500626E-16
RPS19	11.2402943016977	-4.440892098500626E-16
RPL18A	11.5039398681462	-4.440892098500626E-16
RPL36AL	10.4514477811875	-4.440892098500626E-16
RPS18	11.2354203905131	-4.440892098500626E-16
RPL35	10.495496967287	-4.440892098500626E-16
RPLP2	10.7850558608626	-4.440892098500626E-16
RPL38	10.7980436360493	-4.440892098500626E-16
RPL37	10.7419661107981	-4.440892098500626E-16
RPS10	10.4288090142257	-4.440892098500626E-16
RPL39	10.6394713246121	-4.440892098500626E-16
RPS13	11.088032853896	-4.440892098500626E-16
RPS12	10.5372116636275	-4.440892098500626E-16
RPS9	11.0978152366063	-4.440892098500626E-16
RPL21	10.6484232962238	-4.440892098500626E-16
RPS7	11.0391474622463	-4.440892098500626E-16
RPS8	10.8503130903348	-4.440892098500626E-16
RPL23	10.6979205554311	-4.440892098500626E-16
RPS5	11.6936796970949	0.006797629767899993
RPL13A	11.5221853798437	-4.440892098500626E-16
RPSA	11.2386952090962	-4.440892098500626E-16
RPS3A	11.230001139198	-4.440892098500626E-16
RPL37A	10.9202129784871	-4.440892098500626E-16
RPL24	10.6746060654112	-4.440892098500626E-16
RPL27	11.1453543902227	-4.440892098500626E-16
RPL26	10.3040279773201	-4.440892098500626E-16
RPL29	11.0328275350665	-4.440892098500626E-16
RPL10	10.9750978359306	-4.440892098500626E-16
RPL12	10.1740800343279	-4.440892098500626E-16
RPL11	10.8903090976067	-4.440892098500626E-16
RPL36A	11.0259216874734	-4.440892098500626E-16
RPS15A	10.8955143233285	-4.440892098500626E-16
RPL14	11.1526616468538	-4.440892098500626E-16
RPL13	11.0538576694265	-4.440892098500626E-16
RPS2	11.1070281565481	-4.440892098500626E-16
RPL15	11.2784416459254	-4.440892098500626E-16
RPL18	11.4751377673181	-4.440892098500626E-16
RPS27A	10.5370598777806	-4.440892098500626E-16
RPL17	10.9783548211214	-4.440892098500626E-16
RPL19	10.7381571328877	-4.440892098500626E-16
RPL41	10.7132343898327	-4.440892098500626E-16
RPL35A	10.7807316951161	-4.440892098500626E-16
RPL23A	10.7229352725782	-4.440892098500626E-16
RPS26	9.95772027897863	0.009014989806219287
RPS25	10.6895462436353	-4.440892098500626E-16
RPS28	11.082136455043	-4.440892098500626E-16
RPS27	10.7891885340955	-4.440892098500626E-16
RPS29	11.0848793839824	-4.440892098500626E-16
RPL27A	11.15063399686	-4.440892098500626E-16
RPL22L1	11.1215856975661	-4.440892098500626E-16
FAU	10.8930715534758	-4.440892098500626E-16
RSL24D1	11.0764922886902	-4.440892098500626E-16
RPS21	10.9842768825101	-4.440892098500626E-16
RPS24	10.6589015858041	-4.440892098500626E-16
RPS23	11.1510235139544	-4.440892098500626E-16
