Item ID	Item value	Change in Kuiper test statistic when item removed
IDI1	1.28604270868739	0.0
STARD4	-0.79352550922308	0.0
HMGCS1	0.569669051694951	0.0
CYP51A1	0.613045958677987	0.0
HMGCR	-0.451653367344445	0.0
TMEM97	0.0983527065686037	0.0
LSS	-0.675958896673954	0.0
ACAT2	-0.0199250443471328	0.0
TM7SF2	-1.96717171227206	0.0
ACTG1	0.266897520867568	0.0
SQLE	0.221782747576116	0.0
NSDHL	2.08182359537768	0.0
EBP	-1.50977517911218	0.0
NFIL3	0.780543436872635	0.0
SCD	0.521536451368062	0.0
FASN	0.860402886520089	0.0
SC5D	0.994644018404599	0.0
MVD	-1.29121943699877	0.0
ALDOC	0.777014619941716	0.0
DHCR7	0.139855368265721	0.0
ATF5	-0.0467169595453098	0.0
LDLR	0.827872540377705	0.0
FDFT1	0.768962059033524	0.0
