Item ID	Item value	Change in Kuiper test statistic when item removed
ALDH1L1	0.823935306817782	-2.220446049250313E-16
EPB41	0.648270461458319	-2.220446049250313E-16
GLRX5	-0.134877141754205	-2.220446049250313E-16
PPP2R5B	1.21171439607446	-2.220446049250313E-16
HTRA2	1.1675277134736	-2.220446049250313E-16
BPGM	0.701461281666935	-2.220446049250313E-16
SLC7A11	-0.00317548576315784	-2.220446049250313E-16
ADIPOR1	0.748624665333525	-2.220446049250313E-16
BACH1	-0.140196594689285	-2.220446049250313E-16
RHD	-0.284912100166655	-2.220446049250313E-16
CA1	0.838529992588635	-2.220446049250313E-16
ACKR1	-2.35669985131128	-2.220446049250313E-16
DCAF11	2.06815075732343	-2.220446049250313E-16
NFE2L1	0.193631645449114	-2.220446049250313E-16
TMEM9B	-0.897637888875703	-2.220446049250313E-16
