Item ID	Item value	Change in Kuiper test statistic when item removed
RYR1	1.53019212092681	-3.3306690738754696E-16
EIF4A2	0.732526661198568	-3.3306690738754696E-16
PSEN2	-0.488179906756051	-3.3306690738754696E-16
MYL6B	1.02386342461757	-3.3306690738754696E-16
COX7A1	1.46426879321666	-3.3306690738754696E-16
MYLK	0.528283543164761	-3.3306690738754696E-16
CKMT2	-1.79762819482265	-3.3306690738754696E-16
BAG1	0.214900722984475	-3.3306690738754696E-16
IGFBP7	-0.211709865202865	-3.3306690738754696E-16
MYH11	-0.141788484122845	-3.3306690738754696E-16
APOD	-22.7098331487639	-3.3306690738754696E-16
CD36	-0.599356700967579	-3.3306690738754696E-16
EPHB3	2.44468429265914	-3.3306690738754696E-16
PRNP	0.385864362386558	-3.3306690738754696E-16
WWTR1	-2.80150669107635	-3.3306690738754696E-16
TGFB1	0.656456814513218	-3.3306690738754696E-16
ATP6AP1	0.753527869324954	-3.3306690738754696E-16
IGFBP3	-0.937116258520514	-3.3306690738754696E-16
DAPK2	-0.438725030405755	-3.3306690738754696E-16
IGF1	-0.208048501690182	-3.3306690738754696E-16
TPD52L1	-1.65672198597077	-3.3306690738754696E-16
OCEL1	0.472891778596978	-3.3306690738754696E-16
FABP3	1.56944606051193	-3.3306690738754696E-16
PTP4A3	0.385442395627397	-3.3306690738754696E-16
SCD	0.783664115980323	-3.3306690738754696E-16
TNNT2	-0.610487830829331	-3.3306690738754696E-16
PFKM	0.313989647235098	-3.3306690738754696E-16
PVALB	1.58895712904597	-3.3306690738754696E-16
