Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-453,0.000245400937034243,20.89358245329001,173.68035302334533,"['TCEAL8', 'MOAP1', 'PRC1', 'WDR34', 'MRPL43']",0.7376752167249345,0,0,5
2,mmu-miR-378a-3p,0.002108527747081669,6.269512195121951,38.631262850030296,"['TGFBR3', 'DNAJB1', 'DKC1', 'GLI3', 'NFE2L1', 'KIF15']",0.9999422392700881,0,0,6
3,mmu-miR-434-3p,0.0035292153022539615,4.502660073856168,25.425079355386483,"['MOAP1', 'PRC1', 'DKC1', 'SMAD9', 'WDR34', 'SP9', 'TRPM3']",0.9999422392700881,0,0,7
4,mmu-miR-3066-5p,0.003732200244094035,6.9618196588139725,38.92184436745371,"['TCEAL8', 'MOAP1', 'PRC1', 'WDR34', 'MRPL43']",0.9999422392700881,0,0,5
5,mmu-miR-1933-3p,0.006413408238536131,3.901545972335232,19.70032750495351,"['MOAP1', 'PRC1', 'KLHL21', 'MAGT1', 'WDR34', 'APOLD1', 'ACMSD']",0.9999422392700881,0,0,7
6,hsa-miR-6886-3p,0.011152297556214028,2.4883177054605627,11.187749480320242,"['NT5C', 'MRPL18', 'ATP2B4', 'SLC39A13', 'SLC16A9', 'LHFPL2', 'ETV3', 'NPTX2', 'TRIB2', 'NUBP1', 'SOX4']",0.9999422392700881,0,0,11
7,hsa-miR-4715-5p,0.01192137303149336,3.856285178236398,17.081116091074126,"['PER2', 'SPRED2', 'CBX4', 'H3F3B', 'ORMDL3', 'RTL8A']",0.9999422392700881,0,0,6
8,hsa-miR-148b-3p,0.013471899267934984,1.5167676037241256,6.532944520599524,"['RAB3B', 'MYOM1', 'MCFD2', 'CDKN1B', 'ARL6IP1', 'DCUN1D3', 'HMGB3', 'C12ORF40', 'SLC7A11', 'ACACB', 'GLI3', 'TMEM47', 'NDN', 'SARAF', 'LDLR', 'FAM81A', 'ANKUB1', 'TPTE2', 'TMPRSS11A', 'PRNP', 'HSP90AA1', 'IGFBP5', 'SLC32A1', 'GADD45A', 'H2AFZ', 'GLRX5', 'ATP6AP2', 'SLC39A11', 'HLA-C', 'BPGM', 'HLA-A', 'TUBG1', 'IGSF10', 'NEURL4', 'PRKD3', 'TXNIP', 'BAX', 'MKX', 'B4GALT7', 'TUBA8']",0.9999422392700881,0,0,40
9,hsa-miR-449b-5p,0.015351824181626984,1.8524010624677534,7.7365918874628585,"['MOAP1', 'CLIC5', 'MCFD2', 'CDKN1B', 'SATB2', 'GMNN', 'NEAT1', 'HSPA13', 'COPZ1', 'NEUROD2', 'LDHA', 'CDK6', 'KBTBD6', 'PEG10', 'C18ORF32', 'TXNIP', 'RTL8A', 'IER5', 'NFE2L1']",0.9999422392700881,0,0,19
10,hsa-miR-6866-5p,0.01608385002135298,2.460416466749832,10.161371434693518,"['JAGN1', 'PGRMC1', 'CDKN1B', 'TUBB2A', 'PCNA', 'STOML1', 'NCBP2', 'EIF1AX', 'TUBB', 'BCL2L2']",0.9999422392700881,0,0,10
11,mmu-miR-335-5p,0.016258095869141845,5.564935064935065,22.922881778613153,"['PRPF4', 'HLA-A', 'ADO', 'RAN']",0.9999422392700881,0,0,4
12,hsa-miR-1292-5p,0.016835431369885825,2.595312368265745,10.599955416777696,"['SLC7A5', 'MCFD2', 'SYCE1L', 'PHKG1', 'CCDC115', 'PTGES2', 'SYVN1', 'RBM20', 'SOX4']",0.9999422392700881,0,0,9
13,hsa-miR-6721-5p,0.025978210841259227,1.5563571773167844,5.68147741976265,"['IFITM3', 'FAM13A', 'THY1', 'CCDC106', 'RPAP1', 'ADO', 'MRPL34', 'SPRED1', 'PPP1R14A', 'DDX11', 'PGAM1', 'C20ORF27', 'WDR73', 'RGMB', 'RUNX1', 'ARL4C', 'SLC7A5', 'REEP5', 'TMEM237', 'MYADM', 'TXNIP', 'RTL8A', 'FXYD6', 'CALR', 'TOMM5', 'NFE2L1', 'RBMS2', 'ITM2C']",0.9999422392700881,0,0,28
14,hsa-miR-6856-3p,0.029627133923543835,2.0910204081632653,7.358436002775041,"['RPL18A', 'H3F3B', 'PRKCD', 'SLC16A6', 'KLHL21', 'KLHDC8B', 'SRP14', 'RGMB', 'ATF5', 'NPTX2', 'RBMS2']",0.9999422392700881,0,0,11
15,mmu-miR-877-5p,0.0322045868394096,4.1728896103896105,14.336573118074208,"['MAFB', 'MRPL17', 'MAGT1', 'TIRAP']",0.9999422392700881,0,0,4
