Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,EZH2 human,0.007907205922019118,inf,inf,"['SFRP1', 'PCNA', 'CDKN2A', 'CCNE1', 'RPLP0']",0.9375119074574509,0,0,5
2,TFAP2C mouse,0.054953229880858795,inf,inf,"['SFRP1', 'CDK6', 'KIT']",0.9375119074574509,0,0,3
3,MYB mouse,0.054953229880858795,inf,inf,"['IGFBP5', 'H2AFZ', 'KIT']",0.9375119074574509,0,0,3
4,MYC human,0.06604347552205053,2.3451327433628317,6.372762291620755,"['SFRP1', 'LDHA', 'SURF1', 'CDK6', 'PCNA', 'CCNE1', 'SURF2', 'TOP1MT', 'ODC1', 'HLA-B']",0.9375119074574509,0,0,10
5,MYC mouse,0.07264505615712734,6.543859649122807,17.159112072828126,"['NFIA', 'CDKN2A', 'ODC1', 'BAX']",0.9375119074574509,0,0,4
6,TAL1 mouse,0.1446731117058924,inf,inf,"['KIT', 'RUNX1']",0.9375119074574509,0,0,2
7,APC human,0.1446731117058924,inf,inf,"['ODC1', 'SGK1']",0.9375119074574509,0,0,2
8,TFDP1 human,0.1446731117058924,inf,inf,"['PCNA', 'CCNE1']",0.9375119074574509,0,0,2
9,ZBTB7A human,0.1446731117058924,inf,inf,"['PKM', 'CDKN2A']",0.9375119074574509,0,0,2
10,CREBBP human,0.1446731117058924,inf,inf,"['PSMC5', 'CCK']",0.9375119074574509,0,0,2
11,DNMT3A human,0.1446731117058924,inf,inf,"['SFRP1', 'CDKN2A']",0.9375119074574509,0,0,2
12,ERCC2 human,0.1446731117058924,inf,inf,"['BAX', 'LAMTOR5']",0.9375119074574509,0,0,2
13,ID1 mouse,0.1446731117058924,inf,inf,"['CDKN2A', 'RUNX2']",0.9375119074574509,0,0,2
14,MAX mouse,0.1446731117058924,inf,inf,"['ODC1', 'BAX']",0.9375119074574509,0,0,2
15,MITF human,0.1446731117058924,inf,inf,"['MC1R', 'KIT']",0.9375119074574509,0,0,2
16,NOTCH1 mouse,0.1446731117058924,inf,inf,"['CCNE1', 'RUNX2']",0.9375119074574509,0,0,2
