Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-100-5p,0.0005061223995241191,3.1632186535604068,24.00481868771104,"['DAZAP2', 'SET', 'RPL10', 'RPLP1', 'ODC1', 'RPL36A', 'RPL10A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'NUDCD2', 'RPS15A', 'RPL14', 'RPL15', 'RPL19', 'RPL21', 'RPS8', 'NDUFC2', 'RPS27', 'NFIA', 'APEX1', 'CCNG1', 'PTPN9', 'RPL26']",0.9997898615204762,0,0,25
2,hsa-miR-652-3p,0.0024455141867267814,3.469897209985316,20.866226444914204,"['BTF3', 'SF3A1', 'RPL32', 'RPL21', 'H3F3B', 'RPS6', 'RPL35A', 'SRM', 'ANKRD9', 'RPS16', 'RPS19', 'RPL18A', 'RPS29', 'RPL27', 'RPL26', 'RPL29', 'COX20']",0.9997898615204762,0,0,17
3,hsa-miR-455-3p,0.00403738227655117,1.9493723272175472,10.745249727300633,"['DAZAP2', 'POP5', 'WBP2', 'VPS4A', 'CISD2', 'UQCR11', 'HSD17B12', 'RPL8', 'SRM', 'CDC14B', 'PURB', 'RPS15A', 'RPL18A', 'NCR3LG1', 'OPA3', 'RPS2', 'HMGN2', 'ANKMY1', 'BTF3', 'RPL41', 'USP5', 'UQCC3', 'ATP6AP1', 'MDH2', 'CDKN2A', 'RPS5', 'ENTPD5', 'MRPS23', 'SMIM19', 'DUSP28', 'IMP4', 'COX6B1', 'RPS27', 'TMEM115', 'NMNAT1', 'OCIAD2', 'SCRG1', 'EIF3D', 'RBMS2']",0.9997898615204762,0,0,39
4,hsa-miR-892b,0.0041814828706713885,7.30188679245283,39.993086324561176,"['RIC8A', 'DAZAP2', 'LYRM2', 'CDK6', 'IGFBP5', 'RPL34', 'RPLP0', 'DNAJB9', 'TIMM10']",0.9997898615204762,0,0,9
5,hsa-miR-92a-3p,0.004825245694878808,1.582109090909091,8.438801592898377,"['RPL3', 'COX4I1', 'RPLP1', 'POP4', 'TUSC2', 'PARK7', 'RPL8', 'RPL9', 'DNPH1', 'RPS15', 'RPL7A', 'RPS14', 'CHCHD2', 'RPL18A', 'OPA3', 'UQCRFS1', 'ELOB', 'RPS10', 'RPL39', 'RPS8', 'VBP1', 'RPL23', 'RPS5', 'RPL13A', 'RPS3A', 'PKM', 'RPL24', 'CD2BP2', 'RPL27', 'ERH', 'RBMS2', 'PFDN6', 'NDUFB10', 'GSTP1', 'RPL11', 'TMEM160', 'OAZ1', 'TSPAN31', 'PSMB6', 'PURB', 'C12ORF57', 'RIC8A', 'RPS15A', 'DNAJB9', 'SARAF', 'CD59', 'RPL15', 'ZNF622', 'CCT7', 'POLR2I', 'POLR2L', 'BTF3', 'NDUFA7', 'H3F3B', 'NEK6', 'PDAP1', 'CHCHD10', 'ATOX1', 'RPS25', 'RPS28', 'LSM7', 'RNF103', 'EIF3I', 'PSMG3', 'FAU', 'OCIAD2', 'SLC25A33', 'PFKM', 'RPS24', 'EIF4G2', 'COX20', 'RPS23', 'ZNF134']",0.9997898615204762,0,0,73
6,hsa-miR-615-3p,0.005501390226160429,1.613850180377732,8.396466208063913,"['CUEDC2', 'RPL3', 'UBXN1', 'TUSC2', 'MAGEF1', 'RPL9', 'BACH2', 'RPL7', 'RPS15', 'RPL7A', 'RPL36AL', 'TMED2', 'UQCRFS1', 'PIM3', 'SEPHS2', 'RPL21', 'RPL23', 'SSR2', 'PGAM1', 'DDX11', 'PRKCD', 'HLA-B', 'RPSA', 'MRPL46', 'LRRC42', 'GNL3', 'DPM3', 'SMDT1', 'RPL37A', 'CD2BP2', 'ALDOC', 'VDAC1', 'RPL29', 'PFDN6', 'BEX4', 'STOML2', 'TOMM40', 'PCNA', 'VPS4A', 'UQCR11', 'USP19', 'C12ORF57', 'RBM15B', 'PDGFC', 'RPL13', 'SARAF', 'RPS2', 'RPL15', 'CYC1', 'NPTX1', 'CCT7', 'GADD45GIP1', 'GDF11', 'SF3A1', 'MDH2', 'CDKN2A', 'TMEM132A', 'MANBAL', 'MRPL21', 'BCKDK', 'CDK6', 'TMEM115', 'IMPDH2', 'TOMM7', 'EIF3D']",0.9997898615204762,0,0,65
7,hsa-miR-193b-3p,0.007004703506436872,1.7241471571906355,8.553793058904505,"['TSEN34', 'DAZAP2', 'PCNA', 'GMPR2', 'RPL12', 'ODC1', 'RPL8', 'RPL9', 'COX7C', 'TM7SF2', 'HHAT', 'DPH1', 'RPS18', 'TMED2', 'DNAJB9', 'EMC6', 'TAF9B', 'RPS10', 'AAMP', 'SEPHS2', 'FANCI', 'GDF11', 'WWTR1', 'TANGO6', 'SF3A1', 'IGFBP5', 'MDH2', 'GSS', 'PGAM1', 'CHCHD10', 'RPL23A', 'NSG1', 'PSMC5', 'LYRM2', 'NEIL2', 'CDK6', 'NFIA', 'NDUFS6', 'C6ORF47', 'EIF3I', 'RPL27A', 'KIT', 'PTPN9', 'RPL26', 'RPS21', 'SLC25A33', 'CENPQ', 'TOMM5']",0.9997898615204762,0,0,48
8,hsa-miR-4661-3p,0.008269102801307824,inf,inf,"['DAZAP2', 'CCNG1', 'RPL18', 'CGGBP1', 'COX6B1']",0.9997898615204762,0,0,5
9,hsa-miR-378g,0.008269102801307824,inf,inf,"['PKM', 'SLC39A11', 'TOMM5', 'COX6B1', 'SRSF9']",0.9997898615204762,0,0,5
10,hsa-miR-484,0.008911435881631638,1.625194401244168,7.671599987378993,"['NDUFA13', 'PHF23', 'RPLP0', 'RPS15', 'RPS14', 'STK10', 'CHCHD2', 'RPS18', 'OPA3', 'RPLP2', 'DGCR6L', 'CCDC97', 'ELOB', 'RPS10', 'SEPHS2', 'RPS9', 'HSP90AA1', 'RPL21', 'MRPS24', 'USP5', 'PGAM1', 'PRKCD', 'MRPL46', 'RUNX2', 'MZT2B', 'PKM', 'CD2BP2', 'RBMS2', 'SRSF9', 'CUTA', 'TOMM40', 'SET', 'DCTN3', 'ATXN7L3B', 'TIMM10', 'BLOC1S6', 'EFNB3', 'NRIP2', 'EMC6', 'ATP6V1F', 'FIS1', 'MDH2', 'SURF2', 'PSMC5', 'UQCRQ', 'RPS29', 'UBE2S', 'RPL27A', 'APEX1', 'FAU', 'TUBGCP4', 'RPS24', 'TMEM9B', 'EIF4G2', 'RPS23']",0.9997898615204762,0,0,55
