Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Hippo Signaling (GO:0035329),0.0010386797328595285,29.83277027027027,204.94531018835437,"['LATS1', 'FAT4', 'STK3']",0.6492351078994373,0,0,3
2,Defense Response To Virus (GO:0051607),0.0028012710747210875,3.7375529449372653,21.96814770419825,"['IFITM3', 'DUS2', 'AGBL4', 'TRIM28', 'TRAF3', 'DDX56', 'IRF2', 'ATG7']",0.6492351078994373,0,0,8
3,Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process (GO:1902108),0.0067584134919038055,39.64983164983165,198.1289045530169,"['ATF2', 'CAMK2A']",0.6492351078994373,0,0,2
4,Synaptic Vesicle Docking (GO:0016081),0.0067584134919038055,39.64983164983165,198.1289045530169,"['UNC13B', 'UNC13C']",0.6492351078994373,0,0,2
5,Defense Response To Symbiont (GO:0140546),0.006911417167230969,3.9993174061433447,19.89492667348626,"['IFITM3', 'AGBL4', 'TRAF3', 'DDX56', 'IRF2', 'ATG7']",0.6492351078994373,0,0,6
6,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),0.00754754536334285,9.9375,48.559920554837355,"['UNC13B', 'SYT4', 'UNC13C']",0.6492351078994373,0,0,3
7,Negative Regulation Of ERBB Signaling Pathway (GO:1901185),0.00754754536334285,9.9375,48.559920554837355,"['DAB2IP', 'PTPN2', 'PTPN3']",0.6492351078994373,0,0,3
8,Negative Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904030),0.00754754536334285,9.9375,48.559920554837355,"['LATS1', 'CDK5RAP1', 'NR2F2']",0.6492351078994373,0,0,3
9,Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045736),0.00754754536334285,9.9375,48.559920554837355,"['LATS1', 'CDK5RAP1', 'NR2F2']",0.6492351078994373,0,0,3
10,Negative Regulation Of Protein Localization (GO:1903828),0.010400805440823113,8.516409266409266,38.88483486212963,"['LATS1', 'COMMD1', 'CORO2B']",0.6492351078994373,0,0,3
11,Negative Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046426),0.01308595524592241,19.82154882154882,85.95051204146962,"['NF2', 'PTPN2']",0.6492351078994373,0,0,2
12,Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893),0.01308595524592241,19.82154882154882,85.95051204146962,"['NF2', 'PTPN2']",0.6492351078994373,0,0,2
13,Activin Receptor Signaling Pathway (GO:0032924),0.01308595524592241,19.82154882154882,85.95051204146962,"['ACVR1B', 'ACVR2A']",0.6492351078994373,0,0,2
14,Nucleic Acid Transport (GO:0050657),0.01308595524592241,19.82154882154882,85.95051204146962,"['RBFOX1', 'HNRNPA2B1']",0.6492351078994373,0,0,2
15,Regulation Of Protein Kinase A Signaling (GO:0010738),0.01308595524592241,19.82154882154882,85.95051204146962,"['MC1R', 'AKAP5']",0.6492351078994373,0,0,2
16,Sialylation (GO:0097503),0.01308595524592241,19.82154882154882,85.95051204146962,"['ST6GAL1', 'ST6GAL2']",0.6492351078994373,0,0,2
17,Positive Regulation Of Nervous System Process (GO:0031646),0.01308595524592241,19.82154882154882,85.95051204146962,"['UNC13B', 'NLGN2']",0.6492351078994373,0,0,2
18,Regulation Of Cell Projection Organization (GO:0031344),0.01308595524592241,19.82154882154882,85.95051204146962,"['NTNG1', 'ERMN']",0.6492351078994373,0,0,2
19,Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059),0.013796502241045073,7.450591216216216,31.913416719232572,"['DAB2IP', 'PTPN2', 'PTPN3']",0.6492351078994373,0,0,3
20,Cell Cycle G1/S Phase Transition (GO:0044843),0.014007371522725909,4.977118644067796,21.24319620057827,"['LATS1', 'CDK6', 'CAMK2A', 'E2F3']",0.6492351078994373,0,0,4
21,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),0.015380069945968864,3.8350340136054424,16.010050407697744,"['LATS1', 'SLC8A3', 'CDK5RAP1', 'DAB2IP', 'NR2F2']",0.6492351078994373,0,0,5
22,Protein N-linked Glycosylation (GO:0006487),0.015380069945968864,3.8350340136054424,16.010050407697744,"['KRTCAP2', 'ST6GAL1', 'ENTPD5', 'MAGT1', 'UBE2J1']",0.6492351078994373,0,0,5
23,Macromolecule Modification (GO:0043412),0.017528101179396623,3.692365835222978,14.931742465849265,"['ST6GAL1', 'ST6GAL2', 'FBXO2', 'ST8SIA2', 'PHKA2']",0.6492351078994373,0,0,5
24,Regulation Of Nervous System Process (GO:0031644),0.017747920481698605,6.621621621621622,26.694980995722684,"['SLC8A3', 'HTR2C', 'DLGAP3']",0.6492351078994373,0,0,3
25,Regulation Of Neuron Migration (GO:2001222),0.017747920481698605,6.621621621621622,26.694980995722684,"['NTNG1', 'CAMK2A', 'DAB2IP']",0.6492351078994373,0,0,3
26,Positive Regulation Of RNA Splicing (GO:0033120),0.017747920481698605,6.621621621621622,26.694980995722684,"['RBM20', 'SLC38A2', 'WDR77']",0.6492351078994373,0,0,3
27,Protein N-linked Glycosylation Via Asparagine (GO:0018279),0.017747920481698605,6.621621621621622,26.694980995722684,"['ST6GAL1', 'MAGT1', 'UBE2J1']",0.6492351078994373,0,0,3
28,Regulation Of Defense Response (GO:0031347),0.019607044266195226,4.422598870056497,17.389067791615048,"['CYLD', 'LACC1', 'TRAF3', 'LETMD1']",0.6492351078994373,0,0,4
29,Regulation Of Response To External Stimulus (GO:0032101),0.01986575343679887,3.55988824101069,13.950340390362197,"['CYLD', 'LACC1', 'GRK4', 'TRAF3', 'LETMD1']",0.6492351078994373,0,0,5
30,Epithelial Cell Differentiation (GO:0030855),0.01986575343679887,3.55988824101069,13.950340390362197,"['LATS1', 'PCNA', 'CASP6', 'CDHR2', 'HNRNPH3']",0.6492351078994373,0,0,5
31,C-terminal Protein Amino Acid Modification (GO:0018410),0.021117498482941425,13.212121212121213,50.96778260023871,"['AGBL4', 'ATG7']",0.6492351078994373,0,0,2
32,G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664),0.021117498482941425,13.212121212121213,50.96778260023871,"['HTR2C', 'HTR5A']",0.6492351078994373,0,0,2
33,Regulation Of Necroptotic Process (GO:0060544),0.021117498482941425,13.212121212121213,50.96778260023871,"['CYLD', 'CASP6']",0.6492351078994373,0,0,2
34,Phosphatidylethanolamine Biosynthetic Process (GO:0006646),0.021117498482941425,13.212121212121213,50.96778260023871,"['CHKA', 'ETNK1']",0.6492351078994373,0,0,2
35,Coenzyme A Biosynthetic Process (GO:0015937),0.021117498482941425,13.212121212121213,50.96778260023871,"['PANK4', 'DCAKD']",0.6492351078994373,0,0,2
36,Retrotransposon Silencing (GO:0010526),0.021117498482941425,13.212121212121213,50.96778260023871,"['ZNF91', 'TEX15']",0.6492351078994373,0,0,2
37,Ribonucleoside Bisphosphate Biosynthetic Process (GO:0034030),0.021117498482941425,13.212121212121213,50.96778260023871,"['PANK4', 'DCAKD']",0.6492351078994373,0,0,2
38,Purine Nucleoside Bisphosphate Biosynthetic Process (GO:0034033),0.021117498482941425,13.212121212121213,50.96778260023871,"['PANK4', 'DCAKD']",0.6492351078994373,0,0,2
39,Regulation Of Activin Receptor Signaling Pathway (GO:0032925),0.021117498482941425,13.212121212121213,50.96778260023871,"['ACVR1B', 'ACVR2A']",0.6492351078994373,0,0,2
40,Negative Regulation Of Hydrolase Activity (GO:0051346),0.02226236758398822,5.958445945945946,22.67103821246596,"['RASA4', 'CAMK2A', 'DAB2IP']",0.6492351078994373,0,0,3
41,Negative Regulation Of Cell Cycle (GO:0045786),0.022398779545434292,3.436547032606146,13.05457893750882,"['LATS1', 'CDK6', 'CDK5RAP1', 'NR2F2', 'PTPN3']",0.6492351078994373,0,0,5
42,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),0.022855973619557518,4.189116859946476,15.828757216531715,"['CDK6', 'DAB2IP', 'AQP11', 'NR2F2']",0.6492351078994373,0,0,4
43,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),0.026413460442507475,3.9789830508474577,14.459153030665602,"['LATS1', 'CDK6', 'CAMK2A', 'E2F3']",0.6492351078994373,0,0,4
44,Carboxylic Acid Transport (GO:0046942),0.027341879370236,5.415847665847666,19.49345390017865,"['SLC13A3', 'SLC7A14', 'SLC38A2']",0.6492351078994373,0,0,3
45,Peptidyl-Tyrosine Dephosphorylation (GO:0035335),0.027341879370236,5.415847665847666,19.49345390017865,"['UBASH3B', 'PTPN9', 'PTPN2']",0.6492351078994373,0,0,3
46,Negative Regulation Of Transposition (GO:0010529),0.030674693975964153,9.907407407407407,34.52055067872607,"['ZNF91', 'TEX15']",0.6492351078994373,0,0,2
47,Negative Regulation Of Type I Interferon Production (GO:0032480),0.030674693975964153,9.907407407407407,34.52055067872607,"['CYLD', 'DDX56']",0.6492351078994373,0,0,2
48,Spermidine Metabolic Process (GO:0008216),0.030674693975964153,9.907407407407407,34.52055067872607,"['DHPS', 'SLC38A2']",0.6492351078994373,0,0,2
49,Protein Autoprocessing (GO:0016540),0.030674693975964153,9.907407407407407,34.52055067872607,"['CASP6', 'FXN']",0.6492351078994373,0,0,2
50,Pyroptosis (GO:0070269),0.030674693975964153,9.907407407407407,34.52055067872607,"['GSDMB', 'CASP6']",0.6492351078994373,0,0,2
51,Modulation By Host Of Viral Genome Replication (GO:0044827),0.030674693975964153,9.907407407407407,34.52055067872607,"['DDX56', 'ZBED1']",0.6492351078994373,0,0,2
52,Regulation Of Erythrocyte Differentiation (GO:0045646),0.03298386428677451,4.9636824324324325,16.934778008826665,"['CDK6', 'ACVR1B', 'ACVR2A']",0.6492351078994373,0,0,3
53,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),0.03298386428677451,4.9636824324324325,16.934778008826665,"['CAMK2A', 'NF2', 'PTPN2']",0.6492351078994373,0,0,3
54,Positive Regulation Of Insulin Secretion (GO:0032024),0.03298386428677451,4.9636824324324325,16.934778008826665,"['ANO1', 'NLGN2', 'BAD']",0.6492351078994373,0,0,3
55,Activation Of GTPase Activity (GO:0090630),0.03447302252668555,3.616024653312789,12.177245853112158,"['ARHGAP42', 'PIP5K1A', 'TBC1D22A', 'GARNL3']",0.6492351078994373,0,0,4
56,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),0.03815757826939306,2.928671468587435,9.565131503445906,"['LEFTY1', 'ITGB5', 'RGMB', 'ACVR1B', 'ACVR2A']",0.6492351078994373,0,0,5
57,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),0.03898110984443204,3.458216654384672,11.220799889038368,"['CYLD', 'TRAF3', 'DAB2IP', 'COMMD1']",0.6492351078994373,0,0,4
58,Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042),0.04159235208322288,7.924579124579124,25.198885543133287,"['KLHL15', 'KMT5A']",0.6492351078994373,0,0,2
