Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,PAX3 mouse,0.0067584134919038055,39.64983164983165,198.1289045530169,"['ST8SIA2', 'MBP']",0.33116226110328645,0,0,2
2,RXRA human,0.0067584134919038055,39.64983164983165,198.1289045530169,"['NOL7', 'CPT1B']",0.33116226110328645,0,0,2
3,RB1 human,0.013796502241045073,7.450591216216216,31.913416719232572,"['ATF2', 'PCNA', 'E2F3']",0.36574501805423426,0,0,3
4,PPARGC1A mouse,0.021117498482941425,13.212121212121213,50.96778260023871,"['MBP', 'CPT1B']",0.36574501805423426,0,0,2
5,NR3C1 human,0.027341879370236,5.415847665847666,19.49345390017865,"['ATF2', 'CDK6', 'BAD']",0.36574501805423426,0,0,3
6,EZH2 mouse,0.048319116208643494,inf,inf,['BAD'],0.36574501805423426,0,0,1
7,POU3F1 mouse,0.048319116208643494,inf,inf,['MBP'],0.36574501805423426,0,0,1
8,PRDM1 human,0.048319116208643494,inf,inf,['PCNA'],0.36574501805423426,0,0,1
9,SOX17 mouse,0.048319116208643494,inf,inf,['MBP'],0.36574501805423426,0,0,1
10,IRF8 human,0.048319116208643494,inf,inf,['GAS2'],0.36574501805423426,0,0,1
11,STAT4 human,0.048319116208643494,inf,inf,['PIM1'],0.36574501805423426,0,0,1
12,HSF1 human,0.0810361353614143,4.950336700336701,12.439503616516932,"['SESN3', 'ATG7']",0.36574501805423426,0,0,2
13,AHR mouse,0.09431103996112834,19.758389261744966,46.65265957716514,['SMOC2'],0.36574501805423426,0,0,1
14,TCF3 human,0.09431103996112834,19.758389261744966,46.65265957716514,['CDK6'],0.36574501805423426,0,0,1
15,MITF mouse,0.09431103996112834,19.758389261744966,46.65265957716514,['OSTM1'],0.36574501805423426,0,0,1
16,PDX1 mouse,0.09431103996112834,19.758389261744966,46.65265957716514,['TSHZ1'],0.36574501805423426,0,0,1
17,RFX1 human,0.09431103996112834,19.758389261744966,46.65265957716514,['PCNA'],0.36574501805423426,0,0,1
18,HOXA1 human,0.09431103996112834,19.758389261744966,46.65265957716514,['PCNA'],0.36574501805423426,0,0,1
19,HOXC8 mouse,0.09431103996112834,19.758389261744966,46.65265957716514,['PCNA'],0.36574501805423426,0,0,1
20,SOX4 human,0.09431103996112834,19.758389261744966,46.65265957716514,['HDAC8'],0.36574501805423426,0,0,1
