Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4772-5p,0.0003278207498453642,11.357142857142858,91.11885223860737,"['NLGN4Y', 'KBTBD4', 'IGFBP5', 'ZXDB', 'USP9Y', 'DNAJB9']",0.1603043466743831,0,0,6
2,hsa-miR-383,0.0018496766697681131,7.090909090909091,44.62127867315053,"['NLGN4Y', 'KBTBD4', 'IGFBP5', 'ZXDB', 'DNAJB9', 'ARF6']",0.38697310998415047,0,0,6
3,mmu-miR-669e,0.003168910021647734,7.757352941176471,44.63866036419131,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'DNAJB9', 'NR2F2']",0.38697310998415047,0,0,5
4,mmu-miR-5135,0.0035837040023227137,5.9423076923076925,33.46326419535721,"['IGFBP5', 'TMEM115', 'NRIP2', 'ST8SIA2', 'ZXDB', 'ARF6']",0.38697310998415047,0,0,6
5,mmu-miR-3098-5p,0.004242744372591124,4.912280701754386,26.833554196511002,"['KBTBD4', 'IGFBP5', 'ST8SIA2', 'ZXDB', 'UTY', 'WDR77', 'ARF6']",0.38697310998415047,0,0,7
6,mmu-miR-467b,0.004811860155821873,5.491071428571429,29.30404463256937,"['SCNN1G', 'ST8SIA2', 'DNAJB9', 'NR2F2', 'WDR77', 'ARF6']",0.38697310998415047,0,0,6
7,mmu-miR-467h,0.006330848425098576,5.1,25.817837198973418,"['ST8SIA2', 'ZXDB', 'USP9Y', 'NR2F2', 'WDR77', 'ARF6']",0.38697310998415047,0,0,6
8,mmu-miR-467e,0.006330848425098576,5.1,25.817837198973418,"['ST8SIA2', 'ZXDB', 'USP9Y', 'NR2F2', 'WDR77', 'ARF6']",0.38697310998415047,0,0,6
9,hsa-miR-3912,0.011109907708510294,11.368421052631579,51.15696232657129,"['ST8SIA2', 'ZXDB', 'ARF6']",0.6036383188290594,0,0,3
10,mmu-miR-3072,0.015401419357182977,4.660633484162896,19.450201248830332,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'NR2F2', 'ARF6']",0.6429418653359811,0,0,5
11,hsa-miR-4764-3p,0.016094890389262376,3.9473684210526314,16.299684570354806,"['ABI3BP', 'NRIP2', 'ST8SIA2', 'USP9Y', 'NR2F2', 'ARF6']",0.6429418653359811,0,0,6
12,hsa-miR-875-5p,0.02455877729183399,4.0,14.826743845907732,"['NLGN4Y', 'ABI3BP', 'USP9Y', 'DNAJB9', 'ARF6']",0.6429418653359811,0,0,5
13,mmu-miR-1929,0.02455877729183399,4.0,14.826743845907732,"['PANK4', 'IGFBP5', 'ST8SIA2', 'WDR77', 'ARF6']",0.6429418653359811,0,0,5
14,mmu-miR-667,0.028487887894035103,4.644444444444445,16.526216445704826,"['SCNN1G', 'ST8SIA2', 'RAB24', 'UTY']",0.6429418653359811,0,0,4
15,mmu-miR-296-3p,0.028487887894035103,4.644444444444445,16.526216445704826,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'ARF6']",0.6429418653359811,0,0,4
16,hsa-miR-4671-3p,0.028487887894035103,4.644444444444445,16.526216445704826,"['ST8SIA2', 'ZXDB', 'USP9Y', 'ARF6']",0.6429418653359811,0,0,4
17,hsa-miR-3171,0.030255014792795562,3.7316176470588234,13.053546801177625,"['TMEM115', 'ST8SIA2', 'ZXDB', 'USP9Y', 'ARF6']",0.6429418653359811,0,0,5
18,hsa-miR-4473,0.03647569663535574,4.202020202020202,13.913347269515073,"['ST8SIA2', 'ZXDB', 'USP9Y', 'ARF6']",0.6429418653359811,0,0,4
19,hsa-miR-4460,0.03647569663535574,4.202020202020202,13.913347269515073,"['IGFBP5', 'TMEM115', 'ZXDB', 'ARF6']",0.6429418653359811,0,0,4
20,mmu-miR-467c,0.03647569663535574,4.202020202020202,13.913347269515073,"['SCNN1G', 'ST8SIA2', 'DNAJB9', 'NR2F2']",0.6429418653359811,0,0,4
21,mmu-miR-467d,0.03647569663535574,4.202020202020202,13.913347269515073,"['SCNN1G', 'ST8SIA2', 'DNAJB9', 'NR2F2']",0.6429418653359811,0,0,4
22,hsa-miR-3677-3p,0.03880528777170451,5.605263157894737,18.212614095730252,"['IGFBP5', 'NRIP2', 'ST8SIA2']",0.6429418653359811,0,0,3
23,mmu-miR-466h-3p,0.04273783574166104,10.85,34.20647674936696,"['IGFBP5', 'WDR77']",0.6429418653359811,0,0,2
24,mmu-miR-137,0.044067453855524824,3.284313725490196,10.253738384596087,"['IGFBP5', 'ABI3BP', 'USP9Y', 'UTY', 'ARF6']",0.6429418653359811,0,0,5
25,mmu-miR-3092,0.045665215938922823,3.8333333333333335,11.831270572002245,"['IGFBP5', 'TMEM115', 'NRIP2', 'NR2F2']",0.6429418653359811,0,0,4
26,mmu-miR-5121,0.045835389018001216,2.91,8.970653508720417,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'USP9Y', 'NR2F2', 'ARF6']",0.6429418653359811,0,0,6
27,hsa-miR-3651,0.05214135442269369,4.7819548872180455,14.124923493882909,"['NLGN4Y', 'IGFBP5', 'DNAJB9']",0.6429418653359811,0,0,3
28,mmu-miR-380-5p,0.06127267124337039,2.926470588235294,8.171938966228979,"['CCDC178', 'IGFBP5', 'NRIP2', 'ST8SIA2', 'UTY']",0.6429418653359811,0,0,5
29,mmu-miR-672,0.06127267124337039,2.926470588235294,8.171938966228979,"['IGFBP5', 'ST8SIA2', 'ZXDB', 'RAB24', 'UTY']",0.6429418653359811,0,0,5
30,mmu-miR-1194,0.06127267124337039,2.926470588235294,8.171938966228979,"['IFITM3', 'IGFBP5', 'ABI3BP', 'ST8SIA2', 'ZXDB']",0.6429418653359811,0,0,5
31,hsa-miR-423-3p,0.06729112374004285,7.2,19.430833982150155,"['IGFBP5', 'NRIP2']",0.6429418653359811,0,0,2
32,hsa-miR-4537,0.06729112374004285,7.2,19.430833982150155,"['IGFBP5', 'NRIP2']",0.6429418653359811,0,0,2
33,mmu-miR-450a,0.06729112374004285,7.2,19.430833982150155,"['ABI3BP', 'ZXDB']",0.6429418653359811,0,0,2
34,mmu-miR-878-5p,0.06744031297857588,4.1644736842105265,11.229554614339987,"['ZXDB', 'UTY', 'ARF6']",0.6429418653359811,0,0,3
35,hsa-miR-3115,0.06769035821472401,3.253968253968254,8.762323227615752,"['NLGN4Y', 'IGFBP5', 'UTY', 'ARF6']",0.6429418653359811,0,0,4
36,mmu-miR-669j,0.08050858858501861,3.022222222222222,7.614160705026816,"['ABI3BP', 'ST8SIA2', 'USP9Y', 'ARF6']",0.6429418653359811,0,0,4
37,hsa-miR-1278,0.08050858858501861,3.022222222222222,7.614160705026816,"['CCDC178', 'IGFBP5', 'NR2F2', 'ARF6']",0.6429418653359811,0,0,4
38,hsa-miR-3144-3p,0.08050858858501861,3.022222222222222,7.614160705026816,"['ABI3BP', 'USP9Y', 'DNAJB9', 'ARF6']",0.6429418653359811,0,0,4
39,mmu-miR-669i,0.08050858858501861,3.022222222222222,7.614160705026816,"['ABI3BP', 'ST8SIA2', 'USP9Y', 'ARF6']",0.6429418653359811,0,0,4
40,mmu-miR-3970,0.08050858858501861,3.022222222222222,7.614160705026816,"['USP9Y', 'DNAJB9', 'NR2F2', 'UTY']",0.6429418653359811,0,0,4
41,mmu-miR-468,0.08196852674386226,2.6336898395721926,6.587964242536425,"['SCNN1G', 'IGFBP5', 'ABI3BP', 'ST8SIA2', 'ZXDB']",0.6429418653359811,0,0,5
42,mmu-miR-448-5p,0.08196852674386226,2.6336898395721926,6.587964242536425,"['ABI3BP', 'ZXDB', 'DNAJB9', 'NR2F2', 'WDR77']",0.6429418653359811,0,0,5
43,mmu-miR-431,0.08459436931923349,3.6842105263157894,9.099585788245419,"['ST8SIA2', 'ZXDB', 'NR2F2']",0.6429418653359811,0,0,3
44,mmu-miR-126-3p,0.09128605762880151,inf,inf,['ST8SIA2'],0.6429418653359811,0,0,1
45,hsa-miR-4787-3p,0.09128605762880151,inf,inf,['ZXDB'],0.6429418653359811,0,0,1
46,hsa-miR-126,0.09128605762880151,inf,inf,['NR2F2'],0.6429418653359811,0,0,1
47,mmu-miR-412-5p,0.09128605762880151,inf,inf,['IGFBP5'],0.6429418653359811,0,0,1
