Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,1.6218066290088816e-54,57.096306685367,7071.723260622375,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPS6', 'RPL22', 'RPL13A', 'RPSA', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'FAU', 'RPS21', 'RPS24', 'RPS23']",5.741195466691441e-52,0,0,73
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,3.5914679844925776e-37,31.450068399452803,2639.1981390069514,"['COX7B', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'ATP5IF1', 'UQCRFS1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS8', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB5', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",6.356898332551862e-35,0,0,55
3,Oxidative phosphorylation WP623,8.394238365370917e-23,31.434832100170745,1597.8926057613064,"['NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB5', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP6AP2', 'NDUFA2', 'NDUFC2', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS8', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'ATP5PO']",9.905201271137682e-21,0,0,33
4,Nonalcoholic fatty liver disease WP4396,3.3316950641307748e-21,9.341638143755473,440.46576550418234,"['NDUFB9', 'NDUFA13', 'COX7B', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'UQCRB', 'NDUFB10', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'UQCRFS1', 'CYC1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'EIF2S1', 'COX6B1', 'NDUFS8', 'UQCRQ', 'NDUFS6', 'DDIT3', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'CYCS', 'BAX', 'PPARA']",2.9485501317557355e-19,0,0,47
5,Mitochondrial complex I assembly model OXPHOS system WP4324,1.8615519101870045e-13,15.126343381389253,443.38633755329363,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'DMAC1', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFB1', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3']",1.317978752412399e-11,0,0,23
6,Mitochondrial CIV Assembly WP4922,6.706062246965893e-09,11.587878787878788,218.08682102754804,"['COA3', 'COX7B', 'SURF1', 'PET100', 'NDUFA4', 'COX4I1', 'COX17', 'COX7A2', 'COX6A1', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'COX6B1', 'COX14', 'COX20']",3.9565767257098767e-07,0,0,16
7,Mitochondrial complex III assembly WP4921,3.2282718981480547e-05,12.915167095115681,133.55546508609854,"['UQCRB', 'UQCC3', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10', 'CYC1', 'UQCRH']",0.0016325832170634446,0,0,8
8,Cellular Proteostasis WP4918,0.003965549177369511,12.854219948849105,71.08526219994485,"['VBP1', 'PFDN4', 'PFDN5', 'PFDN6']",0.15597826764320077,0,0,4
9,Glycolysis in senescence WP5049,0.003965549177369511,12.854219948849105,71.08526219994485,"['LDHA', 'PKM', 'ALDOC', 'GAPDH']",0.15597826764320077,0,0,4
10,Synaptic Vesicle Pathway WP2267,0.00810911786556277,3.436503856041131,16.545962570900436,"['SLC32A1', 'CLTC', 'AP2S1', 'PARK7', 'SYP', 'SLC25A4', 'AP2M1', 'CPLX3']",0.26122563995878273,0,0,8
11,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell WP5027,0.00826652016112896,8.567774936061381,41.08712144301649,"['EIF3I', 'EIF2S1', 'EIF3D', 'EIF1']",0.26122563995878273,0,0,4
12,Glutathione metabolism WP100,0.008855106439280771,19.260536398467433,91.03995204801156,"['GPX4', 'IDH1', 'GSS']",0.26122563995878273,0,0,3
13,Proteasome Degradation WP183,0.011560804026252161,2.9003861003861005,12.93611317036027,"['PSMB6', 'PSMC5', 'PSMB5', 'UBB', 'H2AFZ', 'PSMC1', 'HLA-B', 'UBA1', 'PSMB10']",0.29759158934108365,0,0,9
14,Pyrimidine metabolism WP4022,0.011835445368436509,2.5345622119815667,11.244981672305705,"['POLE4', 'POLR3GL', 'POLD2', 'NME2', 'ENPP1', 'NME3', 'POLR2I', 'DCTPP1', 'POLR2K', 'NME1', 'POLR2L']",0.29759158934108365,0,0,11
15,Ferroptosis WP4313,0.012609813107673035,3.4664757578749876,15.159868929342085,"['MAP1LC3A', 'GPX4', 'FTH1', 'GSS', 'SLC3A2', 'SAT2', 'FTL']",0.29759158934108365,0,0,7
16,Translation Factors WP107,0.017874047594939005,2.86203941730934,11.518007095601345,"['EEF1B2', 'EIF2B5', 'EIF2AK1', 'EIF3I', 'EIF2B1', 'EIF2S1', 'EIF3D', 'EIF1']",0.37815545763602953,0,0,8
17,Amino Acid metabolism WP3925,0.018160007852577688,2.6356616356616356,10.56513789110169,"['LDHA', 'PKM', 'GOT1', 'MDH2', 'RARS', 'IDH1', 'GSS', 'ODC1', 'SRM']",0.37815545763602953,0,0,9
18,Glycolysis and Gluconeogenesis WP534,0.021789602922472007,3.0030808729139924,11.490755472246796,"['LDHA', 'PKM', 'GOT1', 'MDH2', 'PGAM1', 'ALDOC', 'GAPDH']",0.4285288574752828,0,0,7
19,7q11.23 copy number variation syndrome WP4932,0.02301279959707272,2.149870801033592,8.108677833939891,"['ATP5F1A', 'ATP5F1B', 'CLTC', 'ATP5MC2', 'ATP5PO', 'SQSTM1', 'GAPDH', 'ATP5F1D', 'VPS28', 'CLASP1', 'ATP5F1E', 'ATP5MC1']",0.4287647924928286,0,0,12
20,Base Excision Repair WP4752,0.02631610201268457,3.2153846153846155,11.696200387889439,"['POLE4', 'NEIL2', 'MPG', 'TDG', 'APEX1', 'POLD2']",0.46579500562451687,0,0,6
21,Cytosine methylation WP3585,0.049843810788849835,12.823979591836734,38.457331582769385,"['IDH1', 'TDG']",0.8344120047349564,0,0,2
22,Urea cycle and metabolism of amino groups WP497,0.056570305405759753,4.812260536398467,13.822116724420791,"['ODC1', 'CKB', 'SRM']",0.8344120047349564,0,0,3
23,Cori Cycle WP1946,0.056570305405759753,4.812260536398467,13.822116724420791,"['LDHA', 'PGAM1', 'GAPDH']",0.8344120047349564,0,0,3
24,Nanomaterial induced apoptosis WP2507,0.056570305405759753,4.812260536398467,13.822116724420791,"['ENDOG', 'BAX', 'CYCS']",0.8344120047349564,0,0,3
25,Selenium Micronutrient Network WP15,0.0662337809562953,2.4096153846153845,6.54105676688877,"['SELENOM', 'PRDX5', 'GPX4', 'SELENOW', 'SELENOK', 'SELENOH']",0.9378703383411414,0,0,6
26,Metabolic reprogramming in colon cancer WP4290,0.07980754010558552,2.267420814479638,5.7323511164990215,"['LDHA', 'PKM', 'MDH2', 'PGAM1', 'GAPDH', 'IDH3A']",0.9999321719694557,0,0,6
27,Computational Model of Aerobic Glycolysis WP4629,0.08164472548887836,3.8490421455938697,9.643305746227481,"['LDHA', 'PKM', 'GAPDH']",0.9999321719694557,0,0,3
28,Nucleotide metabolism WP404,0.08164472548887836,3.8490421455938697,9.643305746227481,"['NME2', 'OAZ1', 'SRM']",0.9999321719694557,0,0,3
29,Arachidonate Epoxygenase / Epoxide Hydrolase WP678,0.09083257065964565,6.410714285714286,15.37761979725584,"['GSTP1', 'COX5A']",0.9999321719694557,0,0,2
30,Dual hijack model of Vif in HIV infection WP3300,0.09083257065964565,6.410714285714286,15.37761979725584,"['UBB', 'ELOB']",0.9999321719694557,0,0,2
31,CAMKK2  Pathway WP4874,0.10936951192273849,2.566751918158568,5.680281318347349,"['FIS1', 'MAP1LC3A', 'SQSTM1', 'CALM2']",0.9999321719694557,0,0,4
32,Gastric Cancer Network 2 WP2363,0.11056856774725769,3.206896551724138,7.061969199718642,"['OTUD5', 'S100A6', 'BRIX1']",0.9999321719694557,0,0,3
33,DNA Repair Pathways Full Network WP4946,0.11754994164105528,1.7013399954576425,3.6423851863324614,"['POLE4', 'DCLRE1C', 'NEIL2', 'CENPX', 'MPG', 'TDG', 'APEX1', 'POLD2', 'GTF2H5']",0.9999321719694557,0,0,9
34,Parkinson's disease pathway WP2371,0.1339612264039135,2.3329458265519647,4.689699076205356,"['UBB', 'CYCS', 'UBA1', 'PARK7']",0.9999321719694557,0,0,4
35,EV release from cardiac cells and their functional effects WP3297,0.135190660343852,inf,inf,['RGS16'],0.9999321719694557,0,0,1
36,Nanomaterial-induced inflammasome activation WP3890,0.135190660343852,inf,inf,['CTSB'],0.9999321719694557,0,0,1
37,Nanoparticle triggered regulated necrosis WP2513,0.135190660343852,inf,inf,['FTL'],0.9999321719694557,0,0,1
