Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-654-5p,0.0001287492392086436,2.6489726027397262,23.72855334903734,"['L3MBTL3', 'SEMA3C', 'WIPF1', 'PCDH10', 'CLGN', 'CDC14B', 'PURB', 'TMEM47', 'CA3', 'OPA3', 'RBM11', 'RPH3AL', 'CXADR', 'ST8SIA2', 'ENTPD7', 'YOD1', 'MERTK', 'RUNX1', 'KBTBD4', 'CDK6', 'KBTBD6', 'ZNF853', 'SGK1', 'MDGA1', 'RBMS2']",0.0783602656172222,0,0,25
2,mmu-miR-1194,0.00023321507624173273,2.2936945812807883,19.183428067892237,"['IFITM3', 'HCN3', 'L3MBTL3', 'PCDH10', 'KLHL17', 'CISD2', 'PLD1', 'BACH2', 'CDC14B', 'PURB', 'TMEM47', 'STK10', 'ABI3BP', 'RASGEF1C', 'ZXDB', 'PIM1', 'ST8SIA6', 'SYT4', 'ST6GAL1', 'IGFBP5', 'RIPK2', 'ST8SIA2', 'ENTPD7', 'SLC39A11', 'YOD1', 'RUNX2', 'RCN1', 'RNF103', 'MKX', 'TMEM19', 'RBMS2']",0.0783602656172222,0,0,31
3,mmu-miR-1b-3p,0.0003783085541184004,2.3887256371814094,18.822681266189758,"['SAMD5', 'LRRC14', 'HEPN1', 'PGAP3', 'PHF23', 'CISD2', 'HTR2C', 'ATXN7L3B', 'PLD1', 'CDC14B', 'PURB', 'TMEM47', 'STK10', 'ABI3BP', 'NRIP2', 'ZXDB', 'SNX8', 'FAM81A', 'CXADR', 'LRRC29', 'ENTPD7', 'SYNGR3', 'RUNX2', 'CDK6', 'NFIA', 'MDGA1']",0.08474111612252169,0,0,26
4,mmu-miR-21,0.00082433417194141,2.281119714115545,16.19808181755448,"['SAMD5', 'LRRC14', 'C11ORF95', 'DBR1', 'PCNA', 'DCUN1D3', 'CISD2', 'ATXN7L3B', 'MAGT1', 'USP19', 'PURB', 'TMEM47', 'ZBBX', 'PCBD1', 'SYT4', 'ENTPD5', 'ST8SIA2', 'YOD1', 'RUNX1', 'KBTBD4', 'SCNN1G', 'RNF103', 'CDK6', 'KBTBD6', 'NFIA']",0.09125360032004426,0,0,25
5,mmu-miR-590-5p,0.00082433417194141,2.281119714115545,16.19808181755448,"['SAMD5', 'LRRC14', 'C11ORF95', 'DBR1', 'PCNA', 'DCUN1D3', 'CISD2', 'ATXN7L3B', 'MAGT1', 'USP19', 'PURB', 'TMEM47', 'ZBBX', 'PCBD1', 'SYT4', 'ENTPD5', 'ST8SIA2', 'YOD1', 'RUNX1', 'KBTBD4', 'SCNN1G', 'RNF103', 'CDK6', 'KBTBD6', 'NFIA']",0.09125360032004426,0,0,25
6,mmu-miR-667,0.0008339839049061886,2.2413793103448274,15.889802397939652,"['L3MBTL3', 'PHF23', 'BACH2', 'CDC14B', 'WDR66', 'PURB', 'TMEM47', 'CA3', 'RAB24', 'TANGO6', 'RPH3AL', 'NEK6', 'ST8SIA2', 'SLC39A11', 'VWA3A', 'RGMB', 'SYNGR3', 'USH2A', 'CORO2B', 'RUNX1', 'SCNN1G', 'CDK6', 'NFIA', 'AQP11', 'ROR2', 'FGFR2']",0.09125360032004426,0,0,26
7,hsa-miR-337-5p,0.0009505583366671277,3.705625,25.785447129108817,"['PURB', 'SCNN1G', 'ST6GAL1', 'CDK6', 'EPHX2', 'NEK6', 'DDX11', 'OPA3', 'RBM20', 'SGK1', 'WDR77']",0.09125360032004426,0,0,11
8,mmu-miR-698,0.0011081447477548352,2.305678274428274,15.69029758291994,"['SAMD5', 'CCDC178', 'SYT4', 'TANGO6', 'RPH3AL', 'CXADR', 'IGFBP5', 'PCDH10', 'DCAKD', 'YOD1', 'NR2F2', 'MERTK', 'MEA1', 'BACH2', 'CDC14B', 'HHAT', 'RNF103', 'CDK6', 'NFIA', 'DKC1', 'ST8SIA6', 'FAM81A', 'RBM11']",0.09308415881140615,0,0,23
9,mmu-miR-682,0.0013656687006008696,2.091355453057581,13.794812875613555,"['L3MBTL3', 'WIPF1', 'PCDH10', 'KLHL17', 'CISD2', 'ATXN7L3B', 'USP19', 'BACH2', 'PURB', 'TMEM47', 'STK10', 'ABI3BP', 'RASGEF1C', 'PIEZO2', 'FAM81A', 'LEKR1', 'NTNG1', 'CXADR', 'TEX15', 'SYNGR3', 'GADD45G', 'RUNX1', 'MC1R', 'NFIA', 'TMEM115', 'PTPN9', 'MKX', 'CGGBP1']",0.10196992964486494,0,0,28
10,mmu-miR-188-5p,0.001547692106589951,2.2366759282647135,14.47350850701563,"['SAMD5', 'C11ORF95', 'L3MBTL3', 'IGFBP5', 'AHNAK', 'WIPF1', 'ST8SIA2', 'YOD1', 'MAGT1', 'PLD1', 'BACH2', 'WDR77', 'PURB', 'TMEM47', 'STK10', 'HHAT', 'RCN1', 'RNF103', 'CDK6', 'PCBD1', 'MDGA1', 'HGFAC', 'RBMS2']",0.10400490956284472,0,0,23
