Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,3.502286554320327e-55,58.52320675105485,7338.152563240265,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPS6', 'RPL22', 'RPL13A', 'RPSA', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'FAU', 'RPS21', 'RPS24', 'RPS23']",1.2398094402293958e-52,0,0,73
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,5.299705479559463e-37,29.748865674791602,2484.863168539067,"['COX7B', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'ATP5IF1', 'UQCRFS1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS8', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB5', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",9.38047869882025e-35,0,0,55
3,Oxidative phosphorylation WP623,4.256312839349877e-23,32.21533193836789,1659.4456993694632,"['NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB5', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP6AP2', 'NDUFA2', 'NDUFC2', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS8', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'ATP5PO']",5.022449150432855e-21,0,0,33
4,Nonalcoholic fatty liver disease WP4396,5.645979117811348e-21,9.039687924016283,421.460473601818,"['NDUFB9', 'NDUFA13', 'COX7B', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'UQCRB', 'NDUFB10', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'UQCRFS1', 'CYC1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'EIF2S1', 'COX6B1', 'NDUFS8', 'UQCRQ', 'NDUFS6', 'DDIT3', 'NDUFS5', 'NDUFAB1', 'NDUFS3', 'CYCS', 'BAX', 'PPARA']",4.996691519263043e-19,0,0,47
5,Mitochondrial complex I assembly model OXPHOS system WP4324,8.163279222595972e-13,12.91294349540079,359.41835602809545,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'DMAC1', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFB1', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3']",5.779601689597948e-11,0,0,23
6,Mitochondrial CIV Assembly WP4922,4.909374352265548e-09,11.875,227.19391700127125,"['COA3', 'COX7B', 'SURF1', 'PET100', 'NDUFA4', 'COX4I1', 'COX17', 'COX7A2', 'COX6A1', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'COX6B1', 'COX14', 'COX20']",2.8965308678366734e-07,0,0,16
7,Mitochondrial complex III assembly WP4921,2.7567267504250293e-05,13.234536082474227,138.9478253629281,"['UQCRB', 'UQCC3', 'UQCRQ', 'UQCRFS1', 'UQCR11', 'UQCR10', 'CYC1', 'UQCRH']",0.0013941160995006576,0,0,8
8,Cellular Proteostasis WP4918,0.003662455040332395,13.171794871794871,73.88878476531008,"['VBP1', 'PFDN4', 'PFDN5', 'PFDN6']",0.1440565649197409,0,0,4
9,Glycolysis in senescence WP5049,0.003662455040332395,13.171794871794871,73.88878476531008,"['LDHA', 'PKM', 'ALDOC', 'GAPDH']",0.1440565649197409,0,0,4
10,Synaptic Vesicle Pathway WP2267,0.007135348574060025,3.5216494845360824,17.406436394096836,"['SLC32A1', 'CLTC', 'AP2S1', 'PARK7', 'SYP', 'SLC25A4', 'AP2M1', 'CPLX3']",0.24575813687988857,0,0,8
11,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell WP5027,0.007653547455348189,8.77948717948718,42.77880648454007,"['EIF3I', 'EIF2S1', 'EIF3D', 'EIF1']",0.24575813687988857,0,0,4
12,Glutathione metabolism WP100,0.008330784301013172,19.736235595390525,94.4931028663208,"['GPX4', 'IDH1', 'GSS']",0.24575813687988857,0,0,3
13,Proteasome Degradation WP183,0.010102102242513164,2.9723225806451614,13.657857135210142,"['PSMB6', 'PSMC5', 'PSMB5', 'UBB', 'H2AFZ', 'PSMC1', 'HLA-B', 'UBA1', 'PSMB10']",0.25663702570252717,0,0,9
14,Pyrimidine metabolism WP4022,0.01014948689219034,2.5975328035483276,11.923538279754492,"['POLE4', 'POLR3GL', 'POLD2', 'NME2', 'ENPP1', 'NME3', 'POLR2I', 'DCTPP1', 'POLR2K', 'NME1', 'POLR2L']",0.25663702570252717,0,0,11
