Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-92a-3p,4.330851570171083e-05,2.0947187327555428,21.04597693337385,"['RPL3', 'TUSC2', 'RPLP1', 'COX4I1', 'POP4', 'PARK7', 'RPL8', 'RPL9', 'DNPH1', 'RPS15', 'RPS14', 'RPL7A', 'CHCHD2', 'RPL18A', 'SNRPD1', 'UQCRFS1', 'ELOB', 'RPS10', 'RPL39', 'RPS8', 'VBP1', 'RPL23', 'RPS5', 'RPL13A', 'RPS3A', 'PKM', 'RPL24', 'SNRPE', 'ERH', 'RPL27', 'FKBP4', 'PFDN6', 'NDUFB10', 'RPL11', 'TMEM160', 'SNU13', 'ATP1A1', 'OAZ1', 'TSPAN31', 'C12ORF57', 'PSMB6', 'RPS15A', 'SARAF', 'CD59', 'RPL15', 'ZNF622', 'CCT7', 'POLR2I', 'POLR2L', 'BTF3', 'MOAP1', 'NDUFA7', 'SPRYD4', 'H3F3B', 'PDAP1', 'CHCHD10', 'ATOX1', 'RPS25', 'LSM7', 'RPS28', 'EIF3I', 'PSMG3', 'OCIAD2', 'FAU', 'PFKM', 'RPS24', 'COX20', 'RPS23']",0.09870819416891416,0,0,68
2,hsa-miR-100-5p,0.00010933213280807221,4.366293532338308,39.82548821868822,"['DAZAP2', 'SET', 'RPL21', 'RPL10', 'RPS8', 'RPLP1', 'ODC1', 'RPL36A', 'RPL10A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'RPS27', 'NUDCD2', 'RPS15A', 'APEX1', 'RPL14', 'RPL26', 'RPL15', 'RPL19']",0.09870819416891416,0,0,21
3,hsa-miR-484,0.00011983997673279745,2.284376800460918,20.626445047141676,"['NDUFA13', 'RPLP0', 'ZNF48', 'RPS15', 'PSMD8', 'RPS14', 'CHCHD2', 'RPS18', 'RPLP2', 'ELOB', 'RPS10', 'SEPHS2', 'HSP90AA1', 'RPS9', 'MRPS24', 'USP5', 'RPL21', 'PGAM1', 'PRKCD', 'MRPL46', 'MZT2B', 'PKM', 'RFX5', 'FKBP4', 'SRSF9', 'CUTA', 'SET', 'TOMM40', 'DCTN3', 'ATP1A1', 'TIMM10', 'PHB', 'BLOC1S6', 'EFNB3', 'EMC6', 'ATP6V1F', 'FIS1', 'SURF2', 'PSMC5', 'UQCRQ', 'RPS29', 'UBE2S', 'RPL27A', 'APEX1', 'FAU', 'TUBGCP4', 'RPS24', 'TMEM9B', 'RPS23']",0.09870819416891416,0,0,49
4,hsa-miR-615-3p,0.000283586606345076,2.065526838966203,16.871208744835126,"['UBXN1', 'RPL3', 'TUSC2', 'MAGEF1', 'RPL9', 'RPL7', 'RPS15', 'PSMD8', 'RPL7A', 'RPL36AL', 'SNRPD1', 'TMED2', 'UQCRFS1', 'SEPHS2', 'RPL21', 'SSR2', 'PGAM1', 'RPL23', 'PRKCD', 'HLA-B', 'RPSA', 'MRPL46', 'DPM3', 'SMDT1', 'RPL37A', 'VDAC1', 'ALDOC', 'RPL29', 'FKBP4', 'PFDN6', 'BEX4', 'TOMM40', 'VPS4A', 'UQCR11', 'C12ORF57', 'RBM15B', 'DPH2', 'PDGFC', 'SARAF', 'RPL13', 'RPL15', 'CYC1', 'RPS2', 'CCT7', 'GADD45GIP1', 'GDF11', 'SF3A1', 'MRPL21', 'MANBAL', 'BCKDK', 'IMPDH2', 'TOMM7', 'SERINC3', 'EIF3D']",0.1751856260696707,0,0,54
5,hsa-miR-652-3p,0.0008507398084896982,4.246105096382361,30.017433304325415,"['BTF3', 'SF3A1', 'RPL32', 'RPL21', 'H3F3B', 'RPL35A', 'SRM', 'ANKRD9', 'RPS16', 'RPS19', 'RPL18A', 'RPS29', 'RPL27', 'RPL26', 'RPL29', 'COX20']",0.42043561335560886,0,0,16
6,hsa-miR-744-5p,0.0011091893521032767,2.7504422821760284,18.714355414273793,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'RPLP1', 'SRM', 'RPL7A', 'RPS14', 'HINT1', 'RPL18A', 'RPL13', 'RPL37', 'RPL18', 'POLR2L', 'SF3A1', 'TGFB1', 'MRPL46', 'AIMP2', 'SFRP1', 'COL5A1', 'UFC1', 'VDAC1', 'FKBP4', 'C8ORF33']",0.45680114817453277,0,0,25
7,hsa-miR-3202,0.0016715221311352187,4.322897483118478,27.640695610222455,"['SET', 'TOMM40', 'TMEM167A', 'WBP2', 'RPL13A', 'SNU13', 'COX6B1', 'PKM', 'UBE2S', 'EIF4H', 'OCIAD2', 'HMGN2', 'FKBP4', 'GRINA']",0.5900473122907323,0,0,14
8,hsa-miR-4274,0.00557324570812247,inf,inf,"['SURF2', 'RPL35', 'FKBP4', 'SERINC3', 'RSL24D1']",0.9817108669397271,0,0,5
9,hsa-miR-654-3p,0.00557324570812247,inf,inf,"['ARL4C', 'SUMO1', 'H2AFZ', 'PRKCD', 'LSM3']",0.9817108669397271,0,0,5
10,hsa-miR-4305,0.00557324570812247,inf,inf,"['LDHA', 'RPL41', 'KIT', 'EIF4H', 'ATP6V0E2']",0.9817108669397271,0,0,5
11,hsa-miR-6801-5p,0.006077016334707892,5.523722627737226,28.18889020520551,"['PLEKHG3', 'H3F3B', 'MCRIP2', 'NDUFB11', 'POP4', 'PGAM1', 'TIMM10', 'HAPLN1', 'ATP6V1F']",0.9817108669397271,0,0,9
12,hsa-miR-328-3p,0.006590020213040244,3.43093487394958,17.230837223811214,"['RPS9', 'SNAPIN', 'TOMM40', 'RPL36A', 'NDUFA1', 'ATRAID', 'SFRP1', 'PKM', 'MMP16', 'C6ORF47', 'RPS2', 'FKBP4', 'POLR2I']",0.9817108669397271,0,0,13
13,hsa-miR-5189-5p,0.006753980063931753,4.057509157509157,20.27790234109735,"['COA4', 'RPS15A', 'PKM', 'MCRIP2', 'RPL23', 'RPL12', 'RPL14', 'UQCRFS1', 'IMP4', 'TOMM5', 'COX6B1']",0.9817108669397271,0,0,11
14,hsa-miR-6860,0.006753980063931753,4.057509157509157,20.27790234109735,"['COA4', 'RPS15A', 'PKM', 'MCRIP2', 'RPL23', 'RPL12', 'RPL14', 'UQCRFS1', 'IMP4', 'TOMM5', 'COX6B1']",0.9817108669397271,0,0,11
15,hsa-miR-3187-5p,0.006753980063931753,4.057509157509157,20.27790234109735,"['COA4', 'RPS15A', 'PKM', 'MCRIP2', 'RPL23', 'RPL12', 'RPL14', 'UQCRFS1', 'IMP4', 'TOMM5', 'COX6B1']",0.9817108669397271,0,0,11
16,hsa-miR-612,0.006753980063931753,4.057509157509157,20.27790234109735,"['COA4', 'RPS15A', 'PKM', 'MCRIP2', 'RPL23', 'RPL12', 'RPL14', 'UQCRFS1', 'IMP4', 'TOMM5', 'COX6B1']",0.9817108669397271,0,0,11
17,hsa-miR-1285-3p,0.006753980063931753,4.057509157509157,20.27790234109735,"['COA4', 'RPS15A', 'PKM', 'MCRIP2', 'RPL23', 'RPL12', 'RPL14', 'UQCRFS1', 'IMP4', 'TOMM5', 'COX6B1']",0.9817108669397271,0,0,11
18,hsa-miR-10a-5p,0.010166370236518793,2.3184357541899443,10.638536688453396,"['RPS9', 'HSP90AA1', 'COX7B', 'H3F3B', 'TMEM179B', 'NDUFB5', 'GSS', 'OAZ1', 'ARMCX3', 'BCKDK', 'SFRP1', 'RPS15A', 'MSANTD1', 'RPS29', 'EIF4H', 'VDAC1', 'CD59', 'RPL15', 'HMGN2', 'SLC25A5']",0.9999774009355841,0,0,20
19,hsa-miR-23a-3p,0.01023375293441082,2.773062730627306,12.706350659657266,"['MCFD2', 'HSP90AA1', 'USP5', 'RPS5', 'MRPS34', 'HAPLN1', 'RPS4X', 'LDHA', 'PKM', 'IMPDH2', 'UQCRFS1', 'FAU', 'HMGN2', 'FKBP4', 'SERINC3']",0.9999774009355841,0,0,15
20,hsa-miR-1288-5p,0.011985513372956533,6.427272727272728,28.434618183771406,"['LDHA', 'UQCRQ', 'DIRAS1', 'IMP4', 'UQCR11', 'HSD17B12', 'SRSF9']",0.9999774009355841,0,0,7
21,hsa-miR-1180-3p,0.011985513372956533,6.427272727272728,28.434618183771406,"['USP5', 'RPLP1', 'RPL27A', 'RPL35', 'POLR2I', 'COX6B1', 'RPL19']",0.9999774009355841,0,0,7
