pathway,pval,padj,log2err,ES,NES,size,leadingEdge
sleep_UP_wake_No_Change,0.000180247930759117,0.00169745847447266,0.518848077743792,0.504699563998763,1.33090416130677,163,SELENOM|TMEM19|RNASEK|MRPS26|RPS9|ELOB|RPL18A|RPS10|PARK7|RBM11|HMGN2|RPL29|NDUFB11|RPS15|PIK3IP1|NCBP2AS2|RPL14|MRPL57|TIMM13|RPL19|SLC25A5|COX5B|RPL18|MZT2B|SST|BEX1|MRPS34|RPS5|TTC9B|EMC7|PSMB10|RASGEF1C|DNAJC19|PCYOX1|DUSP28|VEGFB|RPL13|RETREG2|MDH2|TMEM141|ATP5MC1|RPL3|GABARAPL1|CCN3|SERF2|TMEM115|DHPS|GRINA|CUEDC2|BCKDK|TMEM147|TBCC|COA3|FIBP|PHLDA3|RPS18|MAP1LC3A|UQCRFS1|RPL15|UFC1|TMEM132A|R3HCC1|CENPX|EIF3D|FIS1|CNDP2|NEK6|DBNDD2|BTBD6|DGCR6L|CHCHD10|APOE|USP5|APEX1|LRRTM4|TSEN34|STOML2|MZT2A|PFDN5|LRRC14|SMIM19|NHP2|SMDT1|NME2|BEX3|ATP6V1G1|DNAJC14|UQCC3
All_DE_sleep_wake_genes,0.000339491694894532,0.00169745847447266,0.49849310876659,0.445733738416206,1.20674712993162,487,BTF3|CRH|SELENOM|ANTKMT|TMEM19|ENTPD7|FAU|ATOX1|RPL7A|HAX1|MEA1|RASGRF2|RNASEK|MRPS26|RPS9|RPL11|TSPAN31|S100A1|MIEF2|NEDD8|ELOB|UQCR10|COPS7A|RPL18A|RPS10|PARK7|C1orf122|UQCR11|DCUN1D3|MRPL51|SEC62|ATP5IF1|DCAF11|RBM11|TOMM40|MANF|HMGN2|ABRACL|NECAB2|RPL29|RAB24|NDUFB11|SET|RPS15|PHPT1|FNDC4|PIK3IP1|NCBP2AS2|RPL14|GADD45GIP1|LRRC42|CBLN4|MRPL57|UBE2S|TIMM13|RPL35|RPL19|NDUFB7|SLC25A5|COX5B|RPL18|MZT2B|SST|BEX1|DUSP4|LSM7|RANBP1|MRPS34|RPL17|RPS5|TTC9B|EMC7|PSMB10|RASGEF1C|TMEM160|ATRAID|GPX4|RGMB|RPS19|DNAJC19|PCYOX1|DUSP28|VEGFB|RPL13|GSTP1|RETREG2|HIGD2A|MDH2|TMEM141|GSS|CTSF|ATP5MC1|RPL3|OTUB1|GABARAPL1|OMG|ATP5MC2|NRIP2|CCN3|SERF2|TMEM115|BACH2|LSM4|SYNGR3|DRAP1|SNAPIN|HSD17B12|DHPS|GRINA|PFDN6|TPD52L1|MANBAL|CUEDC2|BCKDK|TMEM147|TBCC|SURF1|TSR3|RDH14|COA3|REX1BD|USH2A|FIBP|PHLDA3|MERTK|OCIAD2|RPS18|MAP1LC3A|SURF2|UQCRFS1|CAMK2N2|USE1|RPS7|RPL15|UFC1|RPL6|VIP|MDP1|MRPL58|SCG5|RUNDC1|TMEM132A|SPSB3|R3HCC1|CENPX|EIF3D|FIS1|CNDP2|NEK6|DBNDD2|PTPN9|BTBD6|CD81|DGCR6L|C12orf57|BAX|CHCHD10|APOE|USP5|SGK1|APEX1|LRRTM4|TSEN34|STOML2|NMNAT1|MZT2A|LPCAT2|RIC8A|VDAC1|SCG2|ZSCAN18|DPM2|NDUFA6|PFDN5|LRRC14|GOT1|PPP1R14A|RPP21|MRPS7|IMPDH2|SRM|NDUFA7|SMIM19|KAT5|VWA3A|NHP2|DEPP1|SMDT1|NME2|BEX3|SRP14|ATP6V1G1|SSR4|NDUFAF4|VPS4A|DNAJC14|UQCC3|RUNX2|CD2BP2
sleep_No_Change_wake_No Change,0.0350964903509649,0.116988301169883,0.0756977855210356,0.498499398270073,1.24936443600915,57,BTF3|FAU|ATOX1|MEA1|RPL11|S100A1|UQCR10|UQCR11|SEC62|ATP5IF1|GADD45GIP1|RPL35|NDUFB7|LSM7|RPL17|RPS19|HIGD2A|LSM4|REX1BD|RPS18|RPS7|MDP1|CD81|C12orf57|NDUFA6|PFDN5|GOT1|NDUFA7|SSR4|CCDC97|RPLP0|U2AF1L4
sleep_DOWN_wake_No_Change,0.20997900209979,0.524947505249475,0.0279863826695388,0.445169011794865,1.11183368796284,54,ENTPD7|HAX1|DCUN1D3|SEC62|MANF|ABRACL|NCBP2AS2|DUSP4|RGMB|ATP5MC1|NRIP2|BACH2|HSD17B12|RUNDC1|NMNAT1|LRRC14|IMPDH2
sleep_DOWN_wake_UP,0.336966303369663,0.611105556111056,0.0202381338153399,0.498608743052702,1.10219062200062,13,CRH|CBLN4|LRRTM4|SCG2|RUNX2
sleep_UP_wake_DOWN,0.366663333666633,0.611105556111056,0.0189616822532967,0.424531566321633,1.04933382845482,46,MIEF2|C1orf122|FNDC4|PIK3IP1|ATRAID|PCYOX1|GSTP1|TMEM141|CTSF|OMG|DRAP1|SNAPIN|SURF1|SCG5
sleep_No_Change_wake_UP,0.657834216578342,0.939763166540489,0.0104049559054249,0.387583450181448,0.931060158001726,31,TSPAN31|NEDD8|MRPL51|MRPL57|GSS|USH2A|OCIAD2|VIP|PTPN9|VWA3A|NDUFAF4
sleep_No_Change_wake_DOWN,0.858914108589141,0.997400259974003,0.00584713668360648,0.341619527388198,0.894082159604042,132,ANTKMT|RASGRF2|COPS7A|DCAF11|TOMM40|NECAB2|RAB24|SET|PHPT1|LRRC42|UBE2S|COX5B|RANBP1|TMEM160|OTUB1|ATP5MC2|SYNGR3|PFDN6|TPD52L1|MANBAL|TSR3|RDH14|SURF2|CAMK2N2|USE1|MDP1|MRPL58|SPSB3|FIS1|CNDP2|BAX|LPCAT2|RIC8A|VDAC1|ZSCAN18|DPM2|PPP1R14A|RPP21|MRPS7|IMPDH2|KAT5|SRP14|VPS4A|CD2BP2|DIRAS1|JAKMIP1|GTF2IRD1|GABRD|SLC6A1|FAM241B|RCAN3|KCNA4|DHDDS|MMP24OS|PINK1|SERTM1|AMIGO1|VDAC2|GLRX|RFX5|TRNP1|ARSG|HSBP1|TPRG1L|PPP2R5B|DUSP26|SLC22A17|GCSH|MUS81|ELP5|TSPAN2|APOD|TOMM20|FAM32A
sleep_UP_wake_UP,0.925907409259074,0.997400259974003,0.00408111673386496,0.311015296680579,0.738165863326119,27,RPL7A|GPX4|DHPS|MERTK|RPL6|SGK1|RIC8A|SRM|TCTA|PLPP7|GNG4|CAMK1G
sleep_DOWN_wake_DOWN,0.997400259974003,0.997400259974003,0.000736554331726264,0.218812297176834,0.52425622960285,30,DCAF11|FNDC4|PTPN9|DEPP1|L3MBTL3|SCN2B|SLC5A3|CCDC127|LRP8|NFIL3|CHORDC1|SC5D|HTRA2|IER5|ZNF565|GRAMD2B|ZFP36L1|DNAJA4|SPRED1|NEDD9|GPR12|HRH1|JUN|TENT5A|MMD2
