"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"KLF15","KLF15","MA1513.1","14.8468",8.87775e-52,0.896486,0.860109,0.0853609,1715,"False",7.0489335e-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","14.2464",3.8015e-48,0.869025,0.844252,0.0663192,1715,"False",1.5091955e-45,3.00037733708396e-05,0.121783865573205,NA,NA,NA,0.399691895689708,0.951789520255054,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","13.9231",3.34747e-46,0.791332,0.772676,0.0528324,1715,"True",8.85963726666667e-44,0.0356772039060901,0.00719014055445673,0.560702183863406,0.559492936043709,0.749728461118118,0.287103336454833,0.19554222026195,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","13.9208",6.33138e-46,0.838686,0.819262,0.0510852,1715,"False",1.25677893e-43,0.0073480530726374,0.75873785669812,NA,NA,NA,0.00101801379391762,0.000829199852099876,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","13.7909",5.94432e-45,0.845347,0.820331,0.0630382,1715,"False",9.43958016e-43,0.000651080514941902,0.592639913260179,0.572134418613209,0.570205455051864,-0.841825990974275,0.589298160696364,0.592907261783362,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","13.151",2.68926e-41,0.857234,0.835763,0.0615842,1715,"False",3.5587874e-39,0.442949820298533,0.984939031823219,NA,NA,NA,0.901613465040783,0.57755923206288,NA,NA,NA,NA
"SP9","SP9","MA1564.1","12.6952",1.77813e-38,0.885697,0.865208,0.0577243,1715,"True",2.01690745714286e-36,2.94933729953983e-08,0.00181218532438691,0.731343299324924,0.729129414068148,-0.223624222595751,0.421623108180165,0.716628432200012,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","12.6792",2.34188e-38,0.870244,0.849665,0.0574172,1715,"False",2.3243159e-36,0.0946289767037063,0.681808842602978,NA,NA,NA,0.417096154831838,0.116839352223826,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","12.4207",2.4743e-37,0.847751,0.829929,0.059242,1715,"False",2.18288244444444e-35,3.50348140210382e-08,1.67362124743937e-06,0.434763680098521,0.43329768539502,0.478695492727338,0.011953665651392,0.403348069965854,0.184114186503812,0.898898033394353,NA,0.787845757961382
"ELK1","ELK1","MA0028.2","12.2066",1.80047e-36,0.823575,0.805366,0.0677418,1715,"False",1.42957318e-34,0.0041690652570815,0.00425795957755273,0.536946345710963,0.535252845654692,0.573834639981018,0.870088888845472,0.898464179674233,NA,NA,NA,NA
"HES1","HES1","MA1099.2","12.2049",7.56699e-36,0.872157,0.85239,0.0610544,1715,"False",5.46199096363636e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","12.1694",8.58724e-36,0.810471,0.791926,0.0604118,1715,"False",5.68189046666667e-34,0.00044725933858535,0.122257641583073,NA,NA,NA,0.550839228748726,0.934335493910279,NA,NA,NA,NA
"SP3","SP3","MA0746.2","12.0536",6.0363e-35,0.872038,0.852593,0.0591996,1715,"False",3.68678630769231e-33,0.056506599870032,0.0110340637181372,NA,NA,NA,0.0998278086077485,0.238592890099127,NA,NA,NA,NA
"SP1","SP1","MA0079.4","12.0013",7.16838e-35,0.831488,0.812589,0.0625463,1715,"False",4.06549551428571e-33,0.00232112521389904,0.0481164835647026,0.96148948453781,0.960133281702813,-0.075836885441328,0.574451520223865,0.779447533818044,NA,NA,NA,NA
"SP2","SP2","MA0516.2","11.7609",1.65498e-33,0.805208,0.78945,0.0520594,1715,"False",8.7603608e-32,0.168967484652074,0.176754218793856,NA,NA,NA,0.93535958659331,0.897943985962076,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","11.704",3.9015e-33,0.829848,0.817285,0.0406063,1715,"False",1.936119375e-31,0.148694907909732,0.084310802644648,0.645554242930037,0.643440616342005,0.55860159985051,0.242754278518856,0.458859382390806,NA,NA,NA,NA
"KLF14","KLF14","MA0740.1","11.6879",4.8481e-33,0.835005,0.818128,0.0544298,1715,"False",2.26434788235294e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","11.5715",8.78379e-33,0.868671,0.852902,0.0584324,1715,"False",3.87462736666667e-31,0.38501207651341,0.193038616195455,NA,NA,NA,0.752539042631744,0.638636448532551,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","11.2506",2.88966e-31,0.842908,0.827514,0.0618256,1715,"False",1.20757370526316e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTCFL","CTCFL","MA1102.2","11.2207",1.48966e-30,0.858175,0.839568,0.0609984,1715,"False",5.9139502e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","11.2354",1.62635e-30,0.831788,0.812172,0.0607453,1715,"False",6.14915190476191e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF16","KLF16","MA0741.1","11.1595",3.07541e-30,0.889069,0.870747,0.0602776,1715,"False",1.10994342727273e-28,0.515555643602569,0.129098818539241,NA,NA,NA,0.534260436518163,0.718645731039977,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","11.1447",3.98348e-30,0.944356,0.92756,0.0543405,1715,"False",1.37516657391304e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","11.0748",5.12842e-30,0.838955,0.821895,0.0618557,1715,"False",1.69665228333333e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","10.8336",1.34676e-28,0.881569,0.865068,0.0555304,1715,"False",4.27300261538462e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF2","KLF2","MA1515.1","10.8399",1.39922e-28,0.910838,0.894352,0.054081,1715,"False",4.27300261538462e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF3","KLF3","MA1516.1","10.7781",2.20692e-28,0.862371,0.846119,0.0565709,1715,"False",6.48997955555556e-27,0.121297631990585,0.114406476701665,NA,NA,NA,0.117148558830622,0.432929107194055,NA,NA,NA,NA
"EGR2","EGR2","MA0472.2","10.6148",1.49802e-27,0.822476,0.808129,0.0497741,1715,"False",4.24795671428571e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HES2","HES2","MA0616.2","10.5383",3.18192e-27,0.824,0.807232,0.0598262,1715,"False",8.71187751724138e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","10.5195",4.08933e-27,0.786886,0.774101,0.0452648,1715,"False",1.08230934e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","10.414",4.95946e-27,0.84309,0.82927,0.0591706,1715,"False",1.27026169032258e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF148","ZNF148","MA1653.1","10.5167",5.70117e-27,0.87086,0.850645,0.0665454,1715,"False",1.41460280625e-25,2.4004244369553e-09,0.0655462041049035,NA,NA,NA,0.100341279848408,0.663182287935743,0.668050366211779,0.899312151220191,NA,0.846014702740339
"EGR3","EGR3","MA0732.1","10.4245",1.28041e-26,0.796752,0.780667,0.0561494,1715,"False",3.08074406060606e-25,0.311021418721738,0.156086175556367,NA,NA,NA,0.623022551483732,0.0864267219018964,NA,NA,NA,NA
"FEV","FEV","MA0156.2","10.2894",1.89031e-26,0.854009,0.840666,0.0581396,1715,"False",4.41442982352941e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","10.2367",3.95086e-26,0.867042,0.853063,0.0596522,1715,"True",8.96280811428572e-25,6.15870134771707e-62,2.57719639402265e-25,0.834587754561411,0.83115605176075,-0.0519253525836568,0.663044582309516,0.516750069727252,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","10.2108",5.26766e-26,0.861526,0.848397,0.0561123,1715,"False",1.16181167777778e-24,0.697647864855191,0.418560672460833,NA,NA,NA,0.287102516593727,0.342663967530865,NA,NA,NA,NA
"SP8","SP8","MA0747.1","10.0789",4.8141e-25,0.883423,0.870403,0.0479472,1715,"False",1.03307983783784e-23,0.158612496389241,0.368928510454801,NA,NA,NA,0.475695928895789,0.167724036645498,NA,NA,NA,NA
"ZFP57","ZFP57","MA1583.1","9.91495",2.62715e-24,0.835737,0.822293,0.0505935,1715,"False",5.48936078947368e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","9.83776",4.86824e-24,0.78109,0.7698,0.0447636,1715,"False",9.91123733333333e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC3","ZIC3","MA0697.1","9.83968",5.3743e-24,0.797712,0.786209,0.044324,1715,"False",1.06679855e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF6","KLF6","MA1517.1","9.84734",6.00189e-24,0.894304,0.880258,0.0514899,1715,"False",1.16231723414634e-22,0.651473503028152,0.648842246046885,NA,NA,NA,0.544180013785925,0.685883800219583,NA,NA,NA,NA
"E2F6","E2F6","MA0471.2","9.74599",1.63955e-23,0.86605,0.852237,0.0516416,1715,"False",3.09953023809524e-22,0.0168561992646649,0.00460617419280245,0.561147893900661,0.559945220600618,0.596892094260028,0.525704118799032,0.941518740880744,NA,NA,NA,NA
"ERG","ERG","MA0474.2","9.61076",2.76821e-23,0.860636,0.84857,0.0554189,1715,"False",5.11153195348837e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F2","E2F2","MA0864.2","9.61934",4.13432e-23,0.765971,0.755513,0.0433961,1715,"False",7.46056836363636e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","9.49956",8.57694e-23,0.8584,0.846278,0.0563437,1715,"True",1.51335341333333e-21,0.0727696968623176,0.00884487904695111,0.592404147480443,0.589814352578906,0.650757850317913,0.920062292974519,0.82607515231774,NA,NA,NA,NA
"ARNT","ARNT::HIF1A","MA0259.1","9.43902",3.23544e-22,0.90457,0.890666,0.0552444,1715,"False",5.46582842553191e-21,0.016410891668463,0.0571382959665751,NA,NA,NA,0.573259522774804,0.79175634447497,NA,NA,NA,NA
"HIF1A","ARNT::HIF1A","MA0259.1","9.43902",3.23544e-22,0.90457,0.890666,0.0552444,1715,"False",5.46582842553191e-21,0.000361225386584333,0.00130289488441869,0.607594291636803,0.605157873841528,0.423842107087656,0.740878645298125,0.635842918848807,NA,NA,NA,NA
"ERF","ERF","MA0760.1","9.34577",3.68017e-22,0.842927,0.83128,0.0559636,1715,"False",6.08761454166667e-21,0.0178253604144062,0.114986601513686,0.950666325732283,0.948824476776832,0.237154633168661,0.174930370976504,0.140079633858934,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","9.26653",9.40166e-22,0.863653,0.851358,0.0578449,1715,"False",1.52345266122449e-20,0.00433835109720142,0.195734410441685,NA,NA,NA,0.0996903531218462,0.569965755113715,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","9.32748",1.01158e-21,0.798703,0.7882,0.0417435,1715,"False",1.60638904e-20,0.117029723195518,0.495850761932394,NA,NA,NA,0.693910980379489,0.773781679504835,NA,NA,NA,NA
"ZIC4","ZIC4","MA0751.1","9.21005",3.0197e-21,0.816503,0.806296,0.0416671,1715,"False",4.70125843137255e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF10","KLF10","MA1511.1","9.19528",3.71155e-21,0.873985,0.861439,0.050355,1715,"False",5.66725134615385e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEY1","HEY1","MA0823.1","8.96206",3.1508e-20,0.819473,0.805772,0.0578826,1715,"False",4.72025509433962e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","8.73168",1.50408e-19,0.801362,0.790052,0.0571632,1715,"False",2.18811963636364e-18,3.96485131999046e-12,0.00147485066140386,NA,NA,NA,0.505903866558265,0.985907330051224,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0815.1","8.80373",1.5157e-19,0.822581,0.809526,0.0545528,1715,"False",2.18811963636364e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAZ","MAZ","MA1522.1","8.80229",1.7243e-19,0.894404,0.877914,0.0662497,1715,"False",2.44481107142857e-18,0.129854253090183,0.281363650460342,NA,NA,NA,0.558286529250995,0.306366204676099,NA,NA,NA,NA
"ZIC1","ZIC1","MA0696.1","8.75109",2.21205e-19,0.784706,0.774242,0.0455179,1715,"False",3.08134684210526e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","8.75464",2.47699e-19,0.791061,0.780201,0.0450462,1715,"False",3.39091389655172e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF4","KLF4","MA0039.4","8.74107",2.86258e-19,0.894422,0.879556,0.0613351,1715,"False",3.85235342372881e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","8.58483",5.04036e-19,0.846133,0.835857,0.0546019,1715,"True",6.6700764e-18,0.00670219746542094,0.00162622492717914,0.755509644153095,0.753504103421373,0.426107354991147,0.333653549624659,0.535954886941115,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0872.1","8.66105",5.59802e-19,0.817455,0.804318,0.0558388,1715,"False",7.28660308196721e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F4","E2F4","MA0470.2","8.54945",1.14017e-18,0.756808,0.747338,0.0447548,1715,"False",1.46015319354839e-17,0.0114307453649724,0.0454160040260228,0.307007096710946,0.305600430901796,0.353812793483854,0.498523313176928,0.716420792820459,NA,NA,NA,NA
"Zfx","Zfx","MA0146.2","8.47635",2.95206e-18,0.8688,0.855406,0.0581825,1715,"False",3.72053276190476e-17,0.431236876296308,0.940228003046483,NA,NA,NA,0.196370354563925,0.430844583779674,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1474.1","8.38009",5.25574e-18,0.804708,0.795119,0.0461059,1715,"False",6.5204024375e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF740","ZNF740","MA0753.2","8.41572",5.63155e-18,0.81707,0.803708,0.0561656,1715,"False",6.87915492307692e-17,0.191726942527044,0.726184053872852,NA,NA,NA,0.508948749974449,0.74938020804345,NA,NA,NA,NA
"CENPB","CENPB","MA0637.1","8.34505",7.72149e-18,0.790336,0.78272,0.0359458,1715,"True",9.28918645454546e-17,5.96304979721948e-09,0.000239908325955402,0.892252469268985,0.889470886110381,-0.141285626269718,0.00295921551277898,0.073077392228062,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","8.19388",1.93807e-17,0.790723,0.779983,0.0579121,1715,"False",2.29675758208955e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","8.24346",2.36203e-17,0.889147,0.876258,0.0568764,1715,"False",2.75801738235294e-16,0.75968953731422,0.969249602848185,NA,NA,NA,0.470180813025636,0.271037772220682,NA,NA,NA,NA
