"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"TBP","TBP","MA0108.2","2.63286",0.00414878,0.831249,0.819899,0.0600282,179,"False",0.831354422018349,1.37652683252809e-06,0.0174359044307879,0.520737575128128,0.518825788879724,-0.267051300234406,0.198811958110669,0.488147402377628,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","2.43363",0.00734922,0.847855,0.835763,0.067867,179,"False",0.831354422018349,0.442949820298533,0.984939031823219,NA,NA,NA,0.901613465040783,0.57755923206288,NA,NA,NA,NA
"MTF1","MTF1","MA0863.1","2.4255",0.00750447,0.736192,0.728912,0.0429276,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","2.39913",0.0080895,0.856942,0.844252,0.0705093,179,"False",0.831354422018349,3.00037733708396e-05,0.121783865573205,NA,NA,NA,0.399691895689708,0.951789520255054,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","2.2145",0.0132056,0.832593,0.820331,0.0760627,179,"False",0.831354422018349,0.000651080514941902,0.592639913260179,0.572134418613209,0.570205455051864,-0.841825990974275,0.589298160696364,0.592907261783362,NA,NA,NA,NA
"ZNF740","ZNF740","MA0753.2","2.16529",0.0149777,0.814196,0.803708,0.0659253,179,"False",0.831354422018349,0.191726942527044,0.726184053872852,NA,NA,NA,0.508948749974449,0.74938020804345,NA,NA,NA,NA
"MZF1","MZF1","MA0056.2","2.12725",0.016484,0.827211,0.819369,0.0498414,179,"False",0.831354422018349,2.22304114171263e-07,0.475882109417,0.187193968665969,0.187765659661092,-1.04368062726503,0.390805568758502,0.37020459889944,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","2.10406",0.0174679,0.781887,0.774101,0.0494359,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOXF1","RHOXF1","MA0719.1","2.09686",0.01782,0.952333,0.946755,0.0323067,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF4","KLF4","MA0039.4","2.08637",0.0182359,0.890374,0.879556,0.071012,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITX3","PITX3","MA0714.1","2.06365",0.0193144,0.862059,0.853187,0.0545984,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NKX2-3","NKX2-3","MA0672.1","2.05218",0.0198363,0.869786,0.862678,0.0464928,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC3","ZIC3","MA0697.1","2.02091",0.0213986,0.793397,0.786209,0.0471583,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lhx8","Lhx8","MA0705.1","1.99936",0.0225039,0.872871,0.863363,0.0663121,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HES1","HES1","MA1099.2","1.98089",0.023517,0.862155,0.85239,0.0683103,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC1","ZIC1","MA0696.1","1.93925",0.0259686,0.781295,0.774242,0.0473203,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LHX9","LHX9","MA0701.2","1.93762",0.0260377,0.840764,0.830304,0.0740528,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTX1","OTX1","MA0711.1","1.93006",0.0265147,0.867128,0.858537,0.0594241,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnt","Arnt","MA0004.1","1.9064",0.0279968,0.870833,0.86117,0.0685684,179,"False",0.831354422018349,0.016410891668463,0.0571382959665751,NA,NA,NA,0.573259522774804,0.79175634447497,NA,NA,NA,NA
"LMX1A","LMX1A","MA0702.2","1.8521",0.0316801,0.809391,0.797493,0.0869359,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","1.84718",0.0320933,0.780191,0.772676,0.0497224,179,"False",0.831354422018349,0.0356772039060901,0.00719014055445673,0.560702183863406,0.559492936043709,0.749728461118118,0.287103336454833,0.19554222026195,NA,NA,NA,NA
"Spz1","Spz1","MA0111.1","1.82063",0.0340115,0.870791,0.866532,0.0307445,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HES2","HES2","MA0616.2","1.81002",0.0348002,0.815998,0.807232,0.0657492,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wt1","Wt1","MA1627.1","1.78925",0.0364455,0.837147,0.828844,0.0617993,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRRX2","PRRX2","MA0075.3","1.75454",0.0393064,0.824441,0.8135,0.0838273,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pparg","Pparg::Rxra","MA0065.2","1.74069",0.0405397,0.81642,0.811557,0.0354573,179,"False",0.831354422018349,0.000105145671019294,0.0508917234811099,0.890478473183962,0.887673441024361,-0.277340531598484,0.00628147413274265,0.0376946028825148,NA,NA,NA,NA
"Rxra","Pparg::Rxra","MA0065.2","1.74069",0.0405397,0.81642,0.811557,0.0354573,179,"False",0.831354422018349,0.0070197121805901,0.440577133460502,NA,NA,NA,0.22966853398271,0.586064351988928,0.903059375070147,0.699804287284229,NA,0.630847161820879
"ZIC4","ZIC4","MA0751.1","1.72583",0.0418281,0.812117,0.806296,0.0444306,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRGX","DRGX","MA1481.1","1.72426",0.041898,0.868615,0.859175,0.0789342,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VSX1","VSX1","MA0725.1","1.72203",0.0421284,0.846016,0.836006,0.0808484,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF148","ZNF148","MA1653.1","1.71063",0.0431429,0.860686,0.850645,0.0839227,179,"False",0.831354422018349,2.4004244369553e-09,0.0655462041049035,NA,NA,NA,0.100341279848408,0.663182287935743,0.668050366211779,0.899312151220191,NA,0.846014702740339
"VSX2","VSX2","MA0726.1","1.70329",0.0438581,0.830334,0.820343,0.0802246,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAX2","VAX2","MA0723.1","1.69935",0.0441919,0.864358,0.856277,0.0677653,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF652","ZNF652","MA1657.1","1.68648",0.0454598,0.774472,0.766657,0.0622902,179,"False",0.831354422018349,7.5361318359784e-08,0.000583442143898546,NA,NA,NA,0.0621806201761942,0.488440144585493,NA,NA,NA,NA
"KLF10","KLF10","MA1511.1","1.65754",0.0483743,0.868324,0.861439,0.050469,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHOX","SHOX","MA0630.1","1.65339",0.0486885,0.867136,0.857587,0.080507,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAX1","VAX1","MA0722.1","1.64117",0.0499162,0.865454,0.857371,0.0703764,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXA13","HOXA13","MA0650.2","1.62604",0.05152,0.800043,0.792936,0.0610145,179,"False",0.831354422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
