"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ELK1","ELK1","MA0028.2","14.9948",1.109e-52,0.835954,0.805366,0.0691324,894,"False",8.80546e-50,0.0041690652570815,0.00425795957755273,0.536946345710963,0.535252845654692,0.573834639981018,0.870088888845472,0.898464179674233,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","14.1894",2.1992e-47,0.854068,0.827514,0.0632416,894,"False",5.8698832e-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","14.2443",2.21784e-47,0.857908,0.829929,0.0575429,894,"False",5.8698832e-45,3.50348140210382e-08,1.67362124743937e-06,0.434763680098521,0.43329768539502,0.478695492727338,0.011953665651392,0.403348069965854,0.184114186503812,0.898898033394353,NA,0.787845757961382
"ELK4","ELK4","MA0076.2","14.1982",2.96229e-47,0.879387,0.852902,0.0587941,894,"False",5.88014565e-45,0.38501207651341,0.193038616195455,NA,NA,NA,0.752539042631744,0.638636448532551,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","13.6885",3.77928e-44,0.87249,0.848397,0.0573827,894,"False",6.00149664e-42,0.697647864855191,0.418560672460833,NA,NA,NA,0.287102516593727,0.342663967530865,NA,NA,NA,NA
"FEV","FEV","MA0156.2","13.4066",1.74646e-42,0.864444,0.840666,0.0590697,894,"False",2.31114873333333e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","13.2052",2.76182e-41,0.853249,0.82927,0.0606564,894,"False",3.13269297142857e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","13.1808",4.39746e-41,0.869288,0.846278,0.0568962,894,"False",4.36447905e-39,0.0727696968623176,0.00884487904695111,0.592404147480443,0.589814352578906,0.650757850317913,0.920062292974519,0.82607515231774,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","13.0506",5.35933e-40,0.875384,0.844252,0.0656623,894,"False",4.72812002222222e-38,3.00037733708396e-05,0.121783865573205,NA,NA,NA,0.399691895689708,0.951789520255054,NA,NA,NA,NA
"ERF","ERF","MA0760.1","12.8284",4.61812e-39,0.853141,0.83128,0.0565412,894,"False",3.66678728e-37,0.0178253604144062,0.114986601513686,0.950666325732283,0.948824476776832,0.237154633168661,0.174930370976504,0.140079633858934,NA,NA,NA,NA
