Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Yersinia infection,0.028129739540242428,6.571875,23.467691895784238,"['WIPF1', 'LCP2', 'ARF6']",0.8665022010385455,0,0,3
2,Endocytosis,0.07564584544511499,2.9224318658280923,7.544821184820645,"['WIPF1', 'PLD1', 'FGFR2', 'ARF6']",0.8665022010385455,0,0,4
3,Sphingolipid signaling pathway,0.08692135483047694,5.809523809523809,14.191223212735,"['PPP2R5B', 'PLD1']",0.8665022010385455,0,0,2
4,Basal transcription factors,0.08692135483047694,5.809523809523809,14.191223212735,"['GTF2A2', 'GTF2IRD1']",0.8665022010385455,0,0,2
5,Fc gamma R-mediated phagocytosis,0.08692135483047694,5.809523809523809,14.191223212735,"['PLD1', 'ARF6']",0.8665022010385455,0,0,2
6,Ras signaling pathway,0.09122940040212449,2.6956942428640542,6.454511154338338,"['EFNA3', 'PLD1', 'FGFR2', 'ARF6']",0.8665022010385455,0,0,4
7,Acute myeloid leukemia,0.1216891693235652,4.354037267080745,9.170844594754202,"['PIM1', 'RUNX1']",0.8665022010385455,0,0,2
8,Cell adhesion molecules,0.1216891693235652,4.354037267080745,9.170844594754202,"['NTNG1', 'NLGN4Y']",0.8665022010385455,0,0,2
9,JAK-STAT signaling pathway,0.1216891693235652,4.354037267080745,9.170844594754202,"['PIM1', 'GFAP']",0.8665022010385455,0,0,2
10,Pancreatic cancer,0.1216891693235652,4.354037267080745,9.170844594754202,"['CDKN2A', 'PLD1']",0.8665022010385455,0,0,2
11,MicroRNAs in cancer,0.14496242570246007,2.6175,5.055127240701449,"['EFNA3', 'CDKN2A', 'PIM1']",0.8665022010385455,0,0,3
12,Serotonergic synapse,0.15911296196339103,3.480745341614907,6.3981002928097706,"['DUSP1', 'HTR5A']",0.8665022010385455,0,0,2
13,Aldosterone-regulated sodium reabsorption,0.15911296196339103,3.480745341614907,6.3981002928097706,"['SCNN1G', 'SGK1']",0.8665022010385455,0,0,2
14,Glutamatergic synapse,0.15911296196339103,3.480745341614907,6.3981002928097706,"['PLD1', 'SHANK1']",0.8665022010385455,0,0,2
15,Vasopressin-regulated water reabsorption,0.1970419885913697,8.67283950617284,14.087626532228748,['AQP4'],0.8665022010385455,0,0,1
16,mRNA surveillance pathway,0.1970419885913697,8.67283950617284,14.087626532228748,['PPP2R5B'],0.8665022010385455,0,0,1
17,Dopaminergic synapse,0.1970419885913697,8.67283950617284,14.087626532228748,['PPP2R5B'],0.8665022010385455,0,0,1
18,Ether lipid metabolism,0.1970419885913697,8.67283950617284,14.087626532228748,['PLD1'],0.8665022010385455,0,0,1
19,Fc epsilon RI signaling pathway,0.1970419885913697,8.67283950617284,14.087626532228748,['LCP2'],0.8665022010385455,0,0,1
20,Folate biosynthesis,0.1970419885913697,8.67283950617284,14.087626532228748,['PCBD1'],0.8665022010385455,0,0,1
21,Pantothenate and CoA biosynthesis,0.1970419885913697,8.67283950617284,14.087626532228748,['PPCDC'],0.8665022010385455,0,0,1
22,PI3K-Akt signaling pathway,0.21050183496445674,1.8364779874213837,2.861711857536156,"['EFNA3', 'PPP2R5B', 'SGK1', 'FGFR2']",0.8665022010385455,0,0,4
23,Axon guidance,0.22690391241165553,2.0091346153846152,2.980006012105293,"['NTNG1', 'EFNA3', 'SEMA3C']",0.8665022010385455,0,0,3
24,Signaling pathways regulating pluripotency of stem cells,0.23841299941631522,2.482697426796806,3.559569465335958,"['DLX5', 'FGFR2']",0.8665022010385455,0,0,2
25,Cell cycle,0.23841299941631522,2.482697426796806,3.559569465335958,"['CDKN2A', 'CDC14B']",0.8665022010385455,0,0,2
26,Chronic myeloid leukemia,0.23841299941631522,2.482697426796806,3.559569465335958,"['CDKN2A', 'RUNX1']",0.8665022010385455,0,0,2
