Item ID	Item value	Change in Kuiper test statistic when item removed
FEN1	10.7315568001771	-0.0031007016390132147
ABCB1	10.7850880328471	-0.0031007016390132147
RRAD	12.6968110907394	0.036303468462640986
PRKCD	7.84883312767088	0.013519774531181139
PDAP1	10.2692182127073	-0.0031007016390132147
FOS	5.37441628833458	0.04736842105263095
HLA-F	11.7511110082997	-3.3527807640654217E-4
ENO2	10.9424471411653	-0.0031007016390132147
NR4A1	5.68703350966934	0.04736842105263095
CYB5R1	9.49048285328699	-0.0031007016390132147
BMP2	8.29962350589293	0.01050733505856527
POLE3	10.7303814328431	-0.0031007016390132147
SELENOW	10.9354205691868	-0.0031007016390132147
PPIF	11.0740672853133	-0.0031007016390132147
PPT1	10.6882317435122	-0.0031007016390132147
ALDOA	9.52536483694578	-0.0031007016390132147
FKBP4	11.3672830305	-0.0031007016390132147
SLC25A4	10.7145842078263	-0.0031007016390132147
ATP6V1F	10.715043103817	-0.0031007016390132147
GRINA	10.6400722640317	-0.0031007016390132147
