Item ID	Item value	Change in Kuiper test statistic when item removed
SHC4	-0.249141983304027	1.1102230246251565E-16
SHC3	0.411144710632512	1.1102230246251565E-16
RPS6	-0.634993477095443	1.1102230246251565E-16
ACACB	0.904763684947738	1.1102230246251565E-16
GCK	1.12925828138957	1.1102230246251565E-16
GYS2	-0.557703148028844	1.1102230246251565E-16
PPP1CC	1.20109497728574	1.1102230246251565E-16
PHKG1	-2.02631456784195	1.1102230246251565E-16
PRKAR1A	0.656940715192837	1.1102230246251565E-16
PDE3A	-1.85152545159468	1.1102230246251565E-16
CALM3	-0.033428589294541	1.1102230246251565E-16
HRAS	0.827117430710025	1.1102230246251565E-16
SH2B2	1.24538131046061	1.1102230246251565E-16
PCK2	-2.45138725581395	1.1102230246251565E-16
