Item ID	Item value	Change in Kuiper test statistic when item removed
VAV3	0.143478402021694	0.0
PDGFRB	-1.6412694839996	0.0
GSN	-0.2493210010262	0.0
ITGB4	0.17936485027553	0.0
EGF	0.433743675809004	0.0
CHRM5	-0.104746664892464	0.0
FN1	-0.175430511878375	0.0
FGF1	-0.876825079033343	0.0
IQGAP2	1.31893684426359	0.0
ACTG1	0.00563024855127203	0.0
FGD3	-0.166632936608042	0.0
MYL5	-0.927019819595845	0.0
PPP1CC	1.20109497728574	0.0
DIAPH3	1.45584061377167	0.0
CFL2	0.895814038808963	0.0
PDGFD	0.969510417503712	0.0
TMSB4X	-0.270075320695269	0.0
PFN4	-0.586309815050983	0.0
FGFR4	-2.82765560809026	0.0
FGFR3	-0.367568774056971	0.0
HRAS	0.827117430710025	0.0
WASF2	-0.401678789292005	0.0
PFN2	0.45603901713382	0.0
FGF10	0.33781544141891	0.0
