Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,1.7979075174766204e-10,77.1076923076923,1730.2370444139049,"['RPL3', 'RPS7', 'RPL23A', 'RPL10A', 'RPS26', 'RPS25', 'RPS27', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL15', 'RPS27A', 'RPL17']",2.0136564195738147e-08,0,0,14
2,Coronavirus disease,1.5434216266636307e-08,16.59375,298.4664539370347,"['C1QB', 'RPL3', 'RPS7', 'RPL23A', 'RPL10A', 'RPS26', 'RPS25', 'RPS27', 'RPS15A', 'RPL36AL', 'FAU', 'RPL26', 'RPL15', 'RPS27A', 'RPL17']",8.643161109316332e-07,0,0,15
3,Huntington disease,0.004279962548723901,19.093333333333334,104.13143173661351,"['CYCS', 'SLC25A5', 'COX7A1', 'POLR2K']",0.13600336659071574,0,0,4
4,Parkinson disease,0.006071578865656953,8.018018018018019,40.925059209750174,"['DDIT3', 'CYCS', 'RPS27A', 'SLC25A5', 'COX7A1']",0.13600336659071574,0,0,5
5,Prion disease,0.006071578865656953,8.018018018018019,40.925059209750174,"['C1QB', 'DDIT3', 'CYCS', 'SLC25A5', 'COX7A1']",0.13600336659071574,0,0,5
6,Pathways of neurodegeneration,0.011733174766537423,5.996621621621622,26.65699197247198,"['DDIT3', 'CYCS', 'RPS27A', 'SLC25A5', 'COX7A1']",0.2190192623086986,0,0,5
7,Amyotrophic lateral sclerosis,0.01976192789807004,14.131578947368421,55.45228788991898,"['DDIT3', 'CYCS', 'COX7A1']",0.27666699057298055,0,0,3
8,Diabetic cardiomyopathy,0.01976192789807004,14.131578947368421,55.45228788991898,"['SLC25A5', 'COX7A1', 'TGFBR2']",0.27666699057298055,0,0,3
9,Alzheimer disease,0.022301520958199667,6.328888888888889,24.069399855005102,"['DDIT3', 'CYCS', 'SLC25A5', 'COX7A1']",0.2775300385909292,0,0,4
10,Ubiquitin mediated proteolysis,0.03219316693749057,inf,inf,"['UBE2S', 'RPS27A']",0.36056346969989433,0,0,2
