Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-3915,0.000689616128930111,inf,inf,"['IGFBP5', 'HLA-DRA']",0.06574340429133725,0,0,2
2,hsa-miR-3925-5p,0.000689616128930111,inf,inf,"['IGFBP5', 'TNFSF9']",0.06574340429133725,0,0,2
3,hsa-miR-4689,0.000689616128930111,inf,inf,"['IGFBP5', 'HLA-DRA']",0.06574340429133725,0,0,2
4,hsa-miR-6858-5p,0.0020372280737420262,85.0,526.6740405121636,"['IGFBP5', 'HLA-DRA']",0.09710787151503658,0,0,2
5,hsa-miR-3928-3p,0.0020372280737420262,85.0,526.6740405121636,"['IGFBP5', 'HLA-DRA']",0.09710787151503658,0,0,2
6,hsa-miR-1224-5p,0.0020372280737420262,85.0,526.6740405121636,"['IGFBP5', 'HLA-DRA']",0.09710787151503658,0,0,2
7,hsa-miR-3176,0.0040121843272820975,42.4,233.98098535624953,"['IFITM3', 'IGFBP5']",0.12580431035810163,0,0,2
8,hsa-miR-3922-3p,0.0040121843272820975,42.4,233.98098535624953,"['IFITM3', 'IGFBP5']",0.12580431035810163,0,0,2
9,hsa-miR-497-5p,0.006584790719300098,28.2,141.6483948652872,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
10,hsa-miR-424-5p,0.006584790719300098,28.2,141.6483948652872,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
11,hsa-miR-6838-5p,0.006584790719300098,28.2,141.6483948652872,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
12,hsa-miR-195-5p,0.009726286658490568,21.1,97.7546772836973,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
13,hsa-miR-15b-5p,0.013408822152111538,16.84,72.61142633755763,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
14,hsa-miR-15a-5p,0.01760543521007934,14.0,56.553666482015075,"['TNFSF9', 'VSIR']",0.12580431035810163,0,0,2
15,hsa-miR-16-5p,0.018060586233662496,7.140350877192983,28.66153458547484,"['TNFSF9', 'TEX15', 'VSIR']",0.12580431035810163,0,0,3
16,hsa-miR-711,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
17,hsa-miR-5579-5p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
18,hsa-miR-548ar-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
19,hsa-miR-548az-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
20,hsa-miR-545-5p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
21,hsa-miR-3124-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
22,hsa-miR-4307,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
23,hsa-miR-6769a-3p,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
24,hsa-miR-4654,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
25,hsa-miR-548e-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
26,hsa-miR-6887-3p,0.02739709121854812,inf,inf,['SCNN1G'],0.12580431035810163,0,0,1
27,hsa-miR-548f-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
28,hsa-miR-6846-3p,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
29,hsa-miR-1304-5p,0.02739709121854812,inf,inf,['HLA-DRA'],0.12580431035810163,0,0,1
30,hsa-miR-656-3p,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
31,hsa-miR-761,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
32,hsa-miR-5705,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
33,hsa-miR-616-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
34,hsa-miR-548a-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
35,hsa-miR-922,0.02739709121854812,inf,inf,['VSIR'],0.12580431035810163,0,0,1
36,hsa-miR-1294,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
37,hsa-miR-4758-5p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
38,hsa-miR-4496,0.02739709121854812,inf,inf,['HLA-DRA'],0.12580431035810163,0,0,1
39,mmu-miR-5116,0.02739709121854812,inf,inf,['SCNN1G'],0.12580431035810163,0,0,1
40,hsa-miR-6784-5p,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
41,hsa-miR-1238-5p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
42,hsa-miR-3674,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
43,hsa-miR-4769-5p,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
44,hsa-miR-6752-3p,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
45,hsa-miR-7154-5p,0.02739709121854812,inf,inf,['SCNN1G'],0.12580431035810163,0,0,1
46,hsa-miR-1913,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
47,mmu-miR-143-3p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
48,hsa-miR-3619-5p,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
49,hsa-miR-584-5p,0.02739709121854812,inf,inf,['IGFBP5'],0.12580431035810163,0,0,1
50,hsa-miR-4451,0.02739709121854812,inf,inf,['TNFSF9'],0.12580431035810163,0,0,1
51,hsa-miR-4656,0.02739709121854812,inf,inf,['IFITM3'],0.12580431035810163,0,0,1
52,hsa-miR-4665-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
53,hsa-miR-6836-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
54,hsa-miR-501-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
55,hsa-miR-6882-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
56,hsa-miR-1270,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
57,hsa-miR-1185-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
58,hsa-miR-433-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['SCNN1G'],0.12580431035810163,0,0,1
59,hsa-miR-297,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
60,hsa-miR-380-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
61,hsa-miR-4531,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
62,hsa-miR-380-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
63,hsa-miR-6801-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
64,hsa-miR-759,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
65,hsa-miR-379-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
66,hsa-miR-6751-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
67,hsa-miR-6803-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
68,hsa-miR-7106-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['SCNN1G'],0.12580431035810163,0,0,1
69,hsa-miR-583,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
70,hsa-miR-195-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
71,hsa-miR-6728-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
72,hsa-miR-193a-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
73,hsa-miR-3927-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
74,hsa-miR-16-2-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
75,hsa-miR-6132,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
76,hsa-miR-4495,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
77,hsa-miR-140-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
78,hsa-miR-4778-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['SCNN1G'],0.12580431035810163,0,0,1
79,hsa-miR-148a-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
80,hsa-miR-5692c,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
81,mmu-miR-125b-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
82,hsa-miR-6081,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
83,hsa-miR-4480,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
84,hsa-miR-892b,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
85,hsa-miR-563,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
86,hsa-miR-5000-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
87,hsa-miR-5692b,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
88,hsa-miR-4797-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
89,hsa-miR-411-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
90,hsa-miR-4268,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
91,hsa-miR-216a-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['HLA-DRA'],0.12580431035810163,0,0,1
92,hsa-miR-548ap-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
93,hsa-miR-3679-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
94,hsa-miR-5582-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
95,hsa-miR-3928-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
96,hsa-miR-1275,0.05410465095820455,38.63636363636363,112.69590264074796,['VSIR'],0.12580431035810163,0,0,1
97,hsa-miR-4780,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
98,hsa-miR-3681-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['HLA-DRA'],0.12580431035810163,0,0,1
99,hsa-miR-567,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
100,hsa-miR-1264,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
101,hsa-miR-124-5p,0.05410465095820455,38.63636363636363,112.69590264074796,['HLA-DRA'],0.12580431035810163,0,0,1
102,hsa-miR-211-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
103,hsa-miR-6830-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
104,hsa-miR-4264,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
105,hsa-miR-1252-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
106,hsa-miR-369-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['TNFSF9'],0.12580431035810163,0,0,1
107,hsa-miR-450b-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IGFBP5'],0.12580431035810163,0,0,1
108,hsa-miR-4446-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
109,hsa-miR-4700-3p,0.05410465095820455,38.63636363636363,112.69590264074796,['IFITM3'],0.12580431035810163,0,0,1
