Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),4.7675102974661184e-30,12.056506384134746,814.0038125506084,"['MRPS17', 'COX7B', 'NDUFA13', 'COX4I1', 'MRPL36', 'MICOS13', 'MRPL34', 'COX6A1', 'COX7C', 'TMEM186', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'CCDC51', 'COX8A', 'MRPS26', 'ENDOG', 'MRPS24', 'NDUFC1', 'MRPS7', 'MRPL46', 'COX6B1', 'SMDT1', 'MRPL51', 'SCO2', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'NDUFB8', 'STOML2', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'MRPS34', 'NDUFB3', 'TIMM13', 'NDUFB2', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'UQCRH', 'ATP5MC1', 'UCP3', 'RPS3', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'GADD45GIP1', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'UQCC3', 'NDUFA5', 'NDUFA4', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'CYCS']",1.04408475514508e-27,0,0,70
2,Organelle Inner Membrane (GO:0019866),1.069113089305823e-28,10.833740831295843,697.753071330446,"['MRPS17', 'COX7B', 'NDUFA13', 'COX4I1', 'MRPL36', 'MICOS13', 'MRPL34', 'COX6A1', 'COX7C', 'TMEM186', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'CCDC51', 'COX8A', 'MRPS26', 'ENDOG', 'MRPS24', 'NDUFC1', 'MRPS7', 'MRPL46', 'COX6B1', 'SMDT1', 'MRPL51', 'SCO2', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'NDUFB8', 'STOML2', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB5', 'NDUFB11', 'NDUFB3', 'MRPS34', 'TIMM13', 'NDUFB2', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'UQCRH', 'ATP5MC1', 'UCP3', 'RPS3', 'CYC1', 'ATP5MF', 'ATP5ME', 'GADD45GIP1', 'DNAJC19', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'UQCC3', 'NDUFA4', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'CYCS']",1.1706788327898762e-26,0,0,70
3,Mitochondrial Membrane (GO:0031966),4.769967417490487e-28,8.268666666666666,520.182176624874,"['MRPS17', 'IFI27L2', 'NDUFA13', 'COX7B', 'COX4I1', 'MRPL36', 'MICOS13', 'COX6A1', 'MRPL34', 'COX7C', 'TMEM186', 'MRPL2', 'HINT2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'CCDC51', 'TMEM14C', 'COX8A', 'MRPS26', 'ENDOG', 'MRPS24', 'NDUFC1', 'MRPS7', 'MRPL46', 'COX6B1', 'SMDT1', 'HAX1', 'MRPL51', 'NDUFS6', 'SCO2', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'STOML2', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB5', 'NDUFB11', 'NDUFB3', 'MRPS34', 'NDUFB2', 'TIMM13', 'UQCR11', 'TMEM160', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'UQCRH', 'ATP5MC1', 'UCP3', 'RPS3', 'CYC1', 'RPS27A', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'GADD45GIP1', 'FIS1', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'UQCC3', 'NDUFA4', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'TOMM7', 'CYCS', 'BAX', 'TOMM5']",3.4820762147680555e-26,0,0,79
4,Ribosome (GO:0005840),1.767079574066312e-24,80.65497737556561,4411.239610770765,"['RPL30', 'RPL32', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPS4X', 'RPL7A', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPS3', 'RPL38', 'RPL15', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL19', 'BTF3', 'RPS9', 'RPL41', 'RPS7', 'RPS5', 'MRPS7', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPL27', 'RPS21', 'RPS23']",9.674760668013057e-23,0,0,37
5,Cytosolic Large Ribosomal Subunit (GO:0022625),8.972796713646746e-24,78.2979683972912,4155.104436561096,"['RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL41', 'RPL21', 'RPL35A', 'RPL23A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29']",3.2750708004810623e-22,0,0,36
6,Large Ribosomal Subunit (GO:0015934),8.972796713646746e-24,78.2979683972912,4155.104436561096,"['RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL41', 'RPL21', 'RPL35A', 'RPL23A', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29']",3.2750708004810623e-22,0,0,36
7,Cytosolic Small Ribosomal Subunit (GO:0022627),2.8591411927030944e-19,119.69844789356985,5110.955604925048,"['RPS15', 'RPS4X', 'RPS14', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'RPS24', 'RPS23']",7.82689901502472e-18,0,0,28
8,Small Ribosomal Subunit (GO:0015935),2.8591411927030944e-19,119.69844789356985,5110.955604925048,"['RPS15', 'RPS4X', 'RPS14', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'RPS24', 'RPS23']",7.82689901502472e-18,0,0,28
9,Polysomal Ribosome (GO:0042788),6.808744429708358e-15,inf,inf,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL10A', 'RPL8', 'RPL6', 'RPS26', 'RPL7A', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21', 'RPL19', 'RPS23']",1.6567944778957003e-13,0,0,20
10,Mitochondrial Respiratory Chain Complex I (GO:0005747),1.3964190858213897e-11,70.94372294372295,1773.2046467000553,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'NDUFB10', 'NDUFA5', 'NDUFB11', 'NDUFB5', 'NDUFA4', 'NDUFB3', 'NDUFB2', 'NDUFA1', 'NDUFC1', 'NDUFS6', 'NDUFS5']",2.780143452680767e-10,0,0,17
