Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4508,0.0055844512829228395,7.399193548387097,38.38530765261709,"['SLC32A1', 'ST8SIA2', 'SDHAF1', 'FGF1', 'HDDC3']",0.9986613374145596,0,0,5
2,mmu-miR-542-5p,0.007348169061741583,5.114754098360656,25.130342302609332,"['DUSP4', 'ST8SIA2', 'RPL15', 'RPP25', 'CBLN4', 'SLC25A5']",0.9986613374145596,0,0,6
3,hsa-miR-4749-5p,0.024085612675974623,4.193548387096774,15.625750908052828,"['ACP2', 'COPS7A', 'IL17RE', 'RPP25', 'NAT16']",0.9986613374145596,0,0,5
4,hsa-miR-4706,0.024085612675974623,4.193548387096774,15.625750908052828,"['ACP2', 'COPS7A', 'IL17RE', 'RPP25', 'NAT16']",0.9986613374145596,0,0,5
5,hsa-miR-3193,0.024085612675974623,4.193548387096774,15.625750908052828,"['DUSP4', 'DDIT3', 'ST8SIA2', 'SDHAF1', 'FGF1']",0.9986613374145596,0,0,5
6,mmu-miR-465c-3p,0.03978258546986355,2.347826086956522,7.5701567272388255,"['RPS27', 'MRPS24', 'SLC32A1', 'ST8SIA2', 'SDHAF1', 'IL17RE', 'FGF1', 'SLC25A5', 'DNPH1']",0.9986613374145596,0,0,9
7,mmu-miR-465b-3p,0.03978258546986355,2.347826086956522,7.5701567272388255,"['RPS27', 'MRPS24', 'SLC32A1', 'ST8SIA2', 'SDHAF1', 'IL17RE', 'FGF1', 'SLC25A5', 'DNPH1']",0.9986613374145596,0,0,9
8,mmu-miR-465a-3p,0.03978258546986355,2.347826086956522,7.5701567272388255,"['RPS27', 'MRPS24', 'SLC32A1', 'ST8SIA2', 'SDHAF1', 'IL17RE', 'FGF1', 'SLC25A5', 'DNPH1']",0.9986613374145596,0,0,9
9,hsa-miR-1180,0.05112681787801944,3.8624338624338623,11.484738934638031,"['VGF', 'SLC32A1', 'RPS19BP1', 'IL17RE']",0.9986613374145596,0,0,4
10,hsa-miR-3195,0.06241946711800105,11.384615384615385,31.579535055682314,"['VGF', 'NAT16']",0.9986613374145596,0,0,2
11,hsa-miR-554,0.06287867254150183,2.911290322580645,8.054225124077002,"['DUSP4', 'CYCS', 'COX14', 'RPL23A', 'RPL15']",0.9986613374145596,0,0,5
12,hsa-miR-1539,0.07124284702723628,3.3015873015873014,8.721673942133885,"['ST8SIA2', 'FGF1', 'HDDC3', 'NAT16']",0.9986613374145596,0,0,4
13,mmu-miR-1899,0.07589331700223013,4.30078125,11.089248984341953,"['KCNV2', 'DDIT3', 'HDDC3']",0.9986613374145596,0,0,3
14,hsa-miR-3944-3p,0.07589331700223013,4.30078125,11.089248984341953,"['VGF', 'SDHAF1', 'MAFF']",0.9986613374145596,0,0,3
15,mmu-miR-467c,0.1020634334971244,2.182377049180328,4.980535269452428,"['KCNV2', 'ST8SIA2', 'SDHAF1', 'SYNC', 'HDDC3', 'TGFBR2']",0.9986613374145596,0,0,6
16,mmu-miR-467d,0.1020634334971244,2.182377049180328,4.980535269452428,"['KCNV2', 'ST8SIA2', 'SDHAF1', 'SYNC', 'HDDC3', 'TGFBR2']",0.9986613374145596,0,0,6
17,hsa-miR-3181,0.10840177144384659,3.43125,7.623931598494314,"['SPRED3', 'VGF', 'SDHAF1']",0.9986613374145596,0,0,3
18,mmu-miR-673-3p,0.10840177144384659,3.43125,7.623931598494314,"['BTF3', 'VGF', 'FGF1']",0.9986613374145596,0,0,3
19,hsa-miR-4757-3p,0.10840177144384659,3.43125,7.623931598494314,"['ST8SIA2', 'CYCS', 'RPL15']",0.9986613374145596,0,0,3
20,hsa-miR-4479,0.10840177144384659,3.43125,7.623931598494314,"['VGF', 'SLC32A1', 'RPS19BP1']",0.9986613374145596,0,0,3
21,hsa-miR-4750,0.11258246381199057,5.676923076923077,12.398793491366556,"['VGF', 'SDHAF1']",0.9986613374145596,0,0,2
22,mmu-miR-487b,0.11258246381199057,5.676923076923077,12.398793491366556,"['ST8SIA2', 'FGF1']",0.9986613374145596,0,0,2
23,mmu-miR-804,0.11745546024474651,1.9444444444444444,4.164409042513273,"['DUSP4', 'TCEAL8', 'RPL3', 'CYCS', 'CBLN4', 'HDDC3', 'TGFBR2']",0.9986613374145596,0,0,7
24,hsa-miR-3605-3p,0.12402161343127485,2.2208436724565757,4.635565724310678,"['VGF', 'DDT', 'ST8SIA2', 'CYCS', 'EMC6']",0.9986613374145596,0,0,5
25,hsa-miR-1296,0.12402161343127485,2.2208436724565757,4.635565724310678,"['SPRED3', 'ST8SIA2', 'CYCS', 'RPP25', 'NAT16']",0.9986613374145596,0,0,5
26,mmu-miR-216a,0.12880331678054413,1.7992177314211213,3.6874404506565237,"['DUSP4', 'SST', 'ST8SIA2', 'SDHAF1', 'COX14', 'RPL15', 'SYNC', 'TGFBR2']",0.9986613374145596,0,0,8
27,hsa-miR-671-3p,0.14529510129772008,2.8515625,5.500631051027328,"['VGF', 'RPS19BP1', 'FGF1']",0.9986613374145596,0,0,3
28,mmu-miR-5103,0.14529510129772008,2.8515625,5.500631051027328,"['DUSP4', 'FNDC4', 'FGF1']",0.9986613374145596,0,0,3
29,hsa-miR-4746-3p,0.15127354760479786,2.292063492063492,4.328941258565299,"['CYCS', 'IL17RE', 'DNPH1', 'NAT16']",0.9986613374145596,0,0,4
30,hsa-miR-4664-3p,0.15127354760479786,2.292063492063492,4.328941258565299,"['VGF', 'RPS19BP1', 'ST8SIA2', 'IL17RE']",0.9986613374145596,0,0,4
31,mmu-miR-1306-3p,0.16944929882979448,3.7743589743589743,6.700247783988469,"['DUSP4', 'CORT']",0.9986613374145596,0,0,2
32,hsa-miR-1277,0.16944929882979448,3.7743589743589743,6.700247783988469,"['CRH', 'SYNC']",0.9986613374145596,0,0,2
33,hsa-miR-2277-5p,0.16944929882979448,3.7743589743589743,6.700247783988469,"['VGF', 'IL17RE']",0.9986613374145596,0,0,2
34,hsa-miR-3656,0.18341714759295777,2.0779220779220777,3.5241396887369048,"['VGF', 'ST8SIA2', 'CYCS', 'RPP25']",0.9986613374145596,0,0,4
35,hsa-miR-4632,0.18341714759295777,2.0779220779220777,3.5241396887369048,"['ST8SIA2', 'SDHAF1', 'CYCS', 'IL17RE']",0.9986613374145596,0,0,4
36,hsa-miR-3197,0.18565295010746663,2.4375,4.104448256489655,"['ST8SIA2', 'RPP25', 'DNPH1']",0.9986613374145596,0,0,3
37,hsa-miR-3618,0.20810895701500545,1.5412429378531074,2.4192790286047163,"['TCEAL7', 'DDIT3', 'MAFF', 'CRH', 'CYCS', 'RPL15', 'EMC6', 'CBLN4']",0.9986613374145596,0,0,8
38,mmu-miR-18b,0.21741232270245062,1.639344262295082,2.501573153667893,"['DUSP4', 'ST8SIA2', 'MAFF', 'IL17RE', 'FGF1', 'RPP25']",0.9986613374145596,0,0,6
39,mmu-miR-18a,0.21741232270245062,1.639344262295082,2.501573153667893,"['DUSP4', 'ST8SIA2', 'MAFF', 'IL17RE', 'FGF1', 'RPP25']",0.9986613374145596,0,0,6
40,hsa-miR-4694-5p,0.21741232270245062,1.639344262295082,2.501573153667893,"['EMC6', 'SYNC', 'FGF1', 'RPP25', 'TGFBR2', 'NAT16']",0.9986613374145596,0,0,6
41,hsa-miR-1908,0.2254882275069622,1.5480769230769231,2.305840959041721,"['VGF', 'SLC32A1', 'ST8SIA2', 'MAFF', 'CYCS', 'FGF1', 'RPP25']",0.9986613374145596,0,0,7
42,hsa-miR-663,0.2254882275069622,1.5480769230769231,2.305840959041721,"['VGF', 'SLC32A1', 'ST8SIA2', 'MAFF', 'CYCS', 'FGF1', 'RPP25']",0.9986613374145596,0,0,7
43,hsa-miR-566,0.22855674550448932,2.126953125,3.1393206210091695,"['DUSP4', 'FGF1', 'TGFBR2']",0.9986613374145596,0,0,3
44,mmu-miR-1947,0.2298621175304629,2.8230769230769233,4.150701226521436,"['VGF', 'IL17RE']",0.9986613374145596,0,0,2
45,hsa-miR-4670-5p,0.2298621175304629,2.8230769230769233,4.150701226521436,"['CYCS', 'COPS7A']",0.9986613374145596,0,0,2
46,mmu-miR-671-3p,0.2298621175304629,2.8230769230769233,4.150701226521436,"['DDT', 'SDHAF1']",0.9986613374145596,0,0,2
47,mmu-miR-3967,0.25389953271971527,1.4364406779661016,1.9690967703468307,"['DUSP4', 'CORT', 'ST8SIA2', 'CYCS', 'ACP2', 'RPL23A', 'HDDC3', 'TGFBR2']",0.9986613374145596,0,0,8
48,mmu-miR-219-5p,0.26609137654169995,1.581541218637993,2.0938269464602755,"['TCEAL7', 'CYCS', 'FGF1', 'TMEM251', 'TGFBR2']",0.9986613374145596,0,0,5
49,hsa-miR-3937,0.27313516734495663,1.8854166666666667,2.4468720447971157,"['DUSP4', 'SDHAF1', 'RPP25']",0.9986613374145596,0,0,3
50,hsa-miR-4781-5p,0.27313516734495663,1.8854166666666667,2.4468720447971157,"['DUSP4', 'ACP2', 'COPS7A']",0.9986613374145596,0,0,3
51,hsa-miR-4655-3p,0.27313516734495663,1.8854166666666667,2.4468720447971157,"['RPL36AL', 'ST8SIA2', 'CBLN4']",0.9986613374145596,0,0,3
52,mmu-miR-126-3p,0.2828329675450477,5.606060606060606,7.079887079126251,['ST8SIA2'],0.9986613374145596,0,0,1
53,hsa-miR-95,0.29144963752992653,2.252307692307692,2.776843257170054,"['TMEM208', 'RPP25']",0.9986613374145596,0,0,2
54,mmu-miR-5111,0.29144963752992653,2.252307692307692,2.776843257170054,"['CRH', 'FGF1']",0.9986613374145596,0,0,2
55,hsa-miR-652,0.29144963752992653,2.252307692307692,2.776843257170054,"['DUSP4', 'FGF1']",0.9986613374145596,0,0,2
56,mmu-miR-1948,0.2983818838814086,1.4940577249575553,1.8068852097569683,"['DDT', 'ST8SIA2', 'COPS7A', 'SYNC', 'FGF1']",0.9986613374145596,0,0,5
57,mmu-miR-672,0.3019668883220194,1.4221311475409837,1.7029137475444183,"['DUSP4', 'TCEAL7', 'ST8SIA2', 'CYCS', 'FGF1', 'RPL10A']",0.9986613374145596,0,0,6
58,hsa-miR-296-3p,0.3030946425310005,1.3758620689655172,1.6423805451451954,"['TCEAL7', 'SLC32A1', 'ST8SIA2', 'RPL15', 'SYNC', 'FGF1', 'SELENOH']",0.9986613374145596,0,0,7
