Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,8.658041743427995e-12,inf,inf,"['RPL3', 'RPS7', 'RPL23A', 'RPL10A', 'RPS26', 'RPS25', 'RPS27', 'RPS15A', 'RPL15', 'FAU', 'RPL26', 'RPS27A', 'RPL17']",6.926433394742395e-10,0,0,13
2,MAPK Signaling Pathway WP382,0.02171260446458392,5.825396825396825,22.310467894783983,"['DUSP4', 'DDIT3', 'FGF1', 'TGFBR2']",0.5329351588246168,0,0,4
3,Electron Transport Chain (OXPHOS system in mitochondria) WP111,0.023102567662198762,inf,inf,"['SLC25A5', 'COX7A1']",0.5329351588246168,0,0,2
4,Nonalcoholic fatty liver disease WP4396,0.04862368719689489,5.75,17.385955736594255,"['DDIT3', 'CYCS', 'COX7A1']",0.5329351588246168,0,0,3
5,NRF2 pathway WP2884,0.06241946711800105,11.384615384615385,31.579535055682314,"['MAFF', 'TGFBR2']",0.5329351588246168,0,0,2
6,IL17 signaling pathway WP2112,0.15296777941176543,inf,inf,['IL17RE'],0.5329351588246168,0,0,1
7,Interactions between immune cells and microRNAs in tumor microenvironment WP4559,0.15296777941176543,inf,inf,['TGFBR2'],0.5329351588246168,0,0,1
8,Ethanol metabolism resulting in production of ROS by CYP2E1 WP4269,0.15296777941176543,inf,inf,['MAFF'],0.5329351588246168,0,0,1
9,Eukaryotic Transcription Initiation WP405,0.15296777941176543,inf,inf,['POLR2K'],0.5329351588246168,0,0,1
10,LDLRAD4 and what we know about it WP4904,0.15296777941176543,inf,inf,['TGFBR2'],0.5329351588246168,0,0,1
11,Extracellular vesicle-mediated signaling in recipient cells WP2870,0.15296777941176543,inf,inf,['TGFBR2'],0.5329351588246168,0,0,1
12,p38 MAPK Signaling Pathway WP400,0.15296777941176543,inf,inf,['DDIT3'],0.5329351588246168,0,0,1
13,Parkinson's disease pathway WP2371,0.15296777941176543,inf,inf,['CYCS'],0.5329351588246168,0,0,1
14,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation WP3876,0.15296777941176543,inf,inf,['SST'],0.5329351588246168,0,0,1
15,GABA receptor Signaling WP4159,0.15296777941176543,inf,inf,['SLC32A1'],0.5329351588246168,0,0,1
16,Canonical and non-canonical TGF-B signaling WP3874,0.15296777941176543,inf,inf,['TGFBR2'],0.5329351588246168,0,0,1
17,Transcriptional cascade regulating adipogenesis WP4211,0.15296777941176543,inf,inf,['DDIT3'],0.5329351588246168,0,0,1
18,Pyrimidine metabolism WP4022,0.15296777941176543,inf,inf,['POLR2K'],0.5329351588246168,0,0,1
19,Mitochondrial CII Assembly WP4920,0.15296777941176543,inf,inf,['SDHAF1'],0.5329351588246168,0,0,1
20,Mitochondrial CIV Assembly WP4922,0.15296777941176543,inf,inf,['COX14'],0.5329351588246168,0,0,1
21,MTHFR deficiency WP4288,0.15296777941176543,inf,inf,['CYCS'],0.5329351588246168,0,0,1
22,Integrated breast cancer pathway WP1984,0.16944929882979448,3.7743589743589743,6.700247783988469,"['FAU', 'TGFBR2']",0.5329351588246168,0,0,2
23,Chromosomal and microsatellite instability in colorectal cancer  WP4216,0.16944929882979448,3.7743589743589743,6.700247783988469,"['CYCS', 'TGFBR2']",0.5329351588246168,0,0,2
24,Myometrial relaxation and contraction pathways WP289,0.2298621175304629,2.8230769230769233,4.150701226521436,"['MAFF', 'CRH']",0.5329351588246168,0,0,2
25,Selenium Micronutrient Network WP15,0.2828329675450477,5.606060606060606,7.079887079126251,['SELENOH'],0.5329351588246168,0,0,1
26,Serotonin and anxiety WP3947,0.2828329675450477,5.606060606060606,7.079887079126251,['CRH'],0.5329351588246168,0,0,1
27,Serotonin and anxiety-related events WP3944,0.2828329675450477,5.606060606060606,7.079887079126251,['CRH'],0.5329351588246168,0,0,1
28,NO/cGMP/PKG mediated Neuroprotection WP4008,0.2828329675450477,5.606060606060606,7.079887079126251,['CYCS'],0.5329351588246168,0,0,1
29,Alzheimer's disease WP2059,0.2828329675450477,5.606060606060606,7.079887079126251,['CYCS'],0.5329351588246168,0,0,1
30,ESC Pluripotency Pathways WP3931,0.2828329675450477,5.606060606060606,7.079887079126251,['FGF1'],0.5329351588246168,0,0,1
31,Apoptosis Modulation by HSP70 WP384,0.2828329675450477,5.606060606060606,7.079887079126251,['CYCS'],0.5329351588246168,0,0,1
32,Synaptic Vesicle Pathway WP2267,0.2828329675450477,5.606060606060606,7.079887079126251,['SLC32A1'],0.5329351588246168,0,0,1
33,Fas ligand pathway and stress induction of heat shock proteins WP314,0.2828329675450477,5.606060606060606,7.079887079126251,['CYCS'],0.5329351588246168,0,0,1
34,Lung fibrosis WP3624,0.2828329675450477,5.606060606060606,7.079887079126251,['FGF1'],0.5329351588246168,0,0,1
35,MECP2 and Associated Rett Syndrome WP3584,0.2828329675450477,5.606060606060606,7.079887079126251,['SST'],0.5329351588246168,0,0,1
36,Hair Follicle Development: Organogenesis - Part 2 of 3 WP2839,0.2828329675450477,5.606060606060606,7.079887079126251,['FGF1'],0.5329351588246168,0,0,1
37,White fat cell differentiation WP4149,0.2828329675450477,5.606060606060606,7.079887079126251,['DDIT3'],0.5329351588246168,0,0,1
38,Regulation of Actin Cytoskeleton WP51,0.2828329675450477,5.606060606060606,7.079887079126251,['FGF1'],0.5329351588246168,0,0,1
39,Differentiation Pathway WP2848,0.2828329675450477,5.606060606060606,7.079887079126251,['FGF1'],0.5329351588246168,0,0,1
40,Nanomaterial induced apoptosis WP2507,0.2828329675450477,5.606060606060606,7.079887079126251,['CYCS'],0.5329351588246168,0,0,1
41,Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668,0.2828329675450477,5.606060606060606,7.079887079126251,['TGFBR2'],0.5329351588246168,0,0,1
42,Circadian rhythm related genes WP3594,0.29144963752992653,2.252307692307692,2.776843257170054,"['CRH', 'RPS27A']",0.5329351588246168,0,0,2
43,Hepatitis B infection WP4666,0.29144963752992653,2.252307692307692,2.776843257170054,"['CYCS', 'TGFBR2']",0.5329351588246168,0,0,2
44,Acute viral myocarditis WP4298,0.39303967963315495,2.7954545454545454,2.610520428756749,['CYCS'],0.5329351588246168,0,0,1
45,AGE/RAGE pathway WP2324,0.39303967963315495,2.7954545454545454,2.610520428756749,['CYCS'],0.5329351588246168,0,0,1
46,Endoplasmic reticulum stress response in coronavirus infection WP4861,0.39303967963315495,2.7954545454545454,2.610520428756749,['DDIT3'],0.5329351588246168,0,0,1
47,Apoptosis Modulation and Signaling WP1772,0.39303967963315495,2.7954545454545454,2.610520428756749,['CYCS'],0.5329351588246168,0,0,1
48,Apoptosis WP254,0.39303967963315495,2.7954545454545454,2.610520428756749,['CYCS'],0.5329351588246168,0,0,1
