Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Arachidonic acid metabolism,0.020146086048807074,10.389217619986852,40.56724815504809,"['CYP2C8', 'EPHX2']",0.6296340063546135,0,0,2
2,Other types of O-glycan biosynthesis,0.02852222581272651,8.438034188034187,30.014692129181356,"['COLGALT2', 'GALNT15']",0.6296340063546135,0,0,2
3,Hematopoietic cell lineage,0.0380405527068803,7.1030139451192085,23.220480729246862,"['IL1R1', 'HLA-DRA']",0.6296340063546135,0,0,2
4,Cell adhesion molecules,0.041441016321053036,4.151125967628431,13.215043748375809,"['IGSF11', 'HLA-DRA', 'VSIR']",0.6296340063546135,0,0,3
5,Olfactory transduction,0.04144715577320677,6.747008547008547,21.477995321534895,"['CAMK2A', 'OR6A2']",0.6296340063546135,0,0,2
6,Homologous recombination,0.04496385623610952,6.424908424908425,19.929399714100605,"['BRCA1', 'RAD54B']",0.6296340063546135,0,0,2
7,Glycerophospholipid metabolism,0.06406374632900597,5.186061801446417,14.250658155306233,"['CHKA', 'ETNK1']",0.6296340063546135,0,0,2
8,Shigellosis,0.07010074033451517,2.6906586310804994,7.1512914993554775,"['CYTH2', 'IL1R1', 'WASF1', 'CRKL']",0.6296340063546135,0,0,4
9,Asthma,0.07192432212783374,16.758474576271187,44.11066458240159,['HLA-DRA'],0.6296340063546135,0,0,1
10,Linoleic acid metabolism,0.07192432212783374,16.758474576271187,44.11066458240159,['CYP2C8'],0.6296340063546135,0,0,1
11,Non-homologous end-joining,0.07192432212783374,16.758474576271187,44.11066458240159,['POLM'],0.6296340063546135,0,0,1
12,Bacterial invasion of epithelial cells,0.07660574072525807,4.647804302976716,11.940596234483143,"['WASF1', 'CRKL']",0.6296340063546135,0,0,2
13,RIG-I-like receptor signaling pathway,0.07660574072525807,4.647804302976716,11.940596234483143,"['CYLD', 'RNF125']",0.6296340063546135,0,0,2
14,Renal cell carcinoma,0.08536108420444011,4.346843121036669,10.696993968895212,"['EPAS1', 'CRKL']",0.6296340063546135,0,0,2
15,Thiamine metabolism,0.08568127289493249,13.405084745762712,32.93791518960796,['AK7'],0.6296340063546135,0,0,1
16,NF-kappa B signaling pathway,0.10370452600070573,3.848107448107448,8.720617731198873,"['CYLD', 'IL1R1']",0.6296340063546135,0,0,2
17,PPAR signaling pathway,0.10370452600070573,3.848107448107448,8.720617731198873,"['CPT1A', 'PLTP']",0.6296340063546135,0,0,2
18,ErbB signaling pathway,0.10844666540027738,3.740740740740741,8.31004354773839,"['CAMK2A', 'CRKL']",0.6296340063546135,0,0,2
19,Th17 cell differentiation,0.1132456982107691,3.6391776391776394,7.92684035821005,"['IL1R1', 'HLA-DRA']",0.6296340063546135,0,0,2
20,Inflammatory mediator regulation of TRP channels,0.11809893465730553,3.5429599640125957,7.568586492368822,"['IL1R1', 'CAMK2A']",0.6296340063546135,0,0,2
21,Protein digestion and absorption,0.1230037509782365,3.4516765285996054,7.2331277111522665,"['COL21A1', 'SLC38A2']",0.6296340063546135,0,0,2
22,Allograft rejection,0.12575049102567273,8.375,17.36519035882797,['HLA-DRA'],0.6296340063546135,0,0,1
23,Graft-versus-host disease,0.12575049102567273,8.375,17.36519035882797,['HLA-DRA'],0.6296340063546135,0,0,1
24,Choline metabolism in cancer,0.1279575880456304,3.364957264957265,6.918541965305729,"['CHKA', 'WASF1']",0.6296340063546135,0,0,2
25,Fc gamma R-mediated phagocytosis,0.13800240333533628,3.203907203907204,6.345287526730415,"['WASF1', 'CRKL']",0.6296340063546135,0,0,2
26,Necroptosis,0.13800240333533628,3.203907203907204,6.345287526730415,"['CYLD', 'CAMK2A']",0.6296340063546135,0,0,2
27,Intestinal immune network for IgA production,0.13871603630219712,7.443502824858757,14.703347189779777,['HLA-DRA'],0.6296340063546135,0,0,1
28,Mismatch repair,0.13871603630219712,7.443502824858757,14.703347189779777,['RFC1'],0.6296340063546135,0,0,1
29,Osteoclast differentiation,0.14308857487247664,3.1290001987676406,6.083688288991281,"['CYLD', 'IL1R1']",0.6296340063546135,0,0,2
30,Pathogenic Escherichia coli infection,0.14505223341995135,2.354049719326383,4.544872858391044,"['CYTH2', 'IL1R1', 'WASF1']",0.6296340063546135,0,0,3
31,Staphylococcus aureus infection,0.1514908887469747,6.698305084745763,12.64124093946919,['HLA-DRA'],0.6296340063546135,0,0,1
32,Autoimmune thyroid disease,0.1514908887469747,6.698305084745763,12.64124093946919,['HLA-DRA'],0.6296340063546135,0,0,1
33,Glucagon signaling pathway,0.16380504310828511,2.861247499545372,5.176220819096034,"['CPT1A', 'CAMK2A']",0.66018396161824,0,0,2
