"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ATF1",0.00102414307159392,18.5807210031348,127.907807546057,"['CAMK2A', 'BRCA1', 'GABPA']",0.100366021016204,0,0,3,"ATF1",0.100366021016204,9.66543175900348e-16,1.34740732860386e-09,0.942800621096853,0.941038053343097,0.0937802978354022,8.59722215146539e-06,0.0543603374672929,NA,NA,NA,NA
"SP1",0.00499223055577482,4.10742136160519,21.7688093721311,"['ANXA2', 'EPAS1', 'TPM2', 'SNURF', 'BRCA1', 'GABPA']",0.244619297232966,0,0,6,"SP1",0.244619297232966,1.89385903187207e-13,5.21948349402696e-05,0.715210205630728,0.712082065104014,-0.301860768447438,0.0514164193064915,0.66167174480926,NA,NA,NA,NA
"STAT5A",0.0270244956004495,4.9661480235492,17.9328180201077,"['EPAS1', 'BRCA1', 'CRKL']",0.46990557123518,0,0,3,"STAT5A",0.46990557123518,0.0261770464944673,0.0480848482035731,0.992976427820194,0.992623348842826,0.0647597068434004,0.529767224746705,0.796220166624125,NA,NA,NA,NA
"EP300",0.0274294354997328,2.52715968586387,9.0880163782258,"['RFC1', 'ANXA2', 'EPAS1', 'TDG', 'NR2F2', 'BRCA1', 'GABPA']",0.46990557123518,0,0,7,"EP300",0.46990557123518,5.56333543214501e-26,4.06218591975377e-09,0.724954172088418,0.721385733598376,-0.226017313669506,1.81294065209529e-05,0.174420272716898,NA,NA,NA,NA
"BCL3",0.0449638562361095,6.42490842490843,19.9293997141006,"['CYLD', 'PIR']",0.46990557123518,0,0,2,"BCL3",0.46990557123518,0.163221203305393,0.75446110597012,NA,NA,NA,0.837802253801221,0.410240823005078,NA,NA,NA,NA
"YY1",0.045542768443533,3.98732251521298,12.3172516531748,"['BRCA1', 'FKBP3', 'CRKL']",0.46990557123518,0,0,3,"YY1",0.46990557123518,0.053647593866929,0.0378518803506335,NA,NA,NA,0.728685608433211,0.121837735860621,0.6233827343592,0.913749535334991,NA,0.979809304931412
"VDR",0.045542768443533,3.98732251521298,12.3172516531748,"['TDG', 'MMRN2', 'BRCA1']",0.46990557123518,0,0,3,"VDR",0.46990557123518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1",0.0498384512042932,3.83588158750813,11.5036879752575,"['EPAS1', 'CAMK2A', 'BRCA1']",0.46990557123518,0,0,3,"ETS1",0.46990557123518,7.52655523894193e-32,1.40157225470557e-15,0.682663721438024,0.681210519176397,0.188092591936517,0.9696468600399,0.700385427876603,NA,NA,NA,NA
"JUNB",0.0523118433729852,5.86473429951691,17.3040890538395,"['TDG', 'BRCA1']",0.46990557123518,0,0,2,"JUNB",0.46990557123518,0.182680304895997,0.0414150565700863,0.744104181454842,0.741192328577961,0.566485239732515,0.693133325656011,0.212749771174028,NA,NA,NA,NA
"POU5F1",0.0551512742019148,2.5464781356376,7.37886712476885,"['TOX2', 'RFC1', 'ANXA2', 'NR2F2', 'NID2']",0.46990557123518,0,0,5,"POU5F1",0.46990557123518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCND1",0.0566385092983196,3.62900246305419,10.4191061256906,"['RFC1', 'POLR1B', 'BRCA1']",0.46990557123518,0,0,3,"CCND1",0.46990557123518,1.09746819741581e-15,2.07677896376671e-08,0.863129851462906,0.86151238721258,-0.184325812365429,5.97279570754527e-05,0.000725207371589296,NA,NA,NA,NA
"TFAP2A",0.064063746329006,5.18606180144642,14.2506581553062,"['EPAS1', 'BRCA1']",0.46990557123518,0,0,2,"TFAP2A",0.46990557123518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB1",0.0663516019466502,3.38534482758621,9.18372070698451,"['DYRK3', 'CAMK2A', 'BRCA1']",0.46990557123518,0,0,3,"CREB1",0.46990557123518,0.000111100418808146,0.000284304991876731,NA,NA,NA,0.0298309116879616,0.971257851830633,0.347169342748563,0.747950401575455,NA,0.529142979951732
"PADI4",0.0719243221278337,16.7584745762712,44.1106645824016,"['DNPEP']",0.46990557123518,0,0,1,"PADI4",0.46990557123518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF274",0.0719243221278337,16.7584745762712,44.1106645824016,"['RFC1']",0.46990557123518,0,0,1,"ZNF274",0.46990557123518,0.000103604629130703,0.0137799808117769,0.866141964508482,0.864101660832223,-0.213739572546852,0.724769734621841,0.127020813923033,NA,NA,NA,NA
"JUN",0.0780772769707666,2.58683229813665,6.59656777216464,"['CYLD', 'TPM2', 'TDG', 'BRCA1']",0.478223321445945,0,0,4,"JUN",0.478223321445945,0.0101192963326101,0.047756322397991,0.563391210046751,0.559585651666943,0.57206653524855,0.38345016342748,0.159399466547774,NA,NA,NA,NA
