Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,DNA Repair Pathways Full Network WP4946,0.0014850222770769364,6.6312415654520915,43.184803579436704,"['RFC1', 'POLM', 'TDG', 'BRCA1', 'RAD54B']",0.09299736191086234,0,0,5
2,Arachidonate Epoxygenase / Epoxide Hydrolase WP678,0.0021135764070650534,45.07692307692308,277.64561838506296,"['CYP2C8', 'EPHX2']",0.09299736191086234,0,0,2
3,Eicosanoid metabolism via cytochrome P450 monooxygenases (CYP) pathway WP4720,0.0021135764070650534,45.07692307692308,277.64561838506296,"['CYP2C8', 'EPHX2']",0.09299736191086234,0,0,2
4,Kennedy pathway from sphingolipids WP3933,0.0031396845391557285,33.8034188034188,194.83049841592586,"['CHKA', 'ETNK1']",0.10360958979213904,0,0,2
5,Male infertility WP4673,0.004997884158961235,6.366835187057634,33.73620825399145,"['RFC1', 'HLA-DRA', 'HORMAD1', 'LRWD1']",0.1319441417965766,0,0,4
6,PPAR-alpha pathway WP2878,0.01303464698199797,13.511111111111111,58.640172068499616,"['CPT1A', 'PLTP']",0.2867622336039553,0,0,2
7,Ciliary landscape WP4352,0.0161704633909676,3.6098799630655587,14.889198802944298,"['DNPEP', 'TTC30B', 'XPNPEP3', 'CAMK2A', 'TNKS1BP1']",0.30492873822967476,0,0,5
8,Type 2 papillary renal cell carcinoma WP4241,0.025597391866189634,9.001709401709402,32.99364872616018,"['EPAS1', 'COL21A1']",0.3911070765261803,0,0,2
9,Oxidation by Cytochrome P450 WP43,0.031573902375591496,7.940673705379588,27.438397465972397,"['CYP2C8', 'CYP20A1']",0.3911070765261803,0,0,2
10,One-carbon metabolism and related pathways WP3940,0.03474808924290358,7.498575498575499,25.19244440853144,"['CHKA', 'ETNK1']",0.3911070765261803,0,0,2
11,Non-homologous end joining WP438,0.043791725488698745,33.52542372881356,104.87793155532805,['POLM'],0.3911070765261803,0,0,1
12,Serotonin Transporter Activity WP1455,0.057962150813422056,22.347457627118644,63.6447783596452,['IL1R1'],0.3911070765261803,0,0,1
13,Acetylcholine Synthesis WP528,0.057962150813422056,22.347457627118644,63.6447783596452,['CHKA'],0.3911070765261803,0,0,1
14,Codeine and Morphine Metabolism WP1604,0.057962150813422056,22.347457627118644,63.6447783596452,['CYP2C8'],0.3911070765261803,0,0,1
15,Allograft Rejection WP2328,0.06406374632900597,5.186061801446417,14.250658155306233,"['HLA-DRA', 'GABPA']",0.3911070765261803,0,0,2
16,Cytosolic DNA-sensing pathway WP4655,0.06406374632900597,5.186061801446417,14.250658155306233,"['CYLD', 'RNF125']",0.3911070765261803,0,0,2
17,Leptin and adiponectin WP3934,0.07192432212783374,16.758474576271187,44.11066458240159,['CPT1A'],0.3911070765261803,0,0,1
18,miR-509-3p alteration of YAP1/ECM axis WP3967,0.07192432212783374,16.758474576271187,44.11066458240159,['THBS2'],0.3911070765261803,0,0,1
19,Cytosine methylation WP3585,0.07192432212783374,16.758474576271187,44.11066458240159,['TDG'],0.3911070765261803,0,0,1
20,Metapathway biotransformation Phase I and II WP702,0.07410348764160503,3.2229064039408866,8.38694574684366,"['CYP2C8', 'EPHX2', 'CYP20A1']",0.3911070765261803,0,0,3
21,PPAR signaling pathway WP3942,0.07660574072525807,4.647804302976716,11.940596234483143,"['CPT1A', 'PLTP']",0.3911070765261803,0,0,2
22,Tamoxifen metabolism WP691,0.08568127289493249,13.405084745762712,32.93791518960796,['CYP2C8'],0.3911070765261803,0,0,1
23,"Metabolic pathway of LDL, HDL and TG, including diseases WP4522",0.08568127289493249,13.405084745762712,32.93791518960796,['ANXA2'],0.3911070765261803,0,0,1
24,Cytokines and Inflammatory Response WP530,0.08568127289493249,13.405084745762712,32.93791518960796,['HLA-DRA'],0.3911070765261803,0,0,1
25,Pathogenesis of SARS-CoV-2 Mediated by nsp9-nsp10 Complex WP4884,0.08568127289493249,13.405084745762712,32.93791518960796,['HLA-DRA'],0.3911070765261803,0,0,1
26,Novel intracellular components of RIG-I-like receptor (RLR) pathway WP3865,0.08984738443084382,4.210470085470085,10.145728827430224,"['CYLD', 'RNF125']",0.3911070765261803,0,0,2
27,DNA damage response WP707,0.09440202460080788,4.082362082362082,9.635161426481488,"['RFC1', 'BRCA1']",0.3911070765261803,0,0,2
28,miRNA regulation of DNA damage response WP1530,0.09902203711760674,3.9617898441427855,9.161293770232307,"['RFC1', 'BRCA1']",0.3911070765261803,0,0,2
29,Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678,0.09923599341187957,11.169491525423728,25.804367988813123,['EPAS1'],0.3911070765261803,0,0,1
30,Mitochondrial LC-Fatty Acid Beta-Oxidation WP368,0.09923599341187957,11.169491525423728,25.804367988813123,['CPT1A'],0.3911070765261803,0,0,1
31,Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657,0.09923599341187957,11.169491525423728,25.804367988813123,['GABPA'],0.3911070765261803,0,0,1
32,Myometrial relaxation and contraction pathways WP289,0.1056880838855773,2.739981360671016,6.157459082412554,"['IGFBP5', 'CAMK2A', 'GABPA']",0.3911070765261803,0,0,3
33,IL1 and megakaryocytes in obesity WP2865,0.11259143112117312,9.572639225181598,20.906545147392897,['IL1R1'],0.3911070765261803,0,0,1
34,Mitochondrial Gene Expression WP391,0.11259143112117312,9.572639225181598,20.906545147392897,['GABPA'],0.3911070765261803,0,0,1
35,MTHFR deficiency WP4288,0.11259143112117312,9.572639225181598,20.906545147392897,['CHKA'],0.3911070765261803,0,0,1
36,PI3K/AKT/mTOR - VitD3 signaling WP4141,0.11259143112117312,9.572639225181598,20.906545147392897,['HLA-DRA'],0.3911070765261803,0,0,1
37,Glycerolipids and Glycerophospholipids WP4722,0.11259143112117312,9.572639225181598,20.906545147392897,['ETNK1'],0.3911070765261803,0,0,1
38,Homologous recombination WP186,0.11259143112117312,9.572639225181598,20.906545147392897,['RAD54B'],0.3911070765261803,0,0,1
39,Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291,0.12575049102567273,8.375,17.36519035882797,['SYTL3'],0.4222600405505803,0,0,1
40,ErbB signaling pathway WP673,0.1279575880456304,3.364957264957265,6.918541965305729,"['CAMK2A', 'CRKL']",0.4222600405505803,0,0,2
41,miRNA targets in ECM and membrane receptors WP2911,0.13871603630219712,7.443502824858757,14.703347189779777,['THBS2'],0.43596468552119094,0,0,1
42,Hypertrophy Model WP516,0.13871603630219712,7.443502824858757,14.703347189779777,['IL1R1'],0.43596468552119094,0,0,1
43,B Cell Receptor Signaling Pathway WP23,0.14308857487247664,3.1290001987676406,6.083688288991281,"['CAMK2A', 'CRKL']",0.4392486484457423,0,0,2
44,Statin inhibition of cholesterol production WP430,0.1514908887469747,6.698305084745763,12.64124093946919,['PLTP'],0.4443732736577924,0,0,1
45,Striated Muscle Contraction Pathway WP383,0.1514908887469747,6.698305084745763,12.64124093946919,['TPM2'],0.4443732736577924,0,0,1
46,Fluoropyrimidine Activity WP1601,0.1764795993388913,5.580508474576271,9.679670939817454,['TDG'],0.4469017303420395,0,0,1
47,Ebola Virus Pathway on Host WP4217,0.17967276031537707,2.6885470085470087,4.615208406232911,"['RFC1', 'HLA-DRA']",0.4469017303420395,0,0,2
48,7-oxo-C and 7beta-HC pathways WP5064,0.18869889964624845,5.150586701434159,8.589132072840094,['EPHX2'],0.4469017303420395,0,0,1
49,DNA Mismatch Repair WP531,0.18869889964624845,5.150586701434159,8.589132072840094,['RFC1'],0.4469017303420395,0,0,1
50,Endothelin Pathways WP2197,0.18869889964624845,5.150586701434159,8.589132072840094,['NPY1R'],0.4469017303420395,0,0,1
51,Overview of leukocyte-intrinsic Hippo pathway functions WP4542,0.18869889964624845,5.150586701434159,8.589132072840094,['FERMT3'],0.4469017303420395,0,0,1
52,Monoamine Transport WP727,0.20073839260248913,4.782082324455206,7.678841833602917,['IL1R1'],0.4469017303420395,0,0,1
53,Hematopoietic Stem Cell Differentiation WP2849,0.20073839260248913,4.782082324455206,7.678841833602917,['KCNH2'],0.4469017303420395,0,0,1
54,Fragile X Syndrome  WP4549,0.201168430837333,2.4881291547958213,3.989995654824681,"['CPT1A', 'CAMK2A']",0.4469017303420395,0,0,2
55,IL-2 signaling pathway WP49,0.21260070194104633,4.46271186440678,6.909793107572006,['CRKL'],0.4469017303420395,0,0,1
56,Melatonin metabolism and effects WP3298,0.21260070194104633,4.46271186440678,6.909793107572006,['CAMK2A'],0.4469017303420395,0,0,1
57,Glycosylation and related congenital defects WP4521,0.21260070194104633,4.46271186440678,6.909793107572006,['MAGT1'],0.4469017303420395,0,0,1
58,Signal transduction through IL1R WP4496,0.22428841340371736,4.183262711864407,6.253235206211882,['IL1R1'],0.4469017303420395,0,0,1
59,Signaling of Hepatocyte Growth Factor Receptor WP313,0.22428841340371736,4.183262711864407,6.253235206211882,['CRKL'],0.4469017303420395,0,0,1
60,Disruption of postsynaptic signaling by CNV WP4875,0.22428841340371736,4.183262711864407,6.253235206211882,['CAMK2A'],0.4469017303420395,0,0,1
61,Fatty acid beta-oxidation WP143,0.22428841340371736,4.183262711864407,6.253235206211882,['CPT1A'],0.4469017303420395,0,0,1
62,Oxysterols derived from cholesterol WP4545,0.22428841340371736,4.183262711864407,6.253235206211882,['EPHX2'],0.4469017303420395,0,0,1
63,Gastric Cancer Network 2 WP2363,0.22428841340371736,4.183262711864407,6.253235206211882,['SNURF'],0.4469017303420395,0,0,1
64,"GPCRs, Class A Rhodopsin-like WP455",0.22842188164991167,2.275822106330581,3.3603901690549547,"['NPY1R', 'OR6A2']",0.4469017303420395,0,0,2
65,Integrated breast cancer pathway WP1984,0.23390742700293748,2.2376068376068377,3.2508620129470103,"['DCAKD', 'BRCA1']",0.4469017303420395,0,0,2
66,Renin-angiotensin-aldosterone system (RAAS) WP4756,0.2358040753750791,3.936689930209372,5.687548554305096,['CAMK2A'],0.4469017303420395,0,0,1
67,Integrated Cancer Pathway WP1971,0.24715019935582488,3.7175141242937855,5.196188946089647,['BRCA1'],0.4469017303420395,0,0,1
68,ATM Signaling Pathway WP2516,0.24715019935582488,3.7175141242937855,5.196188946089647,['BRCA1'],0.4469017303420395,0,0,1
69,Base Excision Repair WP4752,0.24715019935582488,3.7175141242937855,5.196188946089647,['TDG'],0.4469017303420395,0,0,1
70,NO/cGMP/PKG mediated Neuroprotection WP4008,0.24715019935582488,3.7175141242937855,5.196188946089647,['CAMK2A'],0.4469017303420395,0,0,1
71,Nuclear receptors WP170,0.24715019935582488,3.7175141242937855,5.196188946089647,['NR2F2'],0.4469017303420395,0,0,1
72,Peptide GPCRs WP24,0.24715019935582488,3.7175141242937855,5.196188946089647,['NPY1R'],0.4469017303420395,0,0,1
73,Prostaglandin Synthesis and Regulation WP98,0.24715019935582488,3.7175141242937855,5.196188946089647,['ANXA2'],0.4469017303420395,0,0,1
74,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,0.255916401763579,2.096688034188034,2.857585438311761,"['KCNH2', 'CPT1A']",0.4486771365350842,0,0,2
75,White fat cell differentiation WP4149,0.2583292604292909,3.5214094558429974,4.766299198946547,['NR2F2'],0.4486771365350842,0,0,1
76,Hepatitis C and Hepatocellular Carcinoma WP3646,0.2583292604292909,3.5214094558429974,4.766299198946547,['BRCA1'],0.4486771365350842,0,0,1
77,Common Pathways Underlying Drug Addiction WP2636,0.2693436979312325,3.344915254237288,4.387749540128488,['CAMK2A'],0.4510470841060252,0,0,1
78,Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850,0.2693436979312325,3.344915254237288,4.387749540128488,['IGFBP5'],0.4510470841060252,0,0,1
79,IL-3 signaling pathway WP286,0.2801959158840459,3.185230024213075,4.052460565611187,['CRKL'],0.4510470841060252,0,0,1
80,Interferon type I signaling pathways WP585,0.2801959158840459,3.185230024213075,4.052460565611187,['CRKL'],0.4510470841060252,0,0,1
81,Energy Metabolism WP1541,0.2801959158840459,3.185230024213075,4.052460565611187,['GABPA'],0.4510470841060252,0,0,1
82,Eukaryotic Transcription Initiation WP405,0.2801959158840459,3.185230024213075,4.052460565611187,['POLR1B'],0.4510470841060252,0,0,1
83,MET in type 1 papillary renal cell carcinoma WP4205,0.30142313543969596,2.9075165806927044,3.486810869869637,['CRKL'],0.46244905664119845,0,0,1
84,DNA IR-double strand breaks and cellular response via ATM WP3959,0.30142313543969596,2.9075165806927044,3.486810869869637,['BRCA1'],0.46244905664119845,0,0,1
85,DNA Replication WP466,0.30142313543969596,2.9075165806927044,3.486810869869637,['RFC1'],0.46244905664119845,0,0,1
86,EGF/EGFR signaling pathway WP437,0.3109559189484642,1.811041811041811,2.1154853947483216,"['CAMK2A', 'CRKL']",0.46244905664119845,0,0,2
87,IL-1 signaling pathway WP195,0.3118027730383838,2.7860169491525424,3.246780770785474,['IL1R1'],0.46244905664119845,0,0,1
88,Kit receptor signaling pathway WP304,0.3118027730383838,2.7860169491525424,3.246780770785474,['CRKL'],0.46244905664119845,0,0,1
89,Nucleotide Excision Repair WP4753,0.3118027730383838,2.7860169491525424,3.246780770785474,['RFC1'],0.46244905664119845,0,0,1
90,Prader-Willi and Angelman Syndrome WP3998,0.3321054429308793,2.5710560625814862,2.8340821972411905,['SNURF'],0.4870879829652896,0,0,1
91,"Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341",0.3420329126405461,2.475517890772128,2.655855187368135,['CAMK2A'],0.4961356535005723,0,0,1
92,Structural Pathway of Interleukin 1 (IL-1) WP2637,0.3614509749341906,2.304208065458796,2.3448286320470433,['IL1R1'],0.5186035727316647,0,0,1
93,AMP-activated protein kinase (AMPK) signaling WP1403,0.3803006406940446,2.155002733734281,2.0834419444385603,['CPT1A'],0.5379598769278865,0,0,1
94,VEGFA-VEGFR2 Signaling Pathway WP3888,0.38482091231895715,1.288628762541806,1.230611107754085,"['CYP2C8', 'MMRN2', 'WASF1', 'CGNL1']",0.5379598769278865,0,0,4
95,MECP2 and Associated Rett Syndrome WP3584,0.3895175001398528,2.0873940677966103,1.968092159475176,['CAMK2A'],0.5379598769278865,0,0,1
96,Ciliopathies WP4803,0.39168373480287233,1.5029290310189187,1.4086962281275106,"['XPNPEP3', 'AK7']",0.5379598769278865,0,0,2
97,Pathways affected in adenoid cystic carcinoma WP3651,0.3985984108145954,2.0238828967642526,1.8615692251965967,['BRCA1'],0.5379598769278865,0,0,1
98,DNA IR-damage and cellular response via ATR WP4016,0.40754536130900487,1.9641076769690928,1.7629890146653417,['BRCA1'],0.5379598769278865,0,0,1
99,Endochondral Ossification with Skeletal Dysplasias WP4808,0.40754536130900487,1.9641076769690928,1.7629890146653417,['SLC38A2'],0.5379598769278865,0,0,1
100,Endochondral Ossification WP474,0.40754536130900487,1.9641076769690928,1.7629890146653417,['SLC38A2'],0.5379598769278865,0,0,1
101,Focal Adhesion WP306,0.41770895276069875,1.4220767412256774,1.2414308649829795,"['THBS2', 'CRKL']",0.5447181097333404,0,0,2
102,22q11.2 copy number variation syndrome WP4657,0.42504519168586413,1.8545197740112995,1.5866525341838855,['CRKL'],0.5447181097333404,0,0,1
103,Alzheimer's disease WP2059,0.42504519168586413,1.8545197740112995,1.5866525341838855,['CHPF2'],0.5447181097333404,0,0,1
104,T-cell receptor (TCR) signaling pathway WP69,0.4336019060622172,1.804168575355016,1.5076145594311616,['CRKL'],0.5503408807712756,0,0,1
105,Corticotropin-releasing hormone signaling pathway WP2355,0.4503383116458545,1.711212516297262,1.365130351653,['CAMK2A'],0.5607986522382339,0,0,1
106,Glioblastoma signaling pathways WP2261,0.4503383116458545,1.711212516297262,1.365130351653,['BRCA1'],0.5607986522382339,0,0,1
