"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"HIVEP1 (human)",0.0193128973425656,4.47368421052632,17.6575517244156,"['ADAMTS5', 'COL5A1', 'AXDND1', 'MCHR1']",0.94962776922441,0,0,4,"HIVEP1",0.94962776922441,3.37167278706953e-16,0.00406618390043948,0.314424150043658,0.314187050135032,-0.558614631584837,0.0465390222552637,0.942975698558757,NA,NA,NA,NA
"Esrrb (mouse)",0.028051371716343,10.5,37.5240363294899,"['SLC38A3', 'PCK2']",0.94962776922441,0,0,2,"Esrrb",0.94962776922441,0.0593174876385652,0.165425388213521,0.821050845250122,0.819633306092095,0.282981455926112,0.620549525299207,0.256295062947173,NA,NA,NA,NA
"GLI2 (human)",0.033884524671994,1.95223880597015,6.60793179637647,"['SLC14A1', 'MAVS', 'PLEKHF1', 'COL5A1', 'DCUN1D3', 'RAB24', 'B3GNT4', 'RAB3IL1', 'NUDT16L1', 'GAL3ST3', 'SLC5A3', 'HGFAC']",0.94962776922441,0,0,12,"GLI2",0.94962776922441,4.0826366339255e-08,0.00713362585695167,0.838072620899191,0.83673767026805,-0.282832636159899,0.602072091562884,0.857607971383154,NA,NA,NA,NA
"IRF9 (human)",0.0381011503111734,8.39636363636364,27.4352089079776,"['ERG', 'SLC26A6']",0.94962776922441,0,0,2,"IRF9",0.94962776922441,0.236305043210349,0.1522731401758,NA,NA,NA,0.158117445871552,0.0264157123698288,0.905956676366167,0.720856604656473,NA,0.92682544139625
"HNF4A (human)",0.0381417752786901,1.72052148720425,5.61998903899403,"['NTNG1', 'CD74', 'SYT4', 'ENPEP', 'PLEKHF1', 'IL1R1', 'C14ORF119', 'LYPD1', 'FUT2', 'AXDND1', 'C1ORF53', 'DNAJC28', 'COL5A1', 'TMEM98', 'C12ORF49', 'CARD14', 'RBMS2']",0.94962776922441,0,0,17,"HNF4A",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2A (human)",0.0451303359676874,1.55652173913043,4.82241661835131,"['CD74', 'C11ORF95', 'EMX2', 'HOMER1', 'IL1R1', 'SAMD4A', 'KCNA4', 'AMPD2', 'RAB3IL1', 'ADRA1D', 'SHISA2', 'NR2F2', 'NUDT16L1', 'SLC5A3', 'SVOPL', 'SALL1', 'COL5A1', 'ADORA2A', 'CDHR2', 'TNFSF9', 'PIM3', 'SLC38A3', 'HGFAC', 'PCK2']",0.94962776922441,0,0,24,"TFAP2A",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NR5A1 (mouse)",0.0554886826476532,1.97582722409352,5.71325496717893,"['C1QB', 'CD74', 'MAVS', 'SALL1', 'EPAS1', 'SLC38A3', 'SNX8', 'HGFAC', 'SYTL3']",0.94962776922441,0,0,9,"NR5A1",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEBPB (human)",0.0603475783706623,1.72148312392215,4.83329533872871,"['NTNG1', 'SLC14A1', 'PLEKHF1', 'RAB3IL1', 'SLC5A3', 'RAB13', 'CDHR2', 'CLNK', 'TNFSF9', 'PIM3', 'SLC38A3', 'CARD14', 'HGFAC']",0.94962776922441,0,0,13,"CEBPB",0.94962776922441,2.14018595220535e-05,5.05654060577687e-05,0.925853509216595,0.924088578315717,0.226172723287802,0.121069742026029,0.132426805383634,NA,NA,NA,NA
"NR1H2 (human)",0.0635497401699627,2.28234501347709,6.28998850202927,"['MAVS', 'DCAKD', 'B3GNT4', 'FUT2', 'CARD14', 'FERMT3']",0.94962776922441,0,0,6,"NR1H2",0.94962776922441,1.26023542664744e-06,0.00021065909831669,NA,NA,NA,0.0707483511414605,0.0543412553888381,NA,NA,NA,NA
"MAPK14 (human)",0.0646269187010445,1.78597483808531,4.89200700108673,"['TMEM100', 'SYT4', 'SLC14A1', 'ENPEP', 'NRIP2', 'NPY1R', 'CLNK', 'PIM3', 'NR2F2', 'C1ORF53', 'MDGA1']",0.94962776922441,0,0,11,"MAPK14",0.94962776922441,2.59848334033394e-14,1.47492583829147e-10,0.947771901895888,0.946113699333954,-0.0606700282262205,0.192624752949258,0.781583972735053,0.594930599041404,0.731857704038454,NA,0.796292305929343
"MZF1 1-4 (human)",0.0657335160883528,1.56686930091185,4.26524754094095,"['C1QB', 'DYRK3', 'EMX2', 'DCUN1D3', 'SAMD4A', 'AMPD2', 'ADRA1D', 'NR2F2', 'AK7', 'PPCDC', 'NRIP2', 'CHEK2', 'MMRN2', 'ZNF511', 'MDGA1', 'GAL3ST3', 'SLC26A6', 'PCK2']",0.94962776922441,0,0,18,"MZF1 1-4",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIR133B (human)",0.0663193891609914,1.7312,4.69721818068586,"['C1QB', 'SLC14A1', 'PLEKHF1', 'ADORA2A', 'C12ORF49', 'RAB24', 'CLNK', 'KCNA4', 'C1ORF53', 'NID2', 'AK7', 'DNAJC28']",0.94962776922441,0,0,12,"MIR133B",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI1 (human)",0.0673017261147383,1.68819935885804,4.55572312179073,"['NTNG1', 'SLC14A1', 'SAMD4A', 'AMPD2', 'ADRA1D', 'NR2F2', 'CHEK2', 'RAB13', 'B3GNT4', 'ARMCX6', 'NUPR1', 'SLC38A3', 'LRP10']",0.94962776922441,0,0,13,"SPI1",0.94962776922441,0.0424743047194677,0.00918297434744895,0.684461905615094,0.683250749126459,0.69909238190846,0.857753195022588,0.845742203286456,NA,NA,NA,NA
"TEAD2 (human)",0.0688599654705936,1.71894039735099,4.599334996769,"['C11ORF95', 'HOMER1', 'ANXA2', 'AMPD2', 'ADRA1D', 'PIM3', 'NR2F2', 'SLC38A3', 'GAL3ST3', 'CARD14', 'SLC26A6', 'HGFAC']",0.94962776922441,0,0,12,"TEAD2",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
