Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,1.3165428342277803e-34,30.891138637446403,2409.9068128628924,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPLP0', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS6KA6', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPS6KA2', 'RPL36', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPS6', 'RPL22', 'RPL13A', 'RPSA', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'MRPL19', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS6KB1', 'RPS29', 'RPL27A', 'RPS20', 'FAU', 'RPS21', 'RPS24', 'RPS23']",7.820264435313015e-32,0,0,81
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,8.391723197927423e-15,5.638074460516955,182.73862238568591,"['COX7B', 'NDUFA12', 'COX4I1', 'COX7C', 'ATP5IF1', 'UQCRFS1', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'COX7A2L', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'COX15', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'UQCRH', 'ATP5MC1', 'SLC25A27', 'ATP5F1A', 'ATP5F1B', 'COX11', 'NDUFV1', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ', 'ATP5PO']",2.4923417897844443e-12,0,0,62
3,Oxidative phosphorylation WP623,9.879849938835264e-10,5.979760220920051,123.99244266389445,"['NDUFB9', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB5', 'NDUFB4', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'NDUFV1', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'ATP6AP1', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ATP6AP2', 'NDUFC2', 'NDUFC1', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'ATP5PO', 'NDUFS1']",1.956210287889382e-07,0,0,37
4,Nonalcoholic fatty liver disease WP4396,5.4451400586152425e-09,2.828384530718431,53.82003484880356,"['GSK3B', 'NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'PRKAG1', 'PIK3CB', 'COX7C', 'BBC3', 'AKT3', 'LEPR', 'MLX', 'UQCRFS1', 'RAC1', 'MAP3K5', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'COX7A2L', 'PIK3CA', 'NDUFS6', 'DDIT3', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'NDUFS1', 'PPARA', 'ATF4', 'NDUFB9', 'PRKAA1', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'PIK3R3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'ADIPOR1', 'COX5B', 'COX7A1', 'UQCRH', 'CDC42', 'MAPK8', 'CYC1', 'NDUFV1', 'NDUFA8', 'XBP1', 'NDUFA7', 'TGFB1', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'INSR', 'NDUFA3', 'NDUFA1', 'COX6C', 'NFKB1', 'MLXIPL', 'ITCH', 'UQCRQ', 'CYCS', 'BAX']",8.086032987043636e-07,0,0,71
5,Mitochondrial complex I assembly model OXPHOS system WP4324,1.2912918706847867e-06,4.016011302095597,54.45658069542299,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFB7', 'DMAC1', 'NDUFB10', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'TMEM186', 'NDUFV1', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NUBPL', 'NDUFA3', 'ACAD9', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'NDUFAF3', 'NDUFS1', 'TMEM126B']",0.00015340547423735266,0,0,32
6,Mitochondrial CIV Assembly WP4922,2.048109331782729e-06,5.766212406015038,75.52927215394811,"['COX8A', 'COA3', 'COX7B', 'SURF1', 'COX16', 'PET100', 'COX15', 'NDUFA4', 'COX4I1', 'COX17', 'CMC1', 'COX7A2', 'COX5B', 'COX6C', 'COX7C', 'PET117', 'COX6B1', 'TMEM177', 'SCO2', 'COX11', 'COX14', 'COX10', 'COX20']",0.00020276282384649018,0,0,23
7,Photodynamic therapy-induced unfolded protein response WP3613,0.00031420272080470073,4.505747126436781,36.34097806555611,"['XBP1', 'WARS', 'HSPA5', 'UBE2E1', 'PDIA6', 'HSP90B1', 'BBC3', 'NARS', 'DDIT3', 'DNAJB11', 'DNAJB9', 'TRIB3', 'CALR', 'ATF6', 'EIF2A', 'ATF4']",0.026662345165427464,0,0,16
8,Cellular Proteostasis WP4918,0.0008522917155322541,inf,inf,"['VBP1', 'PFDN1', 'PFDN2', 'PFDN4', 'PFDN5', 'PFDN6']",0.06328265987826986,0,0,6
9,Regulation of Microtubule Cytoskeleton WP2038,0.0012437138625312077,2.7545219638242893,18.426797014536834,"['GSK3B', 'TRIO', 'ROCK1', 'PRKCA', 'CDC42', 'TIAM1', 'CLIP1', 'APC', 'PIK3CA', 'CFL2', 'DPYSL2', 'TAOK1', 'CAMK4', 'GNAQ', 'STMN1', 'ABL1', 'TPPP', 'RAC1', 'PRKACA', 'CLASP1', 'MARK2', 'MARK1']",0.08208511492705971,0,0,22
10,Fragile X Syndrome  WP4549,0.0014614888236488233,1.7995653973509933,11.748102100808406,"['CYFIP2', 'CYFIP1', 'ABCD3', 'CLTC', 'CLTA', 'PIK3CB', 'SLC6A1', 'GRM1', 'RPTOR', 'GRIP1', 'PPP3CA', 'GRM5', 'PRKACA', 'AP2M1', 'PDK1', 'EPHA4', 'DUSP3', 'KCND2', 'GAB1', 'PPP2R5B', 'PRKCA', 'DICER1', 'DNM2', 'EEF1A1', 'CREB1', 'ALDH5A1', 'PRKAR1A', 'SOS1', 'PLCB1', 'TELO2', 'GRIA2', 'ITPR1', 'AKAP5', 'GRIN2A', 'MKNK1', 'AP2S1', 'MAPK1', 'FYN', 'NTRK2', 'GAD1', 'BRAF', 'AP2B1', 'GRIN2B', 'TARBP2', 'ARHGAP32', 'RPS6KB1', 'CAMK4', 'NF1', 'PTPN5', 'EIF4G1', 'HCN1']",0.0868124361247401,0,0,51
