Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-125a-5p,0.0021835146980180267,inf,inf,"['ANTXR2', 'VSIR']",0.7458479771681829,0,0,2
2,hsa-miR-92a-3p,0.0038084681330166803,2.358762886597938,13.139555260686414,"['NDUFA5', 'COX4I1', 'POP4', 'PDAP1', 'RPL9', 'ATOX1', 'TGFBR2', 'TSPAN31', 'CHCHD5', 'RPS14', 'C1GALT1C1', 'RPS15A', 'ERH', 'ELOB', 'FAU', 'KPTN']",0.7458479771681829,0,0,16
3,hsa-miR-6852-5p,0.006206380240056841,5.0132275132275135,25.478111794803134,"['SPRED3', 'SMIM15', 'BAG1', 'HMGN2', 'SRSF9']",0.7458479771681829,0,0,5
4,hsa-miR-5690,0.006206380240056841,5.0132275132275135,25.478111794803134,"['RPL41', 'NDUFS5', 'RAB13', 'FGFBP3', 'SELENOH']",0.7458479771681829,0,0,5
5,mmu-miR-196a-5p,0.006349105489350324,41.333333333333336,209.12357554452637,"['PLA2R1', 'TGFBR2']",0.7458479771681829,0,0,2
6,hsa-miR-4529-5p,0.006870482465366071,10.404545454545454,51.820056584106425,"['RPS6', 'HMGN2', 'RPS21']",0.7458479771681829,0,0,3
7,hsa-miR-6783-3p,0.00860371925811277,4.573268921095008,21.74845793951726,"['SPRED3', 'SMIM15', 'BAG1', 'HMGN2', 'SRSF9']",0.7458479771681829,0,0,5
8,hsa-miR-1343-3p,0.00860371925811277,4.573268921095008,21.74845793951726,"['SPRED3', 'SMIM15', 'BAG1', 'HMGN2', 'SRSF9']",0.7458479771681829,0,0,5
9,hsa-miR-3065-5p,0.009482531322173204,8.914285714285715,41.52545263286652,"['RPS15A', 'ANTXR2', 'TGFBR2']",0.7458479771681829,0,0,3
10,hsa-miR-8076,0.012597822029708387,7.796590909090909,34.104092258779175,"['RPL41', 'C19ORF53', 'BOLA3']",0.7458479771681829,0,0,3
11,hsa-miR-4692,0.013297968256404393,4.040242165242165,17.454428021847125,"['C18ORF32', 'VEGFB', 'ANKRD65', 'ELOB', 'HMGN2']",0.7458479771681829,0,0,5
12,hsa-miR-4514,0.013297968256404393,4.040242165242165,17.454428021847125,"['C18ORF32', 'VEGFB', 'ANKRD65', 'ELOB', 'HMGN2']",0.7458479771681829,0,0,5
13,hsa-miR-760,0.014812924655013238,4.91743119266055,20.713475071627514,"['RPL34', 'RPL36A', 'RPL29', 'DUSP7']",0.7458479771681829,0,0,4
14,hsa-miR-5588-3p,0.016230670125327903,6.927272727272728,28.546269891496635,"['RPL41', 'NDUFS5', 'FGFBP3']",0.7458479771681829,0,0,3
15,hsa-miR-1264,0.016230670125327903,6.927272727272728,28.546269891496635,"['POP4', 'ANTXR2', 'HMGN2']",0.7458479771681829,0,0,3
16,hsa-miR-4679,0.016230670125327903,6.927272727272728,28.546269891496635,"['C18ORF32', 'RPS21', 'SELENOH']",0.7458479771681829,0,0,3
17,hsa-miR-520a-3p,0.018860171694652376,3.161214953271028,12.552245376717403,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2', 'TGFBR2']",0.7458479771681829,0,0,6
18,hsa-miR-302d-3p,0.018860171694652376,3.161214953271028,12.552245376717403,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2', 'TGFBR2']",0.7458479771681829,0,0,6
19,hsa-miR-4427,0.019888900114053726,13.765765765765765,53.92867429492206,"['TMEM100', 'ATOX1']",0.7458479771681829,0,0,2
20,hsa-miR-5187-3p,0.019888900114053726,13.765765765765765,53.92867429492206,"['TMEM100', 'ATOX1']",0.7458479771681829,0,0,2
21,hsa-miR-1288-5p,0.020389950440514747,6.2318181818181815,24.258680428832186,"['UQCRQ', 'ANTXR2', 'SRSF9']",0.7458479771681829,0,0,3
22,hsa-miR-6878-3p,0.020391434471570793,4.395943988411395,17.111828924311297,"['IFITM3', 'RPL41', 'C19ORF53', 'RPS6']",0.7458479771681829,0,0,4
23,hsa-miR-331-3p,0.02081537367802168,3.0827444723045363,11.936582185041345,"['RPS14', 'DLX2', 'RPS27', 'RPL34', 'RPL36A', 'RPL29']",0.7458479771681829,0,0,6
24,hsa-miR-302b-3p,0.02081537367802168,3.0827444723045363,11.936582185041345,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2', 'TGFBR2']",0.7458479771681829,0,0,6
25,hsa-miR-372-3p,0.02081537367802168,3.0827444723045363,11.936582185041345,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2', 'TGFBR2']",0.7458479771681829,0,0,6
26,hsa-miR-3664-3p,0.023605169605127537,4.174311926605505,15.638181106813605,"['SPRED3', 'RPS15A', 'MRPL12', 'SELENOH']",0.7458479771681829,0,0,4
27,hsa-miR-6742-3p,0.024499400536734297,3.3811230585424132,12.540945951997996,"['SPRED3', 'SMIM15', 'BAG1', 'HMGN2', 'SRSF9']",0.7458479771681829,0,0,5
28,hsa-miR-939-3p,0.025130155593617892,2.9367528798087372,10.818077629959177,"['SPRED3', 'SMIM15', 'RPS15A', 'BAG1', 'HMGN2', 'SRSF9']",0.7458479771681829,0,0,6
29,hsa-miR-6744-3p,0.027110083394565557,3.9737876802096985,14.336828051404682,"['IFITM3', 'RPL41', 'SPCS1', 'RPS6']",0.7458479771681829,0,0,4
30,hsa-miR-4757-5p,0.027110083394565557,3.9737876802096985,14.336828051404682,"['IFITM3', 'RPL41', 'SPCS1', 'RPS6']",0.7458479771681829,0,0,4
31,hsa-miR-4461,0.028925973425487743,10.31981981981982,36.56328006220537,"['RPL41', 'RPS27']",0.7458479771681829,0,0,2
32,hsa-miR-6806-5p,0.028925973425487743,10.31981981981982,36.56328006220537,"['MRPL12', 'TGFBR2']",0.7458479771681829,0,0,2
33,hsa-miR-4680-3p,0.028925973425487743,10.31981981981982,36.56328006220537,"['TMEM100', 'ATOX1']",0.7458479771681829,0,0,2
34,hsa-miR-4801,0.028925973425487743,10.31981981981982,36.56328006220537,"['NDUFA5', 'MRPL12']",0.7458479771681829,0,0,2
35,hsa-miR-556-5p,0.028925973425487743,10.31981981981982,36.56328006220537,"['RPL41', 'BOLA3']",0.7458479771681829,0,0,2
36,mmu-miR-125b-5p,0.028925973425487743,10.31981981981982,36.56328006220537,"['ANTXR2', 'VSIR']",0.7458479771681829,0,0,2
37,hsa-miR-4731-3p,0.028925973425487743,10.31981981981982,36.56328006220537,"['NDUFA5', 'MRPL12']",0.7458479771681829,0,0,2
38,hsa-miR-5694,0.03029968038329001,5.1886363636363635,18.142679900868785,"['UQCRQ', 'ANTXR2', 'TSPAN31']",0.7458479771681829,0,0,3
39,hsa-miR-449c-5p,0.03029968038329001,5.1886363636363635,18.142679900868785,"['C18ORF32', 'MRPL12', 'TGFBR2']",0.7458479771681829,0,0,3
40,hsa-miR-2682-5p,0.03029968038329001,5.1886363636363635,18.142679900868785,"['C18ORF32', 'MRPL12', 'TGFBR2']",0.7458479771681829,0,0,3
41,hsa-miR-3190-5p,0.0309107627592036,3.791492910758966,13.181697037175995,"['C1GALT1C1', 'RPS6', 'MRPL12', 'RPS21']",0.7458479771681829,0,0,4
42,hsa-miR-34b-5p,0.03604587121567631,4.787412587412588,15.908394660056699,"['C18ORF32', 'MRPL12', 'TGFBR2']",0.7458479771681829,0,0,3
43,hsa-miR-544a,0.03604587121567631,4.787412587412588,15.908394660056699,"['RPL41', 'RPS6', 'HMGN2']",0.7458479771681829,0,0,3
44,hsa-miR-8081,0.03604587121567631,4.787412587412588,15.908394660056699,"['TMEM98', 'ANTXR2', 'COX5B']",0.7458479771681829,0,0,3
45,hsa-let-7a-5p,0.03823383881117267,2.255238095238095,7.3611745487959235,"['RPS15A', 'C19ORF53', 'RAB13', 'RPL35A', 'HMGN2', 'MRPL12', 'RPL9', 'RPS13']",0.7458479771681829,0,0,8
46,hsa-miR-373-3p,0.038426378875008334,2.625,8.554904151571332,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2', 'TGFBR2']",0.7458479771681829,0,0,6
47,hsa-miR-193a-5p,0.03926932899213503,8.252252252252251,26.715111097090688,"['RPL41', 'RPL35A']",0.7458479771681829,0,0,2
48,hsa-miR-663b,0.03926932899213503,8.252252252252251,26.715111097090688,"['RPL41', 'TSPAN31']",0.7458479771681829,0,0,2
49,hsa-miR-4789-5p,0.04411526586168504,3.3321100917431195,10.39934696412451,"['DLX2', 'NDUFA5', 'C18ORF32', 'KCNA4']",0.7458479771681829,0,0,4
50,mmu-miR-1957a,0.046926700888590835,inf,inf,['PLA2R1'],0.7458479771681829,0,0,1
51,mmu-miR-3475-3p,0.046926700888590835,inf,inf,['CCDC78'],0.7458479771681829,0,0,1
52,mmu-miR-351-5p,0.046926700888590835,inf,inf,['ANTXR2'],0.7458479771681829,0,0,1
53,mmu-miR-3075-5p,0.046926700888590835,inf,inf,['FADD'],0.7458479771681829,0,0,1
54,mmu-miR-5133,0.046926700888590835,inf,inf,['CCDC78'],0.7458479771681829,0,0,1
55,mmu-miR-28c,0.046926700888590835,inf,inf,['CCDC78'],0.7458479771681829,0,0,1
56,mmu-miR-28b,0.046926700888590835,inf,inf,['CCDC78'],0.7458479771681829,0,0,1
57,hsa-miR-6867-3p,0.04908471598430487,4.1454545454545455,12.495260497103963,"['C18ORF32', 'ANKRD65', 'ANTXR2']",0.7458479771681829,0,0,3
58,hsa-miR-550b-2-5p,0.04908471598430487,4.1454545454545455,12.495260497103963,"['C1GALT1C1', 'ABRAXAS1', 'HMGN2']",0.7458479771681829,0,0,3
59,hsa-miR-20a-3p,0.05077870550161371,6.873873873873874,20.486056423676306,"['DUSP28', 'HMGN2']",0.7458479771681829,0,0,2
60,hsa-miR-4274,0.05077870550161371,6.873873873873874,20.486056423676306,"['RPL35', 'MRPL12']",0.7458479771681829,0,0,2
61,hsa-miR-4448,0.05077870550161371,6.873873873873874,20.486056423676306,"['RPL41', 'VEGFB']",0.7458479771681829,0,0,2
62,hsa-miR-1266-3p,0.05077870550161371,6.873873873873874,20.486056423676306,"['ALYREF', 'HMGN2']",0.7458479771681829,0,0,2
63,hsa-miR-3677-5p,0.05077870550161371,6.873873873873874,20.486056423676306,"['DUSP7', 'TSPAN31']",0.7458479771681829,0,0,2
64,hsa-miR-25-3p,0.051808850747332574,2.418763479511143,7.160009817844441,"['RPS14', 'C1GALT1C1', 'CRYBG1', 'RPL9', 'ATOX1', 'TSPAN31']",0.7458479771681829,0,0,6
65,hsa-miR-520e,0.05253569370071876,2.678062678062678,7.890275534933071,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2']",0.7458479771681829,0,0,5
66,hsa-miR-302e,0.05253569370071876,2.678062678062678,7.890275534933071,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2']",0.7458479771681829,0,0,5
67,hsa-miR-520d-3p,0.05253569370071876,2.678062678062678,7.890275534933071,"['TMEM100', 'CHCHD5', 'SPCS1', 'C18ORF32', 'SERF2']",0.7458479771681829,0,0,5
68,hsa-miR-548as-3p,0.05635446982636023,3.884659090909091,11.172643612132099,"['C1GALT1C1', 'NDUFA5', 'HMGN2']",0.7458479771681829,0,0,3
69,hsa-miR-6765-3p,0.05635446982636023,3.884659090909091,11.172643612132099,"['C1GALT1C1', 'SPCS1', 'RPS6']",0.7458479771681829,0,0,3
70,hsa-miR-3157-5p,0.05635446982636023,3.884659090909091,11.172643612132099,"['SMIM15', 'ANKRD65', 'RPL35']",0.7458479771681829,0,0,3
