"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ELK4","ELK4","MA0076.2","9.24079",1.13976e-21,0.865095,0.852902,0.0582375,1835,"False",9.0496944e-19,0.715826705811792,0.299845189565373,NA,NA,NA,0.901217463587411,0.187070456441869,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","9.02656",7.23771e-21,0.818398,0.805366,0.0668179,1835,"False",2.17547795333333e-18,1.96152184176939e-06,0.00184097154398444,0.951036530742386,0.949421640547145,0.112215746015495,0.607277718007482,0.934538556782921,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","9.01841",8.21969e-21,0.839453,0.827514,0.0607078,1835,"False",2.17547795333333e-18,0.000428572709926351,0.00549946347054429,0.869917055099829,0.867496613422293,0.14567159454988,0.521815734932162,0.672776814045967,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","8.8905",3.26144e-20,0.864812,0.853063,0.0587542,1835,"True",6.4739584e-18,8.57232629394536e-48,1.81074091810226e-15,0.770523909501182,0.767219118236079,-0.0405524586225888,0.875726126385379,0.687899815495324,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","8.82311",7.38534e-20,0.842188,0.829929,0.0593257,1835,"False",1.172791992e-17,2.6214082932651e-06,0.000213041696985505,0.855435553567989,0.853998804882187,0.292281251191198,0.142966414202948,0.971722476181348,0.184114186503812,0.898898033394353,NA,0.787845757961382
"FLI1","FLI1","MA0475.2","8.65856",2.55647e-19,0.840393,0.82927,0.0585683,1835,"False",2.90061811428571e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","8.65746",2.55722e-19,0.851531,0.840666,0.0573381,1835,"False",2.90061811428571e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","8.67412",4.17693e-19,0.880741,0.860109,0.0925221,1835,"False",4.145603025e-17,3.91518689605957e-05,0.0106598296366042,0.864230449704138,0.862359606112728,-0.116376721305257,0.348755899055071,0.912541008231547,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","8.50476",1.19837e-18,0.862277,0.851358,0.0568362,1835,"False",9.8133636e-17,8.22276461193199e-08,0.000854977404387748,0.644923116213576,0.641038142285631,0.151776338680699,0.00297878075781317,0.13007673138215,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","8.496",1.23594e-18,0.858972,0.848397,0.0557316,1835,"False",9.8133636e-17,0.000922039404088273,0.000309298778464677,0.800279124018655,0.797839380110256,0.437771568499582,0.917457867935002,0.776593727718107,NA,NA,NA,NA
